patch,n_windows,x0_mean,x0_std,x0_drift30d,x0_autocorr,x0_reversion,k_mean,k_std,k_drift30d,k_autocorr,k_reversion,ceiling_mean,ceiling_std,ceiling_drift30d,ceiling_autocorr,ceiling_reversion,corr_x0_k,corr_x0_ceiling,corr_k_ceiling,node_verdict
26-100,70,-0.9021,1.3753,0.7688,0.5912,-0.4057,1.1148,1.0689,0.5094,0.6484,-0.3813,0.7343,0.2042,0.1159,0.5448,-0.4461,-0.0848,0.7046,-0.5302,PARTIAL_COUPLING
101-250,70,-1.0786,1.352,0.5776,0.745,-0.2601,0.9825,0.8023,0.4101,0.6415,-0.3622,0.7272,0.2046,0.098,0.6257,-0.3598,-0.2829,0.777,-0.5746,PARTIAL_COUPLING
251-500,70,-1.0394,1.4937,0.9047,0.5235,-0.4795,0.8137,0.7093,0.3774,0.6145,-0.3885,0.7508,0.2143,0.1273,0.4933,-0.4978,-0.2191,0.8038,-0.5761,PARTIAL_COUPLING
501-750,70,-1.0538,1.4542,0.6973,0.6934,-0.3086,1.0031,1.1443,0.5893,0.4235,-0.5772,0.7152,0.2186,0.1069,0.6234,-0.3625,0.0253,0.7097,-0.4155,PARTIAL_COUPLING
751-1000,70,-1.0983,1.5941,0.6524,0.7244,-0.2765,0.9366,0.9855,0.4443,0.6227,-0.3788,0.7105,0.2213,0.1109,0.5939,-0.3931,-0.2724,0.8825,-0.4894,PARTIAL_COUPLING
1001-1500,70,-1.2019,1.6868,0.7884,0.6721,-0.3253,0.9625,1.1147,0.5141,0.5788,-0.4224,0.6994,0.2335,0.1163,0.5653,-0.4242,-0.1761,0.8247,-0.4589,PARTIAL_COUPLING
1501-2000,70,-1.089,1.8889,1.017,0.4304,-0.5685,0.8683,0.826,0.3723,0.6959,-0.3061,0.6977,0.2342,0.123,0.5739,-0.4141,-0.1699,0.7414,-0.5507,PARTIAL_COUPLING
