family,upstream_score,mean_contemporaneous_abs_corr
PARTICIPATION_FORCING,0.0649,0.122
DISPERSION_FORCING,-0.0039,0.092
VOLATILITY_FORCING,-0.0011,0.155
BTC_ANCHOR_FORCING,-0.0047,0.205
ETH_RELATIVE_FORCING,-0.0216,0.122
RANK_RECRUITMENT_FORCING,0.006,0.134
CONCENTRATION_RELEASE_FORCING,-0.0123,0.111
STABLECOIN_CAPITAL_FORCING,-0.0093,0.205
PHYSICAL_DISTURBANCE_FORCING,-0.0179,0.195
