measure,n_aborted,n_with_first_leave,frac
first_coordinate_leaves_band,267,267,1.0
first_leave_at_PRECONDITION,267,267,1.0
first_leave_at_INITIATION,267,0,0.0
first_leave_at_COMMITMENT,267,0,0.0
first_leave_at_EARLY_SURVIVAL,267,0,0.0
first_leaver_coordinate_demand,267,136,0.509
first_leaver_coordinate_demand_slope,267,55,0.206
first_leaver_coordinate_breadth,267,28,0.105
first_leaver_coordinate_dispersion,267,25,0.094
first_leaver_coordinate_forcing,267,6,0.022
first_leaver_coordinate_concentration,267,3,0.011
first_leaver_coordinate_rank_depth,267,5,0.019
first_leaver_coordinate_exit_entropy,267,3,0.011
first_leaver_coordinate_exit_p1,267,0,0.0
first_leaver_coordinate_capacity_ceiling,267,6,0.022
first_leaver_coordinate_transfer_eff,267,0,0.0
first_leaver_coordinate_thr_position,267,0,0.0
aborted_reentry_within_60d,267,267,1.0
