resolution,state,subperiod,n,exit_count_k,exit_entropy,dominant_share_p1,delta_ent_1d,delta_ent_3d,delta_ent_7d,entropy_slope_rho,median_days_to_low_ent,reopening_rate
6CELL,6C_0,2020-2021,262,0.21,0.0,0.21,0.0,0.0,0.0,,,
6CELL,6C_0,2023,73,0.45,0.013,0.432,0.0,0.0,0.0,0.0,,
6CELL,6C_0,2024,86,0.21,0.0,0.209,0.0,0.0,0.0,,,
6CELL,6C_0,2025-2026,45,0.6,0.057,0.511,0.0,0.0,0.0,-0.163,,
6CELL,6C_1,2020-2021,76,1.78,0.597,0.805,0.0079,0.015,0.0086,-0.009,5.0,0.104
6CELL,6C_1,2022,34,1.74,0.588,0.782,0.0043,0.0088,0.3665,0.051,5.0,0.104
6CELL,6C_1,2023,75,1.75,0.624,0.765,0.0,0.015,0.1487,0.072,5.0,0.104
6CELL,6C_1,2024,42,2.14,0.905,0.673,-0.0242,0.0153,-0.0751,-0.256,5.0,0.104
6CELL,6C_1,2025-2026,60,1.92,0.681,0.778,0.0018,0.007,0.1233,0.082,5.0,0.104
6CELL,6C_2,2020-2021,84,0.35,0.012,0.328,0.0,0.0,0.0,-0.02,,
6CELL,6C_2,2022,142,0.39,0.011,0.369,0.0,0.0,-0.0,0.147,,
6CELL,6C_2,2023,87,0.47,0.073,0.361,0.01,-0.0038,0.1511,0.178,,
6CELL,6C_2,2024,62,0.61,0.083,0.486,0.0044,-0.0288,-0.1025,0.039,,
6CELL,6C_2,2025-2026,123,0.46,0.022,0.423,0.0071,0.0072,0.0074,0.059,,
6CELL,6C_3,2024,40,1.77,0.578,0.815,0.0152,0.0004,-0.3676,0.217,,
6CELL,6C_3,2025-2026,56,1.71,0.567,0.805,-0.0167,0.0216,-0.1362,-0.348,,
6CELL,6C_4,2022,101,1.59,0.516,0.789,0.0,0.0051,-0.0673,-0.087,,
6CELL,6C_4,2023,75,1.72,0.601,0.751,0.002,0.019,-0.0194,-0.011,,
6CELL,6C_4,2024,108,1.64,0.536,0.802,-0.0107,-0.0238,-0.0356,0.069,,
6CELL,6C_4,2025-2026,201,1.52,0.472,0.782,0.0098,0.0038,-0.0155,-0.018,,
6CELL,6C_5,2020-2021,105,0.7,0.155,0.449,-0.0,0.0,0.0,-0.088,,
6CELL,6C_5,2025-2026,112,1.05,0.303,0.571,0.014,-0.0005,0.0782,-0.154,,
8CELL,8C_0,2020-2021,48,1.15,0.117,0.959,-0.0173,-0.018,0.1305,-0.221,,
8CELL,8C_0,2025-2026,37,1.24,0.166,0.948,0.0,0.0348,-0.5711,-0.141,,
8CELL,8C_1,2020-2021,262,0.23,0.014,0.204,0.0038,0.0038,0.0039,0.078,,
8CELL,8C_1,2023,73,0.45,0.013,0.432,0.0,0.0,0.0,0.0,,
8CELL,8C_1,2024,86,0.22,0.011,0.204,0.0116,0.0119,0.0125,0.186,,
8CELL,8C_1,2025-2026,45,0.67,0.114,0.489,0.0134,0.0141,0.0156,-0.107,,
8CELL,8C_2,2022,36,2.08,0.804,0.728,-0.0247,-0.108,0.0656,0.167,7.0,0.07
8CELL,8C_2,2023,30,1.97,0.754,0.745,0.0196,-0.0156,-0.6601,0.302,7.0,0.07
8CELL,8C_2,2024,45,2.13,0.904,0.675,-0.0332,-0.0669,0.1273,0.097,7.0,0.07
8CELL,8C_2,2025-2026,74,2.03,0.785,0.727,0.0078,-0.0142,0.2757,-0.317,7.0,0.07
8CELL,8C_3,2020-2021,76,1.96,0.729,0.757,0.0184,0.0125,-0.1911,0.15,5.0,0.056
8CELL,8C_3,2022,34,1.97,0.782,0.697,0.0011,0.0057,0.1391,0.127,5.0,0.056
8CELL,8C_3,2023,75,1.87,0.714,0.73,0.0,0.0058,0.106,-0.158,5.0,0.056
8CELL,8C_3,2024,42,2.45,1.087,0.609,-0.005,0.0213,0.0309,0.31,5.0,0.056
8CELL,8C_3,2025-2026,60,2.23,0.876,0.718,-0.0118,-0.0001,0.0111,0.026,5.0,0.056
8CELL,8C_4,2022,65,2.12,0.832,0.72,0.018,0.0177,-0.1475,0.11,,
8CELL,8C_4,2023,45,2.11,0.855,0.696,0.0034,0.0343,0.0484,0.129,,
8CELL,8C_4,2024,63,2.17,0.891,0.677,-0.0,-0.0176,0.0245,0.388,,
8CELL,8C_4,2025-2026,127,1.94,0.753,0.723,0.0155,0.0078,0.0154,0.265,,
8CELL,8C_5,2020-2021,57,1.82,0.656,0.766,0.0106,0.0003,0.0732,0.149,,
8CELL,8C_5,2025-2026,75,1.79,0.613,0.758,0.0075,-0.0064,0.1004,-0.218,,
8CELL,8C_6,2020-2021,84,0.37,0.029,0.323,0.0,0.0,0.0,0.013,,
8CELL,8C_6,2022,142,0.39,0.011,0.369,0.0,0.0,-0.0,0.147,,
8CELL,8C_6,2023,87,0.47,0.073,0.361,0.01,-0.0038,0.1511,0.178,,
8CELL,8C_6,2024,62,0.63,0.093,0.484,0.0044,-0.0288,-0.1025,-0.015,,
8CELL,8C_6,2025-2026,123,0.46,0.027,0.422,0.0071,0.0072,0.0074,0.058,,
8CELL,8C_7,2024,40,2.2,0.905,0.686,0.0152,0.0194,-0.3564,0.17,6.0,0.042
8CELL,8C_7,2025-2026,56,2.14,0.871,0.704,-0.0167,0.0217,-0.1708,-0.265,6.0,0.042
