edge,resolution,forcing_family,rho,n
6C_0->6C_0,6CELL,BTC_ANCHOR_FORCING,0.139,482
6C_0->6C_0,6CELL,CONCENTRATION_RELEASE_FORCING,0.123,482
6C_0->6C_0,6CELL,DISPERSION_FORCING,0.117,482
6C_0->6C_0,6CELL,ETH_RELATIVE_FORCING,0.011,482
6C_0->6C_0,6CELL,PARTICIPATION_FORCING,0.135,482
6C_0->6C_0,6CELL,PHYSICAL_DISTURBANCE_FORCING,0.332,482
6C_0->6C_0,6CELL,RANK_RECRUITMENT_FORCING,0.042,482
6C_0->6C_0,6CELL,STABLECOIN_CAPITAL_FORCING,0.172,482
6C_0->6C_0,6CELL,VOLATILITY_FORCING,0.078,482
6C_1->6C_1,6CELL,BTC_ANCHOR_FORCING,-0.123,288
6C_1->6C_1,6CELL,CONCENTRATION_RELEASE_FORCING,0.187,288
6C_1->6C_1,6CELL,DISPERSION_FORCING,-0.232,288
6C_1->6C_1,6CELL,ETH_RELATIVE_FORCING,0.01,288
6C_1->6C_1,6CELL,PARTICIPATION_FORCING,-0.057,288
6C_1->6C_1,6CELL,PHYSICAL_DISTURBANCE_FORCING,0.112,288
6C_1->6C_1,6CELL,RANK_RECRUITMENT_FORCING,-0.169,288
6C_1->6C_1,6CELL,STABLECOIN_CAPITAL_FORCING,-0.021,288
6C_1->6C_1,6CELL,VOLATILITY_FORCING,0.011,288
6C_2->6C_2,6CELL,BTC_ANCHOR_FORCING,-0.152,499
6C_2->6C_2,6CELL,CONCENTRATION_RELEASE_FORCING,0.04,499
6C_2->6C_2,6CELL,DISPERSION_FORCING,0.071,499
6C_2->6C_2,6CELL,ETH_RELATIVE_FORCING,0.083,499
6C_2->6C_2,6CELL,PARTICIPATION_FORCING,-0.026,499
6C_2->6C_2,6CELL,PHYSICAL_DISTURBANCE_FORCING,-0.241,499
6C_2->6C_2,6CELL,RANK_RECRUITMENT_FORCING,-0.051,499
6C_2->6C_2,6CELL,STABLECOIN_CAPITAL_FORCING,-0.151,499
6C_2->6C_2,6CELL,VOLATILITY_FORCING,0.061,499
6C_3->6C_3,6CELL,BTC_ANCHOR_FORCING,0.129,142
6C_3->6C_3,6CELL,CONCENTRATION_RELEASE_FORCING,-0.001,142
6C_3->6C_3,6CELL,DISPERSION_FORCING,0.07,142
6C_3->6C_3,6CELL,ETH_RELATIVE_FORCING,0.118,142
