link,n,rho,partial_rho_ctrl_prev,verdict
demand_to_capacity,2049,-0.038,,WEAK
capacity_to_threshold,2043,-0.457,0.075,SUPPORTED
threshold_to_exit_pressure,2040,-0.062,0.179,WEAK
exit_pressure_to_transfer,1804,-0.033,0.041,WEAK
transfer_to_propagation,1804,0.526,0.059,SUPPORTED
motif_HIGH_DEMAND_LOW_TRANSFER,147,-0.2845,0.2449,SUPPORTED
motif_HIGH_DEMAND_OPEN_EXITS,674,0.0297,0.2982,WEAK
motif_THRESHOLD_CROSSED_NO_RECRUITMENT,674,0.2478,0.273,SUPPORTED
motif_CAPACITY_AVAILABLE_NO_COMMITMENT,664,0.0344,0.2952,WEAK
motif_EXIT_CONCENTRATION_WITH_PROPAGATION,285,0.6202,0.1123,SUPPORTED
motif_SATURATION_WITHOUT_DELIVERY,266,-0.3798,0.3684,SUPPORTED
