patch,n,rmse_1param,rmse_2param,rmse_3param,rmse_baseline,r2_1param,r2_2param,r2_3param,gain_2v1,gain_3v2,gain_3v1
26-100,2046,0.3201,0.3201,0.3201,0.3237,0.0222,0.0221,0.0225,-0.0,0.0001,0.0
101-250,2046,0.2887,0.2897,0.2887,0.2925,0.0255,0.0188,0.0258,-0.001,0.001,0.0
251-500,2046,0.253,0.254,0.253,0.2568,0.0291,0.0213,0.0293,-0.001,0.001,0.0
501-750,2046,0.2204,0.2204,0.2204,0.2243,0.0346,0.0346,0.0346,-0.0,0.0,-0.0
751-1000,2046,0.1977,0.1977,0.1977,0.2017,0.0398,0.0393,0.0399,-0.0001,0.0001,0.0
1001-1500,2046,0.179,0.1802,0.1789,0.1827,0.04,0.0274,0.0405,-0.0012,0.0012,0.0001
1501-2000,2046,0.1731,0.1749,0.173,0.1769,0.0435,0.0225,0.0441,-0.0019,0.0019,0.0
