label,n,mean_prop7,mean_exit_rate,mean_rank7,mean_p1,mean_reentry7
CONSTRAINED_COLLAPSING,69,0.3188,0.9337,0.8696,0.8461,0.2609
CONSTRAINED_REOPENING,215,0.4512,0.3601,0.9256,0.9548,0.3302
CONSTRAINED_STABLE,150,0.3533,0.4376,0.9133,0.9598,0.3
OPEN_COLLAPSING,424,0.3844,0.6334,0.8915,0.6296,0.3679
OPEN_REOPENING,290,0.3034,0.6113,0.8552,0.8509,0.3172
OPEN_STABLE,1048,0.3922,0.1877,0.8511,0.2849,0.1813
