reference,n,mean,median,p90,max
STATE_HISTORICAL,2193,0.1636,0.1274,0.3556,0.6857
REGIME_SUBPERIOD,2193,0.297,0.2693,0.4403,0.6109
PREVIOUS_DAY,2192,0.0158,0.0102,0.0528,0.099
