patch,gap_raw_rising_minus_falling,gap_controlled,gap_residual,p_value,n_rising,n_falling,verdict
26-100,0.1723,0.1355,0.0028,0.2662,702,741,CONTROLLED_AWAY
101-250,0.1624,0.1219,0.0061,0.1258,702,741,CONTROLLED_AWAY
251-500,0.1476,0.117,0.0105,0.0184,702,741,HYSTERESIS_AFTER_CONTROLS
501-750,0.1361,0.1123,0.0172,0.0014,702,741,HYSTERESIS_AFTER_CONTROLS
751-1000,0.125,0.1058,0.0188,0.0004,702,741,HYSTERESIS_AFTER_CONTROLS
1001-1500,0.1174,0.095,0.0201,0.0,702,741,HYSTERESIS_AFTER_CONTROLS
1501-2000,0.1136,0.0851,0.0202,0.0,702,741,HYSTERESIS_AFTER_CONTROLS
