state,n,beta_demand,beta_thr_position,beta_exit_entropy,beta_exit_p1,beta_transfer_eff,n_active_links,dominant_link,hierarchy_verdict
6C_0,411,-0.052,-0.047,-0.108,-0.092,0.099,1,exit_entropy,PARALLEL_CONSTRAINTS
6C_1,199,-0.165,0.258,-0.42,-0.295,0.091,4,exit_entropy,PARALLEL_CONSTRAINTS
6C_2,373,-0.074,-0.124,0.126,0.197,0.354,4,transfer_eff,PARALLEL_CONSTRAINTS
6C_4,458,-0.119,0.206,-0.09,-0.099,0.141,3,thr_position,PARALLEL_CONSTRAINTS
6C_5,216,-0.054,-0.526,-0.049,0.168,-0.032,2,thr_position,PARALLEL_CONSTRAINTS
