patch,conditioning,n,thr50_low,thr50_mid,thr50_high,thr50_shift_high_minus_low,band_width_low,band_width_high,band_width_shift
26-100,VOLATILITY,2046,0.309,0.586,2.239,1.93,10.666,44.244,33.578
26-100,DISPERSION,2046,1.265,0.628,1.343,0.078,19.032,28.037,9.006
26-100,CONCENTRATION,2046,0.689,0.729,1.692,1.003,26.558,23.297,-3.262
26-100,EXIT_ENTROPY,2043,1.575,,1.244,-0.331,26.57,23.989,-2.581
26-100,RANK_DEPTH,2046,1.429,0.271,1.721,0.292,33.585,21.142,-12.443
26-100,BTC_ANCHOR,2046,-68.679,1.253,-15.037,53.642,-484.05,262.683,746.732
26-100,DEMAND,2046,7.501,2.612,7.704,0.203,9.716,-11.723,-21.439
26-100,HYSTERESIS_DIRECTION,2046,3.99,,-13.71,-17.699,17.111,103.645,86.534
101-250,VOLATILITY,2046,0.195,0.581,4.201,4.006,9.504,55.502,45.998
101-250,DISPERSION,2046,0.711,1.016,1.96,1.249,14.574,29.188,14.614
101-250,CONCENTRATION,2046,2.351,0.634,1.911,-0.44,37.996,28.008,-9.988
101-250,EXIT_ENTROPY,2043,2.052,,1.594,-0.457,28.26,25.942,-2.318
101-250,RANK_DEPTH,2046,2.193,0.22,1.97,-0.224,32.449,21.535,-10.914
101-250,BTC_ANCHOR,2046,11.647,2.66,-18.95,-30.597,83.505,399.031,315.526
101-250,DEMAND,2046,8.404,2.493,5.947,-2.457,9.522,-8.87,-18.393
101-250,HYSTERESIS_DIRECTION,2046,4.45,,-19.45,-23.9,17.947,156.198,138.251
251-500,VOLATILITY,2046,0.255,0.733,4.294,4.039,8.674,49.733,41.06
251-500,DISPERSION,2046,1.049,1.375,1.959,0.91,14.455,29.158,14.703
251-500,CONCENTRATION,2046,2.855,0.741,2.017,-0.838,37.156,23.906,-13.25
251-500,EXIT_ENTROPY,2043,1.955,,1.761,-0.195,23.107,23.807,0.701
251-500,RANK_DEPTH,2046,2.386,0.434,2.219,-0.168,29.174,23.346,-5.828
251-500,BTC_ANCHOR,2046,14.46,3.689,-4.38,-18.84,89.752,121.587,31.834
251-500,DEMAND,2046,8.925,2.374,6.159,-2.766,9.368,-9.328,-18.696
251-500,HYSTERESIS_DIRECTION,2046,4.816,,-8.798,-13.613,17.721,75.303,57.581
501-750,VOLATILITY,2046,0.573,1.338,4.741,4.168,7.827,40.671,32.844
501-750,DISPERSION,2046,1.526,2.349,2.662,1.136,13.686,24.501,10.815
501-750,CONCENTRATION,2046,5.88,0.89,2.743,-3.137,52.324,22.712,-29.613
501-750,EXIT_ENTROPY,2043,2.683,,2.439,-0.243,22.456,22.41,-0.046
501-750,RANK_DEPTH,2046,3.576,0.967,1.893,-1.683,28.811,15.758,-13.052
501-750,BTC_ANCHOR,2046,31.461,3.538,-1.404,-32.865,160.725,128.691,-32.034
501-750,DEMAND,2046,9.036,3.088,9.336,0.3,9.03,-17.59,-26.619
501-750,HYSTERESIS_DIRECTION,2046,5.218,,-4.351,-9.569,16.6,57.036,40.436
751-1000,VOLATILITY,2046,0.719,1.094,3.892,3.172,6.586,30.009,23.423
751-1000,DISPERSION,2046,1.823,1.776,2.306,0.482,11.551,17.568,6.017
751-1000,CONCENTRATION,2046,2.892,1.068,2.431,-0.461,23.342,17.198,-6.143
751-1000,EXIT_ENTROPY,2043,2.373,,2.132,-0.241,16.103,16.08,-0.023
751-1000,RANK_DEPTH,2046,2.841,1.069,1.807,-1.034,20.088,11.876,-8.212
751-1000,BTC_ANCHOR,2046,45.682,3.235,-0.137,-45.819,186.24,44.749,-141.491
751-1000,DEMAND,2046,7.3,2.214,15.621,8.321,7.155,-37.29,-44.445
751-1000,HYSTERESIS_DIRECTION,2046,4.399,,-1.356,-5.755,12.584,26.286,13.702
1001-1500,VOLATILITY,2046,1.086,1.58,4.022,2.936,8.21,28.927,20.717
1001-1500,DISPERSION,2046,3.638,2.566,2.56,-1.078,22.15,20.346,-1.805
1001-1500,CONCENTRATION,2046,2.843,1.485,2.801,-0.041,26.301,15.609,-10.692
1001-1500,EXIT_ENTROPY,2043,2.871,,2.612,-0.258,19.257,18.19,-1.067
1001-1500,RANK_DEPTH,2046,3.186,1.578,2.267,-0.92,21.223,13.512,-7.711
1001-1500,BTC_ANCHOR,2046,-31.88,3.703,0.826,32.707,-115.829,53.875,169.704
1001-1500,DEMAND,2046,5.766,3.365,20.589,14.823,5.846,-57.438,-63.284
1001-1500,HYSTERESIS_DIRECTION,2046,4.75,,-1.247,-5.997,13.325,35.326,22.001
1501-2000,VOLATILITY,2046,1.254,1.549,3.002,1.748,8.784,24.611,15.827
1501-2000,DISPERSION,2046,9.479,2.97,1.98,-7.499,48.755,15.176,-33.578
1501-2000,CONCENTRATION,2046,1.987,1.416,2.406,0.419,27.652,11.636,-16.016
1501-2000,EXIT_ENTROPY,2043,2.465,,2.292,-0.173,16.078,16.013,-0.065
1501-2000,RANK_DEPTH,2046,2.862,1.376,1.907,-0.955,18.359,11.481,-6.877
1501-2000,BTC_ANCHOR,2046,-55.834,3.587,0.591,56.425,-207.719,34.039,241.758
1501-2000,DEMAND,2046,5.074,2.565,17.109,12.035,5.38,-55.836,-61.216
1501-2000,HYSTERESIS_DIRECTION,2046,4.704,,-0.707,-5.411,13.547,23.345,9.799
