resolution,state,n,n_live_exits,effective_exit_count,mean_exit_entropy,dominant_exit_share_p1,second_share_p2,p1_p2_gap,reopening_exits,corr_entropy_k,corr_entropy_p1,resolution_driver
6CELL,6C_0,482,0.3,1.01,0.007,0.285,0.357,-0.072,3,0.201,0.087,EDGE_PRUNING
6CELL,6C_1,288,1.85,1.66,0.667,0.766,0.284,0.482,0,0.836,-0.987,PRESSURE_CONCENTRATION
6CELL,6C_2,499,0.44,1.03,0.034,0.39,0.338,0.052,0,0.386,0.093,EDGE_PRUNING
6CELL,6C_3,142,1.77,1.59,0.583,0.809,0.265,0.544,0,0.932,-0.995,PRESSURE_CONCENTRATION
6CELL,6C_4,511,1.62,1.53,0.531,0.781,0.316,0.465,0,0.93,-0.891,EDGE_PRUNING
6CELL,6C_5,274,1.0,1.29,0.28,0.553,0.323,0.23,1,0.829,-0.054,EDGE_PRUNING
8CELL,8C_0,100,1.2,1.14,0.145,0.952,0.256,0.697,2,0.997,-0.999,PRESSURE_CONCENTRATION
8CELL,8C_1,482,0.32,1.02,0.024,0.279,0.352,-0.073,3,0.357,0.165,EDGE_PRUNING
8CELL,8C_2,185,2.05,1.88,0.813,0.717,0.301,0.416,1,0.927,-0.978,PRESSURE_CONCENTRATION
8CELL,8C_3,288,2.07,1.88,0.815,0.712,0.298,0.414,0,0.923,-0.95,PRESSURE_CONCENTRATION
8CELL,8C_4,326,2.08,1.91,0.831,0.704,0.313,0.391,0,0.951,-0.928,EDGE_PRUNING
8CELL,8C_5,174,1.96,1.83,0.733,0.73,0.311,0.419,2,0.969,-0.952,EDGE_PRUNING
8CELL,8C_6,499,0.45,1.04,0.039,0.388,0.311,0.078,0,0.422,0.106,EDGE_PRUNING
8CELL,8C_7,142,2.11,1.89,0.825,0.723,0.273,0.45,0,0.909,-0.989,PRESSURE_CONCENTRATION
