response,subperiod,onset_f20,half_sat_x0,slope_k,ceiling,overshoot,persistence,relaxation_after_peak,hysteresis_gap,fit_rmse,n
FIELD,2020-2021,-2.1669,-1.498,1.5612,0.5282,0.3994,0.5544,0.5099,0.1598,0.2076,486
FIELD,2022,-7.6765,1.3584,0.1384,1.1,-0.1797,0.5379,0.4804,0.2479,0.2415,308
FIELD,2023,-4.0346,-2.0584,0.463,0.7137,0.1796,0.5884,0.5236,0.2157,0.2094,311
FIELD,2024,-3.5649,-1.9849,0.6738,0.5849,0.3246,0.5272,0.5408,0.2545,0.2393,338
FIELD,2025-2026,-3.5933,-1.1031,0.4215,0.7785,0.1419,0.528,0.4405,0.2167,0.23,600
26-100,2020-2021,-2.2118,-1.3679,1.6428,0.5564,0.4436,0.5846,0.5192,0.2004,0.2907,486
26-100,2022,-10.1223,1.1465,0.123,1.1,-0.1,0.5551,0.486,0.3309,0.3451,308
26-100,2023,-4.445,-1.7852,0.4966,0.7633,0.2367,0.6191,0.5328,0.2988,0.317,311
26-100,2024,-4.2328,-1.8677,0.5862,0.6375,0.3625,0.5446,0.5758,0.3436,0.3337,338
26-100,2025-2026,-3.5607,-0.3184,0.4276,0.9323,0.0677,0.5603,0.4388,0.2922,0.3167,600
101-250,2020-2021,-2.1057,-1.3888,1.7422,0.5404,0.4493,0.5645,0.5284,0.1842,0.2528,486
101-250,2022,-8.1188,0.8946,0.1511,1.1,-0.1211,0.5631,0.4965,0.305,0.3006,308
101-250,2023,-4.4713,-1.8717,0.4691,0.7674,0.222,0.6263,0.5475,0.2761,0.2868,311
101-250,2024,-3.2976,-1.8241,0.8255,0.5955,0.3942,0.5468,0.5758,0.3168,0.3061,338
101-250,2025-2026,-3.4592,-0.8997,0.5288,0.8147,0.1742,0.5686,0.456,0.2668,0.2926,600
251-500,2020-2021,-2.0577,-1.4272,1.7698,0.5284,0.4493,0.5483,0.5221,0.1589,0.2202,486
251-500,2022,-6.7433,1.0037,0.1619,1.1,-0.1534,0.554,0.4795,0.2684,0.2628,308
251-500,2023,-4.1146,-1.8413,0.4815,0.7506,0.1936,0.6098,0.5384,0.2397,0.2433,311
251-500,2024,-3.4392,-1.7263,0.6533,0.6261,0.3443,0.551,0.5657,0.2926,0.2822,338
251-500,2025-2026,-3.6613,-0.7992,0.3889,0.8557,0.0892,0.5448,0.4482,0.235,0.2531,600
501-750,2020-2021,-2.1507,-1.5172,1.5768,0.5216,0.4051,0.5538,0.5175,0.1475,0.1935,486
501-750,2022,-7.3931,1.2652,0.1477,1.1,-0.1613,0.5381,0.4838,0.2276,0.2251,308
501-750,2023,-4.0491,-1.8673,0.4698,0.7258,0.1708,0.5931,0.5229,0.2025,0.1994,311
501-750,2024,-3.7922,-1.9057,0.5834,0.6104,0.3429,0.5354,0.5513,0.2503,0.2405,338
501-750,2025-2026,-3.8495,-0.7085,0.3544,0.8504,0.0871,0.5258,0.4431,0.2132,0.2305,600
751-1000,2020-2021,-2.1523,-1.5073,1.5157,0.5235,0.4165,0.5456,0.4971,0.1439,0.1856,486
751-1000,2022,-7.8641,1.709,0.1282,1.1,-0.1861,0.522,0.4778,0.1987,0.1982,308
751-1000,2023,-3.8605,-2.1073,0.4096,0.701,0.1427,0.5609,0.5119,0.1661,0.1558,311
751-1000,2024,-3.4967,-1.981,0.6582,0.5756,0.3315,0.5195,0.5252,0.2245,0.2112,338
751-1000,2025-2026,-3.937,-1.886,0.5022,0.654,0.2731,0.5112,0.4379,0.1918,0.2119,600
1001-1500,2020-2021,-2.2833,-1.6047,1.4028,0.5179,0.3746,0.543,0.5006,0.132,0.1717,486
1001-1500,2022,-7.705,1.7249,0.1298,1.1,-0.2116,0.5218,0.4723,0.2046,0.1971,308
1001-1500,2023,-3.7964,-2.6048,0.4838,0.6365,0.1809,0.5528,0.5074,0.1638,0.1504,311
1001-1500,2024,-3.4421,-2.2241,0.7625,0.5297,0.3092,0.4959,0.5015,0.1869,0.1784,338
1001-1500,2025-2026,-4.3437,-2.0146,0.4455,0.6466,0.2377,0.4975,0.4348,0.1754,0.1827,600
1501-2000,2020-2021,-2.5105,-1.8435,1.1558,0.5143,0.3406,0.5413,0.4845,0.1518,0.1889,486
1501-2000,2022,-7.0595,1.9346,0.128,1.1,-0.2604,0.511,0.467,0.2003,0.1956,308
1501-2000,2023,-3.8149,-2.531,0.4506,0.6471,0.1488,0.5563,0.5046,0.1632,0.1514,311
1501-2000,2024,-3.3155,-2.2858,0.709,0.5337,0.2609,0.4969,0.4901,0.1672,0.1588,338
1501-2000,2025-2026,-4.054,-1.2024,0.3544,0.7348,0.1007,0.4878,0.4246,0.1422,0.1587,600
