from_state,dominant_exit,hazard_span,hazard_span_rel,clock_verdict
6C_0,6C_0,0.2182,0.237,NO_STABLE_EDGE_CLOCK
6C_1,6C_1,0.0895,0.119,NO_STABLE_EDGE_CLOCK
6C_2,6C_2,0.3053,0.346,WEAK_EDGE_TIMING
6C_3,6C_4,,,DATA_LIMITED
6C_4,6C_4,0.1701,0.248,NO_STABLE_EDGE_CLOCK
6C_5,6C_5,0.3408,0.449,WEAK_EDGE_TIMING
