shallow,deep,n_subperiods,frac_deep_ge_shallow,mean_gap,min_gap,max_gap,inversion_subperiods
26-100,101-250,5,0.4,0.026,-1.271,1.278,2022|2023|2025-2026
26-100,251-500,5,0.8,0.616,-0.249,1.736,2024
26-100,501-750,5,1.0,0.655,0.183,1.923,
26-100,751-1000,5,0.8,0.382,-0.93,1.441,2022
26-100,1001-1500,5,0.8,0.768,-0.359,1.282,2022
26-100,1501-2000,5,0.8,0.355,-1.195,1.138,2022
101-250,251-500,5,0.8,0.59,-0.551,3.007,2024
101-250,501-750,5,1.0,0.63,0.008,1.454,
101-250,751-1000,5,1.0,0.357,0.095,0.669,
101-250,1001-1500,5,1.0,0.742,0.004,1.391,
101-250,1501-2000,5,0.8,0.329,-0.831,1.264,2020-2021
251-500,501-750,5,0.8,0.04,-1.553,0.559,2022
251-500,751-1000,5,0.8,-0.233,-2.666,0.646,2022
251-500,1001-1500,5,0.6,0.152,-2.095,1.291,2020-2021|2022
251-500,1501-2000,5,0.6,-0.261,-2.931,1.174,2020-2021|2022
501-750,751-1000,5,0.4,-0.273,-1.113,0.147,2020-2021|2022|2025-2026
501-750,1001-1500,5,0.6,0.113,-0.641,0.872,2020-2021|2022
501-750,1501-2000,5,0.4,-0.3,-1.476,0.745,2020-2021|2022|2023
751-1000,1001-1500,5,0.6,0.386,-0.159,0.876,2020-2021|2023
751-1000,1501-2000,5,0.4,-0.027,-0.994,0.749,2020-2021|2022|2023
1001-1500,1501-2000,5,0.0,-0.413,-0.836,-0.117,2020-2021|2022|2023|2024|2025-2026
