date,time,open,high,low,close,tickvol,spread
2021-10-21,1.1644,1.16349,9.100000000001884,1.16234,1.16504,1.16183,0
2021-10-22,1.16426,1.16297,12.900000000000134,1.1643,1.16541,1.16205,0
2021-10-25,1.16274,1.16035,23.900000000001143,1.16081,1.16168,1.15907,0
2021-10-26,1.16257,1.16156,10.100000000001774,1.15957,1.16225,1.15849,0
2021-10-27,1.16076,1.1587,20.599999999999508,1.16026,1.16257,1.15881,0
2021-10-28,1.16179,1.15907,27.200000000000557,1.16801,1.1692,1.15829,0
2021-10-29,1.16568,1.16458,11.000000000001009,1.1562,1.16482,1.15353,0
2021-11-01,1.15772,1.15647,12.499999999999734,1.16057,1.1609,1.15655,0
2021-11-02,1.16063,1.15904,15.899999999999803,1.15787,1.16077,1.15747,0
2021-11-03,1.15928,1.15791,13.700000000000934,1.16116,1.16161,1.15621,0
2021-11-04,1.1554,1.15427,11.300000000000754,1.1554,1.15731,1.15284,0
2021-11-05,1.15425,1.15302,12.300000000000644,1.15665,1.1573,1.15134,0
2021-11-08,1.15802,1.15617,18.500000000001293,1.15864,1.1595,1.15642,0
2021-11-09,1.1596,1.15714,24.599999999999067,1.15925,1.16087,1.15696,0
2021-11-10,1.15719,1.1545,26.89999999999859,1.14786,1.15744,1.14708,0
2021-11-11,1.14748,1.14541,20.700000000000163,1.14499,1.14771,1.14429,0
2021-11-12,1.14552,1.14393,15.900000000002024,1.14434,1.14621,1.14329,0
2021-11-15,1.14552,1.14402,15.000000000000568,1.13676,1.1448,1.13563,0
2021-11-16,1.13723,1.13585,13.799999999999368,1.132,1.13747,1.1309,0
2021-11-17,1.13322,1.1307,25.199999999998557,1.13192,1.13266,1.12932,0
2021-11-18,1.13484,1.13372,11.200000000000099,1.13684,1.13741,1.13269,0
2021-11-19,1.13029,1.12524,50.499999999999986,1.12812,1.13222,1.12498,0
2021-11-22,1.12882,1.12654,22.799999999998377,1.12359,1.12805,1.12308,0
2021-11-23,1.12614,1.12343,27.099999999999902,1.12479,1.12715,1.124,0
2021-11-24,1.12201,1.12059,14.199999999999768,1.11968,1.12161,1.11861,0
2021-11-25,1.12297,1.12151,14.600000000000168,1.12058,1.12267,1.12033,0
2021-11-26,1.12954,1.12738,21.599999999999397,1.13073,1.13308,1.12782,0
2021-11-29,1.12948,1.12784,16.40000000000086,1.12905,1.1293,1.12584,0
2021-11-30,1.13638,1.13412,22.599999999999287,1.13347,1.13829,1.12351,0
2021-12-01,1.13342,1.13129,21.300000000001873,1.13191,1.13578,1.13091,0
2021-12-02,1.13478,1.13319,15.899999999999803,1.13008,1.13474,1.12954,0
2021-12-03,1.13162,1.12946,21.600000000001618,1.13083,1.13333,1.12666,0
2021-12-06,1.13031,1.12903,12.799999999999478,1.12849,1.13079,1.12665,0
2021-12-07,1.12667,1.12509,15.800000000001369,1.12665,1.12738,1.12273,0
2021-12-08,1.13025,1.12665,36.000000000000476,1.13403,1.13548,1.12878,0
2021-12-09,1.13226,1.13067,15.899999999999803,1.12929,1.13207,1.12784,0
2021-12-10,1.12794,1.12666,12.799999999999478,1.13169,1.1324,1.12665,0
2021-12-13,1.12796,1.12624,17.20000000000166,1.12847,1.13072,1.12726,0
2021-12-14,1.13238,1.13005,23.299999999999432,1.12541,1.13202,1.12537,0
2021-12-15,1.12769,1.12625,14.400000000001079,1.12875,1.12991,1.12216,0
2021-12-16,1.13148,1.12905,24.299999999999322,1.13329,1.13604,1.12913,0
2021-12-17,1.13338,1.13116,22.200000000001108,1.12369,1.13329,1.1235,0
2021-12-20,1.12767,1.12571,19.599999999999618,1.12777,1.13038,1.1268,0
2021-12-21,1.12977,1.12759,21.799999999998487,1.12825,1.13013,1.12607,0
2021-12-22,1.13107,1.12811,29.600000000000737,1.13382,1.13424,1.12978,0
2021-12-23,1.13305,1.13181,12.399999999999078,1.1334,1.13379,1.12901,0
2021-12-24,1.13434,1.13258,17.599999999999838,1.13148,1.1333,1.13035,0
2021-12-27,1.13231,1.13071,15.999999999998238,1.13269,1.13318,1.13034,0
2021-12-28,1.13334,1.13262,7.200000000000539,1.13116,1.13332,1.12894,0
2021-12-29,1.13031,1.12784,24.699999999999722,1.13482,1.13688,1.12918,0
2021-12-30,1.13258,1.13001,25.699999999999612,1.13193,1.13445,1.12985,0
2021-12-31,1.13363,1.13176,18.699999999998163,1.13757,1.13863,1.1312,0
2022-01-03,1.13662,1.13503,15.899999999999803,1.12963,1.13643,1.12796,0
2022-01-04,1.13055,1.12761,29.399999999999427,1.12846,1.13225,1.12723,0
2022-01-05,1.13237,1.13044,19.300000000002093,1.1311,1.13466,1.13022,0
2022-01-06,1.13269,1.13022,24.699999999999722,1.12912,1.13318,1.12862,0
2022-01-07,1.13193,1.13008,18.500000000001293,1.13613,1.13648,1.12922,0
2022-01-10,1.13363,1.13223,13.999999999998458,1.13264,1.13348,1.12851,0
2022-01-11,1.13434,1.13259,17.499999999999183,1.13657,1.13754,1.1313,0
2022-01-12,1.13682,1.13547,13.499999999999623,1.14496,1.14527,1.13596,0
2022-01-13,1.14775,1.14573,20.200000000001328,1.14522,1.14816,1.14471,0
2022-01-14,1.1461,1.14484,12.599999999998168,1.14146,1.14562,1.13985,0
2022-01-17,1.14266,1.14063,20.299999999999763,1.14067,1.14165,1.13919,0
2022-01-18,1.13994,1.13833,16.099999999998893,1.13173,1.13918,1.13147,0
2022-01-19,1.13498,1.13367,13.100000000001444,1.13457,1.13571,1.13331,0
2022-01-20,1.13516,1.1333,18.599999999999728,1.13038,1.13578,1.13032,0
2022-01-21,1.13415,1.13256,15.899999999999803,1.13411,1.13599,1.13261,0
2022-01-24,1.13281,1.13013,26.800000000000157,1.13213,1.1335,1.12905,0
2022-01-25,1.12909,1.12686,22.299999999999542,1.13045,1.1307,1.12632,0
2022-01-26,1.12882,1.12753,12.900000000000134,1.12404,1.13007,1.12352,0
2022-01-27,1.1201,1.11523,48.70000000000152,1.11428,1.11689,1.11318,0
2022-01-28,1.11438,1.11277,16.099999999998893,1.115,1.11737,1.11255,0
2022-01-31,1.1182,1.1153,29.000000000001247,1.12352,1.12478,1.11463,0
2022-02-01,1.12787,1.12553,23.400000000000087,1.12687,1.12745,1.12345,0
2022-02-02,1.13201,1.12898,30.29999999999866,1.13052,1.133,1.12923,0
2022-02-03,1.12859,1.12753,10.600000000000609,1.14305,1.14515,1.12672,0
2022-02-04,1.14838,1.14568,26.999999999999247,1.14551,1.1482,1.14115,0
2022-02-07,1.14464,1.14162,30.200000000000227,1.14392,1.14588,1.14171,0
2022-02-08,1.14337,1.14024,31.30000000000077,1.14188,1.14272,1.14003,0
2022-02-09,1.14448,1.14232,21.599999999999397,1.14253,1.14479,1.14202,0
2022-02-10,1.14456,1.14312,14.400000000001079,1.14314,1.1495,1.13747,0
2022-02-11,1.13996,1.13838,15.800000000001369,1.13418,1.14181,1.13295,0
2022-02-14,1.13182,1.13008,17.400000000000748,1.12942,1.13424,1.128,0
2022-02-15,1.13538,1.13384,15.400000000000968,1.13584,1.13683,1.13202,0
2022-02-16,1.13883,1.13732,15.099999999999003,1.13818,1.13959,1.13532,0
2022-02-17,1.13795,1.13549,24.599999999999067,1.13603,1.13794,1.13505,0
2022-02-18,1.13723,1.13468,25.500000000000522,1.13246,1.13684,1.13141,0
2022-02-21,1.13666,1.13457,20.899999999999253,1.13147,1.13504,1.13065,0
2022-02-22,1.13669,1.13184,48.50000000000021,1.13245,1.13593,1.13219,0
2022-02-23,1.13582,1.13399,18.299999999999983,1.13052,1.13523,1.13012,0
2022-02-24,1.12124,1.11551,57.300000000000125,1.11993,1.12212,1.11064,0
2022-02-25,1.11869,1.1166,20.899999999999253,1.12656,1.1274,1.11838,0
