filter,band,n_pos,n_neg,median_ret_pos,median_ret_neg
vol_quint_1,ALL_LOWER,60930,61258,0.022593860999127302,-0.0360548742725027
vol_quint_2,ALL_LOWER,60796,61128,0.018826701243213506,-0.03723445200489073
vol_quint_3,ALL_LOWER,60807,61129,0.020376839595012575,-0.040005007542788906
vol_quint_4,ALL_LOWER,60796,61128,0.02355084345437941,-0.0443836538120192
vol_quint_5,ALL_LOWER,60896,61219,0.03200088640005816,-0.04864236964552526
vol_quint_1,501-750,2069,1979,0.014144355130088382,-0.015618473276271194
vol_quint_3,501-750,6484,6003,0.02083550336822415,-0.030192086294699938
vol_quint_5,501-750,28828,29919,0.037251925536755603,-0.051136363636363646
vol_quint_1,751-1000,4132,4277,0.019769607689579027,-0.02128952245437421
vol_quint_3,751-1000,10178,10215,0.02412778692039319,-0.040000000000000036
vol_quint_5,751-1000,16663,16347,0.029909642232081035,-0.04814922297545582
vol_quint_1,1001-1500,18006,17880,0.02415840244302303,-0.031273590844116184
vol_quint_3,1001-1500,25092,25891,0.021187696782173582,-0.0415453676528762
vol_quint_5,1001-1500,12394,11988,0.02306904133668286,-0.043598335336392735
vol_quint_1,1501-2000,36723,37122,0.02271011575239057,-0.041383219954648554
vol_quint_3,1501-2000,19053,19020,0.016806564739323626,-0.041144196194800975
vol_quint_5,1501-2000,3011,2965,0.018740727207215535,-0.04381934269101767
zero_vol_excluded,ALL_LOWER,304225,305862,0.023530827144350064,-0.04119942348929595
stale_excluded,ALL_LOWER,324315,323043,0.026136537455991427,-0.04218538697970142
listing_age_gt30d,ALL_LOWER,325239,325798,0.024960925414899915,-0.04050938085323996
high_vol_q4_5,ALL_LOWER,121692,122347,0.027824141543842495,-0.04636525654253831
