rank_band,impulse,n_asset_days,n_days,tested,median,mean,p75,p90,p95,iqr,mad,tail_up_5,tail_dn_5,elasticity_ols,amplification,ci_amp_lo,ci_amp_hi
1-25,POSITIVE_MARKET,4720,220,True,0.04525574302937335,0.055566665287263756,0.07715929965070306,0.1233269191830781,0.16613782097983304,0.06126769829778772,0.030467669694644317,0.4438559322033898,0.015677966101694914,-0.005240326943536383,0.8419292383229203,0.03935557416681904,0.049810818924534095
1-25,NEGATIVE_MARKET,4712,220,True,-0.057149510099037515,-0.05460879346393074,-0.017744920914712914,0.009999857889110026,0.028998979642765918,0.06741070517845979,0.03335084130659155,0.028862478777589132,0.5278013582342954,0.02987365646152814,1.0973884154757088,-0.06723901038813529,-0.0475806750917691
1-25,CALM,9265,439,True,0.00016146079909551414,0.004250435488939709,0.010900575789259737,0.031018033394363143,0.05462243492130915,0.020336567022248064,0.01017922461957732,0.05688073394495413,0.022234214786832164,1.3069993627479874,0.11687621867777921,-0.0006804813977377783,0.0008013104478723053
1-25,ALL,46665,2195,True,-0.00023775912615420225,0.0030598162903326923,0.022303132782138135,0.05421447373539498,0.08350511086388865,0.043941713621062806,0.021954687572783405,0.11164684453016178,0.09649630343940856,0.009356978463044422,-0.15739753627226535,-0.0012592816238351152,0.0008570358265574667
26-100,POSITIVE_MARKET,15520,220,True,0.04598743344834405,0.05649868776088402,0.08271772559015239,0.1346895406817671,0.17708798620977298,0.06930980359651256,0.03447015729580427,0.46565721649484537,0.02532216494845361,-0.005486789360045082,0.8559628566280254,0.04092041942557427,0.051510439884785875
26-100,NEGATIVE_MARKET,15557,220,True,-0.06575293965989062,-0.058989464531881114,-0.020169542483997605,0.015962387616854156,0.042359366609876416,0.07570352817911696,0.03772213230618637,0.04274603072571832,0.5650832422703607,0.02099059315796919,1.2625920001972595,-0.07458193272647512,-0.053406584208699565
26-100,CALM,30823,439,True,-0.0004338081853922926,0.0053802610216815835,0.01531637955268883,0.04242321725041178,0.07255398034840078,0.030195709048794928,0.015115033796758603,0.08266554196541544,0.045842390422736266,1.7039338111506577,-0.31401962968191965,-0.0013067940853535957,5.108530555242297e-07
26-100,ALL,154533,2195,True,-0.0011189224740807968,0.0033870187520478674,0.02652638343176572,0.06520734336390271,0.10126389269611867,0.054437057557596535,0.027219995680027087,0.1401318812163098,0.1341008069473834,0.009861480343690216,-0.8099515702680694,-0.002454549630257004,-0.0002291859226220474
101-250,POSITIVE_MARKET,31270,220,True,0.04236394527921311,2.414985859577873,0.07845763161397634,0.13103311418392735,0.1824788865152286,0.07270804935840847,0.03608598851834788,0.4263831148065238,0.04416373520946594,1.717943501739587,0.7883248282314617,0.03585668014996883,0.04695123219228503
101-250,NEGATIVE_MARKET,31282,220,True,-0.061195033170150626,-0.04511490608520849,-0.011877600156628448,0.021159730440686364,0.055096623988300966,0.08200435375086204,0.04100354667741246,0.053800907870340774,0.5304328367751423,0.010840171462438802,1.1646045856219944,-0.06701228180495189,-0.049914971485518704
101-250,CALM,61970,439,True,0.0,0.01011997992122712,0.016079927629832347,0.048685082280835235,0.08694211516156637,0.03156685271254009,0.01574526380162322,0.0971276424076166,0.063240277553655,2.3631585381978355,0.0,-0.0007151132015537909,0.00042503963994571783
101-250,ALL,310814,2195,True,-0.00047498708702675696,0.2536635878870172,0.025935607729759225,0.06750617366686061,0.10940814832042786,0.05417315103514436,0.02712179815362853,0.1428474907822685,0.14172463273855104,1.9995932421303626,-0.3164834409435671,-0.0015003274737474537,5.10044269464534e-05
251-500,POSITIVE_MARKET,52502,220,True,0.035654279253568344,0.049179649616818914,0.07501019362066008,0.13002400251648352,0.18416484199567612,0.07488860864410712,0.03636569696059383,0.39059464401356137,0.06424517161251,-0.006494166386575015,0.6636321367048729,0.03145093190116096,0.0419524852730635
251-500,NEGATIVE_MARKET,52655,220,True,-0.05778730413830918,-0.04896349925875208,-0.011696728154281744,0.0248385657573376,0.06521063085972571,0.08496058716552035,0.04249022585749784,0.06248219542303675,0.5257620358940271,0.004347844672123766,1.0997519880916518,-0.06425799559237318,-0.04939192425430016
251-500,CALM,104328,439,True,-0.0004502678679785266,0.007159682102362642,0.01682929374812575,0.05113475533525283,0.09053185565027892,0.035450422231823986,0.01774536128892673,0.10231193926846101,0.08787669657234874,1.8536514187363737,-0.3259342583230024,-0.001276982994144321,-9.991986126036355e-05
251-500,ALL,522876,2195,True,-0.0012760808685086111,0.0075449555893100356,0.02509705047614641,0.06794415450856683,0.11152935902927702,0.05637015344239141,0.028201306766182932,0.14244486264429806,0.16020815642714525,0.006139390743786679,-0.8502514599204477,-0.0025860973678060173,-0.00036325851674159654
