rank_band,event_def,event_sign,chain_confirms,n,n_days,median_fwd_1d,mean_fwd_1d,reversal_rate_1d,median_fwd_3d,mean_fwd_3d,reversal_rate_3d,median_fwd_7d,mean_fwd_7d,reversal_rate_7d,median_fwd_14d,mean_fwd_14d,reversal_rate_14d,median_fwd_30d,mean_fwd_30d,reversal_rate_30d
1-25,FULL_SAMPLE,UP,True,1221,490,0.0,-0.04679104477147576,0.8804258804258804,-0.17136812577029756,-0.1411579683310626,0.7696768848384424,-0.17804591019900703,-0.14949750312573548,0.8005029337803856,-0.17330825069598738,-0.1485638602447078,0.7830913748932536,-0.16523820652796306,-0.14094251032777586,0.7952898550724637
1-25,FULL_SAMPLE,UP,False,108,88,0.0,-0.06987639712859076,0.9074074074074074,-0.13535455953682507,-0.14272553521510545,0.7777777777777778,-0.1766276196444272,-0.18226020557508013,0.8301886792452831,-0.19242335325954185,-0.18022258785818843,0.8529411764705882,-0.20869445685866342,-0.19103578765658524,0.8461538461538461
1-25,FULL_SAMPLE,DOWN,True,1130,239,0.0,0.04069194898371164,0.8902654867256637,0.0999655120544797,0.1543779920514728,0.7059344552701505,0.1232994562608751,0.15961027130154834,0.7370304114490162,0.13360806262206731,0.16532524941662313,0.7522851919561243,0.1335662300316242,0.1608658647730276,0.7583497053045186
1-25,FULL_SAMPLE,DOWN,False,83,76,0.0,0.022908236105763022,0.8170731707317073,0.05241295875615008,0.178985806582732,0.691358024691358,0.19491916163863862,0.22780013635773266,0.7901234567901234,0.1964192411893802,0.18473370493368707,0.725,0.0589158362785454,0.12292738423315841,0.68
1-25,TRAILING_252D,UP,True,1088,450,-0.12431229120838194,-0.11638901694063514,0.7658582089552238,-0.13372980518006947,-0.1195353419512023,0.7587511825922422,-0.15201705326668977,-0.1354094646163279,0.7719806763285024,-0.1480719808647393,-0.1303216487637829,0.7679112008072654,-0.13767113500254857,-0.12297164501964784,0.7678571428571429
1-25,TRAILING_252D,UP,False,107,84,-0.11255355885713067,-0.1279513829682136,0.8037383177570093,-0.12217158259589066,-0.12470164596298264,0.7570093457943925,-0.10174199566753603,-0.09859591929821156,0.7019230769230769,-0.09030050807799941,-0.1216939850660761,0.7524752475247525,-0.1348250761094231,-0.11715668060791871,0.7011494252873564
1-25,TRAILING_252D,DOWN,True,1114,248,0.100161163609067,0.1509454422975129,0.737410071942446,0.1525736326859976,0.15666293640342788,0.7509057971014492,0.14507397746252546,0.17148187783959035,0.7553290083410565,0.14602587417623034,0.16542347903324595,0.7367405978784957,0.12644362818094596,0.15607711897408955,0.7405812701829925
1-25,TRAILING_252D,DOWN,False,84,77,0.021126838924840068,0.10962549707367296,0.6547619047619048,0.06713609820528439,0.12472074382032469,0.6385542168674698,0.0930288921494795,0.13945568317022866,0.7073170731707317,0.06700749140197716,0.17497904648269183,0.618421052631579,0.12686681465167488,0.1612361296172865,0.7183098591549296
26-100,FULL_SAMPLE,UP,True,3970,1056,0.0,-0.058218756920220834,0.8720403022670025,-0.19563657571151008,-0.15005243221182335,0.7555217060167555,-0.2082808216479402,-0.16122380750620502,0.7733952049497294,-0.21330358273961258,-0.16701257332493252,0.7946145723336854,-0.2030360969537206,-0.16400929781980567,0.8102231008189776
26-100,FULL_SAMPLE,UP,False,545,357,0.0,-0.08039871651219284,0.8697247706422019,-0.20224611615618993,-0.17553736759397634,0.7588785046728972,-0.197662170276916,-0.16738718992959992,0.7680608365019012,-0.20686923753738512,-0.15924820519095756,0.7751004016064257,-0.15417040397738765,-0.16110413825151065,0.7505518763796909
26-100,FULL_SAMPLE,DOWN,True,3728,506,0.0,0.05642763042636773,0.875771397907164,0.11197528505499935,2.275569015630687,0.707671601615074,0.1895613827334453,6.600185828509651,0.7400436442989634,0.2053111958848453,0.5629733686767029,0.7519640852974186,0.1631326133212751,2.234456856907974,0.7773045330088226
26-100,FULL_SAMPLE,DOWN,False,330,261,0.0,0.0866158916219847,0.8121212121212121,0.09914622509929231,0.20850510104250242,0.7021276595744681,0.1097985749992686,0.2527024414062319,0.696875,0.06736846076085777,0.22610493871779577,0.6842105263157895,0.13701236789513346,0.20616485502708104,0.7169117647058824
26-100,TRAILING_252D,UP,True,3438,954,-0.11337237438208915,-0.12250468614644137,0.7492634060106069,-0.1508124601826279,-0.1353408630037575,0.7502240812668061,-0.14941165480489102,-0.13341757339706053,0.747471651854122,-0.16678618098532844,-0.14085607688252408,0.7565747273893522,-0.16756642324593463,0.11914953616499054,0.7694235588972431
26-100,TRAILING_252D,UP,False,414,292,-0.13350808734750283,-0.1446677586189826,0.7580246913580246,-0.0989168112274021,-0.13122257388881253,0.7295918367346939,-0.15725136157396452,-0.14811810913600534,0.7351351351351352,-0.10645631020048632,-0.11898610570266624,0.7159763313609467,-0.13826575947341394,-0.13453166344845133,0.7443365695792881
26-100,TRAILING_252D,DOWN,True,3458,469,0.11522042310203799,4.300648655167498,0.7438280569270984,0.15967515159554138,2.904405399872853,0.7394490035169988,0.15769230769230785,7.209084108715798,0.7397547113371223,0.18985370766881424,0.633287983990376,0.7486747739320238,0.15979387845712711,2.4533284292144577,0.727710843373494
26-100,TRAILING_252D,DOWN,False,291,233,0.060598907655429884,0.1670947227567566,0.7007042253521126,0.0389273529275469,0.16780943897035563,0.6726618705035972,0.06152433425160683,0.20292339884042151,0.6678966789667896,0.05870706707738377,0.16761043627870378,0.6653543307086615,0.05955811757345538,0.14086168726571854,0.6606334841628959
101-250,FULL_SAMPLE,UP,True,7662,1471,0.0,-0.06829954950014513,0.8667885594880501,-0.20674293215961873,-0.16080988990023212,0.7697594501718213,-0.2175004813087344,-0.17126517990217868,0.7906224737267583,-0.22159467110931785,-0.16616422875707548,0.7944016794961511,-0.21609177476982722,-0.1725818538267461,0.7948558067030398
101-250,FULL_SAMPLE,UP,False,1496,772,0.0,-0.038509454722078056,0.8795986622073578,-0.25467702607178966,-0.21412699901693427,0.8156462585034013,-0.24639942237531692,-0.1290836959700027,0.7971731448763251,-0.22995013930624805,-0.08460494762525207,0.8148984198645598,-0.22438088821986063,-0.1728043366847022,0.8037542662116041
101-250,FULL_SAMPLE,DOWN,True,6769,806,0.0,0.28920751070059175,0.8647650014779781,0.17201880832628716,160.0110972721928,0.7328369322412509,0.20924074526503048,0.6323889856762208,0.7543966040024257,0.23481931677907908,0.7095901032917091,0.7660753880266076,0.22401318225770808,0.4950531057269216,0.7811944543192322
101-250,FULL_SAMPLE,DOWN,False,1199,759,0.0,0.2015933059254133,0.8652719665271966,0.22132230469461425,9.854952814313133,0.7327070879590094,0.21868788301515724,1.4267470294275488,0.748220640569395,0.25539154457806995,0.748750192198734,0.7387988560533841,0.22918008161362605,0.40516426683507073,0.7532188841201717
101-250,TRAILING_252D,UP,True,6290,1317,-0.14206338505517657,-0.13376528726558798,0.7645062227250687,-0.1567049239838457,-0.1335012616642637,0.7432098765432099,-0.16711845147451243,-0.14299225902645168,0.7515254237288136,-0.174786043806267,0.1416759511912131,0.7541303961627287,-0.17603158133068236,0.21668226483583777,0.7437449556093624
101-250,TRAILING_252D,UP,False,1204,680,-0.1941106656896801,-0.2003376935442524,0.799831081081081,-0.1899898664808882,-0.17218903276672756,0.7824194952132288,-0.17062905164368714,0.7488450507937903,0.7345454545454545,-0.1891985174462646,-0.12853807911857015,0.7646484375,-0.17760009505263144,0.0007321406478090762,0.7600896860986547
101-250,TRAILING_252D,DOWN,True,6107,717,0.12278723917264017,177.21539596997485,0.7392308961874897,0.1586699489449832,179.50218700488435,0.7402532489170277,0.18595458272290769,0.8104867647553646,0.7369952087611226,0.19366368737376316,0.61082747335718,0.7337896253602305,0.17520599380743052,0.752463518547787,0.7255412991178829
101-250,TRAILING_252D,DOWN,False,1072,693,0.07840236686390548,10.204281351668948,0.7157794676806084,0.1068760387444657,2.504975281518362,0.7047898338220919,0.07910685159519062,10.750112873695178,0.6752049180327869,0.11250911542574332,1.9738518243723786,0.6607538802660754,0.09635714012695389,0.6746377262123684,0.6485461441213654
251-500,FULL_SAMPLE,UP,True,10985,1637,0.0,-0.05483464373312768,0.8579757675138927,-0.20551305618779292,-0.1529163197587089,0.7408500046095695,-0.23554113256974069,-0.025441607051417722,0.7740995015517728,-0.23566685680425492,-0.18224459430403678,0.7812469509220412,-0.2354954759616993,-0.1859170466972879,0.7930848190167477
251-500,FULL_SAMPLE,UP,False,2388,976,0.0,-0.06816201847554902,0.8817114093959731,-0.24460097973652067,0.46375233503360913,0.7776360544217688,-0.2479003113152881,0.06571959759373937,0.793194874060981,-0.2312185032537884,-0.11086408459242765,0.7768905589478629,-0.24504322137490175,-0.19561616872967758,0.7974068071312804
251-500,FULL_SAMPLE,DOWN,True,11223,1161,0.0,0.17239173191109583,0.8803388319215336,0.25652614421956316,1.3758862790150865,0.7406143344709898,0.2504108340865064,0.9718607376843085,0.7553025433844459,0.27141635166719547,0.8239509204284229,0.7680769230769231,0.25466030176302146,1.7789221815381178,0.7764262648008612
