rank_band,event_sign,horizon,n_raw,n_deduped,median_fwd,reversal_rate,p_up,p_down
501-750,UP,1,10834,8537,-0.028748489465763395,0.6660014087814041,0.33399859121859593,0.6593096971119982
501-750,UP,3,10834,8537,-0.04781901246228114,0.6725097714082672,0.3274902285917328,0.6687196494137155
501-750,UP,7,10834,8537,-0.06970809838485412,0.68371370534114,0.3162862946588601,0.6816823993308639
501-750,UP,14,10834,8537,-0.09803712529076758,0.6845216552056943,0.3154783447943057,0.6830739534322596
501-750,UP,30,10834,8537,-0.15784256888427836,0.7170737694857002,0.2829262305142997,0.7158463238001719
501-750,DOWN,1,8808,6721,0.0,0.5065534703604408,0.4988084599344653,0.49016979445933867
501-750,DOWN,3,8808,6721,-0.000715568760350563,0.4933552336867254,0.48827833358220096,0.5039569956697029
501-750,DOWN,7,8808,6721,-0.012293001951928005,0.4564533053515215,0.4519562284515065,0.5414480587618048
501-750,DOWN,14,8808,6721,-0.032645767382441446,0.4302993649833686,0.42636830964620503,0.5678863017840944
501-750,DOWN,30,8808,6721,-0.10749202490375766,0.3373253493013972,0.33394748963611237,0.6614463380930447
751-1000,UP,1,12619,9696,-0.024176888358883493,0.6385591908349675,0.3614408091650325,0.6276189493239757
751-1000,UP,3,12619,9696,-0.04271732317631751,0.646497145822522,0.35350285417747795,0.6391281785158277
751-1000,UP,7,12619,9696,-0.06072776782709877,0.6460204721119699,0.35397952788803005,0.6425736369333612
751-1000,UP,14,12619,9696,-0.0819147322870851,0.6502364687335785,0.34976353126642146,0.6481345244351024
751-1000,UP,30,12619,9696,-0.13349246179896743,0.6672375040137001,0.3327624959862999,0.6658460879803061
751-1000,DOWN,1,12356,8979,0.001648453337580273,0.531142061281337,0.5145403899721448,0.4615041782729805
751-1000,DOWN,3,12356,8979,0.0,0.5130007811628167,0.4994978239035822,0.479968753487334
751-1000,DOWN,7,12356,8979,-0.0025157148876495733,0.4828318979979868,0.4722066882899005,0.5103455989262946
751-1000,DOWN,14,12356,8979,-0.016890475394226792,0.4546068174147823,0.44425694678816513,0.5393182585217685
751-1000,DOWN,30,12356,8979,-0.08026099631310424,0.37843696520250997,0.3703365658870508,0.6165430690245294
1001-1500,UP,1,25859,21073,-0.026961191018246383,0.6535627703569901,0.34643722964300994,0.6431525407615154
1001-1500,UP,3,25859,21073,-0.049318807709583856,0.6614891990059262,0.33851080099407377,0.6552284458038616
1001-1500,UP,7,25859,21073,-0.07290498425806519,0.6645139524796376,0.33548604752036243,0.6600800038556075
1001-1500,UP,14,25859,21073,-0.09848104015487741,0.6647561686419273,0.3352438313580727,0.6620847095395376
1001-1500,UP,30,25859,21073,-0.14437372629071926,0.6732540861812779,0.32674591381872214,0.6711738484398216
1001-1500,DOWN,1,27320,20106,0.006899500597154567,0.5657174151150055,0.5515284277606293,0.4254206910285771
1001-1500,DOWN,3,27320,20106,0.007313801012679932,0.5451730509913599,0.5332867202716876,0.446736253308695
1001-1500,DOWN,7,27320,20106,0.0,0.5051706827309237,0.4955321285140562,0.48780120481927713
1001-1500,DOWN,14,27320,20106,-0.00896340068997858,0.47254137773953536,0.46449359720605354,0.5209799058561523
1001-1500,DOWN,30,27320,20106,-0.06705751969082605,0.4042805569881382,0.39809179989685406,0.5895822588963383
1501-2000,UP,1,23101,18632,-0.02529993422596888,0.6440320311654583,0.35596796883454174,0.6353208527215669
1501-2000,UP,3,23101,18632,-0.047511494404157834,0.6559169322052522,0.34408306779474784,0.651356993736952
1501-2000,UP,7,23101,18632,-0.06533472532765705,0.6484146615695975,0.3515853384304025,0.6447042950303575
1501-2000,UP,14,23101,18632,-0.08163359803671923,0.6397774687065368,0.36022253129346316,0.6376912378303199
1501-2000,UP,30,23101,18632,-0.10591900311526516,0.6247429105640386,0.37525708943596137,0.6235587410408227
1501-2000,DOWN,1,31413,24090,0.017396919518868965,0.6115138056731051,0.6003268110780575,0.38387732014915993
1501-2000,DOWN,3,31413,24090,0.02950942692371903,0.6036790008071711,0.5966693572369259,0.39190279960915925
1501-2000,DOWN,7,31413,24090,0.029963465939994077,0.5760614743422766,0.5702005730659025,0.4194668750542676
1501-2000,DOWN,14,31413,24090,0.0297093512340295,0.5582273360600476,0.5532832936311745,0.43754775495527887
1501-2000,DOWN,30,31413,24090,0.00915222978958217,0.5167076522493852,0.5129948406384107,0.47895269781570954
