rank_band,impulse,n_asset_days,n_days,median,mean,perturbation
1-25,POSITIVE_MARKET,4720,220,0.04449813687903659,0.055566665287263756,P0_BASELINE_CAPW
1-25,NEGATIVE_MARKET,4712,220,-0.05344395475212471,-0.05460879346393074,P0_BASELINE_CAPW
26-100,POSITIVE_MARKET,15520,220,0.046135136910649854,0.05649868776088402,P0_BASELINE_CAPW
26-100,NEGATIVE_MARKET,15557,220,-0.0593583913321839,-0.058989464531881114,P0_BASELINE_CAPW
101-250,POSITIVE_MARKET,31270,220,0.0404926544134816,2.414985859577873,P0_BASELINE_CAPW
101-250,NEGATIVE_MARKET,31282,220,-0.054427034308309086,-0.04511490608520849,P0_BASELINE_CAPW
251-500,POSITIVE_MARKET,52502,220,0.034890764712068756,0.049179649616818914,P0_BASELINE_CAPW
251-500,NEGATIVE_MARKET,52655,220,-0.05394921534626507,-0.04896349925875208,P0_BASELINE_CAPW
501-750,POSITIVE_MARKET,52630,220,0.03310892228405016,0.07147301597753644,P0_BASELINE_CAPW
501-750,NEGATIVE_MARKET,52875,220,-0.044656193926773224,0.01270308094523587,P0_BASELINE_CAPW
751-1000,POSITIVE_MARKET,53543,220,0.027079069412957235,0.074537218595621,P0_BASELINE_CAPW
751-1000,NEGATIVE_MARKET,53731,220,-0.04191128079864781,51.60494471531124,P0_BASELINE_CAPW
1001-1500,POSITIVE_MARKET,107028,220,0.023824343909098378,0.06380395454779121,P0_BASELINE_CAPW
1001-1500,NEGATIVE_MARKET,107360,220,-0.040228043725939244,-0.026708573108247254,P0_BASELINE_CAPW
1501-2000,POSITIVE_MARKET,106950,220,0.022452209156848757,0.09348768571882889,P0_BASELINE_CAPW
1501-2000,NEGATIVE_MARKET,107569,220,-0.041046736926266036,-0.040491515028754754,P0_BASELINE_CAPW
1-25,POSITIVE_MARKET,4626,217,0.044739520621979945,0.05780345345750381,P1_BTC_IMPULSE
1-25,NEGATIVE_MARKET,4589,216,-0.053943181189766376,-0.05783207078035394,P1_BTC_IMPULSE
26-100,POSITIVE_MARKET,15301,217,0.045661071350860505,0.05858268504895982,P1_BTC_IMPULSE
26-100,NEGATIVE_MARKET,15216,216,-0.059011279266034944,-0.0604600701736181,P1_BTC_IMPULSE
101-250,POSITIVE_MARKET,30955,217,0.040897358529254246,0.062190729080493945,P1_BTC_IMPULSE
101-250,NEGATIVE_MARKET,30773,216,-0.05491099714992631,-0.05021556475267391,P1_BTC_IMPULSE
251-500,POSITIVE_MARKET,51758,217,0.035674195051906055,0.04981625086392712,P1_BTC_IMPULSE
251-500,NEGATIVE_MARKET,51648,216,-0.05407350154426549,-0.048705678334887474,P1_BTC_IMPULSE
501-750,POSITIVE_MARKET,52049,216,0.032912718393502294,0.07155183879109064,P1_BTC_IMPULSE
501-750,NEGATIVE_MARKET,52029,216,-0.04665511664018984,0.06688430004865559,P1_BTC_IMPULSE
751-1000,POSITIVE_MARKET,52752,216,0.029505394287662967,52.657277971641726,P1_BTC_IMPULSE
751-1000,NEGATIVE_MARKET,52849,216,-0.04416999291893975,-0.01719467238077868,P1_BTC_IMPULSE
1001-1500,POSITIVE_MARKET,105356,216,0.028252291512695482,0.06720931973995692,P1_BTC_IMPULSE
1001-1500,NEGATIVE_MARKET,105548,216,-0.042598025600058265,-0.02887309840355944,P1_BTC_IMPULSE
1501-2000,POSITIVE_MARKET,105365,216,0.0277392510402219,0.06123700877289604,P1_BTC_IMPULSE
1501-2000,NEGATIVE_MARKET,105810,216,-0.04145310084648013,-0.03670177365107483,P1_BTC_IMPULSE
1-25,POSITIVE_MARKET,5500,220,0.03678817865068518,0.04843296231726909,P2_STABLES_INCLUDED
1-25,NEGATIVE_MARKET,5499,220,-0.04436894644919542,-0.047128254307342986,P2_STABLES_INCLUDED
26-100,POSITIVE_MARKET,16493,220,0.04286900483488476,0.05370152505522567,P2_STABLES_INCLUDED
26-100,NEGATIVE_MARKET,16492,220,-0.05595034307500579,-0.05620095662734061,P2_STABLES_INCLUDED
101-250,POSITIVE_MARKET,32814,220,0.037658455430181315,2.3016334259048894,P2_STABLES_INCLUDED
101-250,NEGATIVE_MARKET,32852,220,-0.051172906224747516,-0.043142127547400266,P2_STABLES_INCLUDED
251-500,POSITIVE_MARKET,54612,220,0.03266739802252838,0.04758610040246572,P2_STABLES_INCLUDED
