age_bin,impulse,ret_1d,measure
0-30d,ALL,-0.007588756963111676,median_ret_by_age
0-30d,CALM,-0.004282423576684735,median_ret_by_age
0-30d,NEGATIVE_MARKET,-0.05893752682864006,median_ret_by_age
0-30d,POSITIVE_MARKET,0.009285672682509016,median_ret_by_age
31-180d,ALL,-0.004063467492260053,median_ret_by_age
31-180d,CALM,-0.0021525282373451304,median_ret_by_age
31-180d,NEGATIVE_MARKET,-0.04822723477335156,median_ret_by_age
31-180d,POSITIVE_MARKET,0.023010508973914545,median_ret_by_age
181-730d,ALL,-0.0018040041273952312,median_ret_by_age
181-730d,CALM,-0.0008654115714924471,median_ret_by_age
181-730d,NEGATIVE_MARKET,-0.04552464836884762,median_ret_by_age
181-730d,POSITIVE_MARKET,0.026306877457198286,median_ret_by_age
>730d,ALL,-0.0006980455582720757,median_ret_by_age
>730d,CALM,-0.00011464082808493314,median_ret_by_age
>730d,NEGATIVE_MARKET,-0.0383092788228237,median_ret_by_age
>730d,POSITIVE_MARKET,0.026135084552726395,median_ret_by_age
