rank_band,shape,tested,n,continuation_rate,median_fwd_7d,median_fwd_rank_vel_7d,extreme_move_prob,median_fwd_vol_ratio
1-25,SHORT_HOT_MEDIUM_HOT,True,41296,0.500343002744022,4.0942969768879066e-05,0.0,0.05022540180321443,0.9831358374192749
1-25,SHORT_HOT_MEDIUM_COLD,True,297,0.5052264808362369,0.001638614864332999,0.0,0.059233449477351915,0.9961909508834236
1-25,SHORT_COLD_MEDIUM_HOT,True,191,0.5842105263157895,0.00762390816345604,0.0,0.06842105263157895,0.9711055488739061
1-25,SHORT_COLD_MEDIUM_COLD,True,4908,0.5267782426778242,0.0029986354233107583,0.0,0.03744769874476987,0.9821348491755905
26-100,SHORT_HOT_MEDIUM_HOT,True,102648,0.49607156286488946,-0.0004832260094336139,0.0,0.08620792020423915,0.9749340290751997
26-100,SHORT_HOT_MEDIUM_COLD,True,1866,0.4867403314917127,-0.0018206728888625194,-1.0,0.11878453038674033,0.9761136538080879
26-100,SHORT_COLD_MEDIUM_HOT,True,1147,0.4968833481745325,-0.0006880822078116832,0.0,0.07658058771148708,0.9932146822227836
26-100,SHORT_COLD_MEDIUM_COLD,True,49004,0.512618724559023,0.0014942812055402576,0.0,0.05673729255818808,0.9810614697930192
101-250,SHORT_HOT_MEDIUM_HOT,True,183746,0.49362661840456634,-0.00046106256404612685,-1.0,0.10380620910483085,0.9762151966885297
101-250,SHORT_HOT_MEDIUM_COLD,True,5983,0.4731372203628677,-0.0025339292690710323,0.0,0.16276202219482122,0.9757751397194224
101-250,SHORT_COLD_MEDIUM_HOT,True,3107,0.5120643431635389,0.0009448853628480323,0.0,0.10958445040214478,0.9701603359038773
101-250,SHORT_COLD_MEDIUM_COLD,True,119619,0.5122238509056644,0.00137512720992104,-1.0,0.07211286776253796,0.9802900722924552
251-500,SHORT_HOT_MEDIUM_HOT,True,235678,0.49023647593601444,-0.0007450668625979772,-3.0,0.11783458829244596,0.9768682013631892
251-500,SHORT_HOT_MEDIUM_COLD,True,15808,0.4762767599489967,-0.0019503198668090803,-2.0,0.19931548218240386,0.9764570289193953
251-500,SHORT_COLD_MEDIUM_HOT,True,6402,0.49870003249918754,-2.746482125432764e-06,-3.0,0.1338966525836854,0.9748399918327765
251-500,SHORT_COLD_MEDIUM_COLD,True,268145,0.5104587471382024,0.001135997423730588,-2.0,0.09603528703927988,0.982417693056926
501-750,SHORT_HOT_MEDIUM_HOT,True,214801,0.4861325639456377,-0.0007466257930909411,-5.0,0.14989945501704893,0.981397257990774
501-750,SHORT_HOT_MEDIUM_COLD,True,17259,0.4576632553606238,-0.005108587872565742,-8.0,0.19651559454191034,0.9823122550413707
501-750,SHORT_COLD_MEDIUM_HOT,True,7501,0.48859797297297297,-0.0002123396995815673,-5.0,0.16356981981981983,0.9800916389882461
501-750,SHORT_COLD_MEDIUM_COLD,True,290576,0.5107788924587823,0.0011975030561540661,-4.0,0.10367626166590169,0.9839870431614427
751-1000,SHORT_HOT_MEDIUM_HOT,True,189901,0.4852949300100538,-0.00022570290432706033,-5.0,0.16028636770408672,0.9857699657667681
751-1000,SHORT_HOT_MEDIUM_COLD,True,11879,0.46487510145188926,-0.0033934482260200476,-5.0,0.24132022725223193,0.9859620803435053
751-1000,SHORT_COLD_MEDIUM_HOT,True,7160,0.5045583619787775,0.0005170296197150899,-5.0,0.20819010611268868,0.9839165950468944
751-1000,SHORT_COLD_MEDIUM_COLD,True,330155,0.5038358562454948,0.0002905895832859586,-5.0,0.11739908351354135,0.9878002875101457
1001-1500,SHORT_HOT_MEDIUM_HOT,True,292875,0.4817156455496571,-0.0002027218398839331,-8.0,0.2040426940028444,0.991441699546308
1001-1500,SHORT_HOT_MEDIUM_COLD,True,21599,0.4664804469273743,-0.002343669628019046,-9.0,0.2756694278559044,0.9911868270119966
1001-1500,SHORT_COLD_MEDIUM_HOT,True,14207,0.5018928363424577,0.00015160783952620626,-8.0,0.27708211997670357,0.9855580719746743
1001-1500,SHORT_COLD_MEDIUM_COLD,True,750100,0.499939939101042,0.0,-6.0,0.13765399335139816,0.9925750527769576
1501-2000,SHORT_HOT_MEDIUM_HOT,True,220170,0.47348763192998056,-8.795900421312077e-05,-9.0,0.23444805878636119,0.996474759460541
1501-2000,SHORT_HOT_MEDIUM_COLD,True,20657,0.46754946880821713,-0.00036485594079063493,-8.0,0.31166607925079304,0.9905428444457072
1501-2000,SHORT_COLD_MEDIUM_HOT,True,13806,0.48716034637205136,0.0,-9.0,0.3413705583756345,0.9932040707971964
1501-2000,SHORT_COLD_MEDIUM_COLD,True,832377,0.49890273731480517,0.0,-6.0,0.16700744462252384,0.9956491114492699
