pair,corr,class
mkt_ret_1d|btc_ret_1d,0.08250613196286602,DISTINCT_INFORMATION
mkt_ret_1d|eth_ret_1d,0.08235966173421852,DISTINCT_INFORMATION
btc_ret_1d|eth_ret_1d,0.8077964255537667,PARTIAL_PROXY
mkt_ret_1d|top500_breadth_30d,-0.015677550785559383,DISTINCT_INFORMATION
mkt_ret_1d|mkt_vol_30d,-0.013238066122537365,DISTINCT_INFORMATION
ret_1d|next,0.0695734291372622,DISTINCT_INFORMATION
ret_3d|next,0.9833372786391612,REDUNDANT_PROXY
ret_7d|next,0.9808736103696536,REDUNDANT_PROXY
ret_14d|next,0.9813089855512188,REDUNDANT_PROXY
ret_30d|next,0.9798709462366326,REDUNDANT_PROXY
