window,rank_lo,rank_hi,center,n_asset_days,n_dates,R2_pooled,corr_band_median
25,1,25,13,54871,2195,0.002080686478884375,0.0882094302650932
25,13,37,25,54864,2195,0.001291641593983539,0.08364090687766638
25,25,49,37,54858,2195,0.001200499936288013,0.08327342943114416
25,37,61,49,54856,2195,0.000697718242498091,0.08434909677685813
25,49,73,61,54853,2195,0.000750908220275015,0.08195131718238773
25,61,85,73,54851,2195,0.0017471727205876642,0.07784558956113431
25,73,97,85,54853,2195,0.0015893035863147054,0.07849384818985208
25,85,109,97,54852,2195,0.0016481808817813137,0.08184264797174647
25,97,121,109,54849,2195,0.0015644475389735568,0.08052739998834389
25,109,133,121,54839,2195,0.0009020689020635686,0.07670127742230219
25,121,145,133,54810,2195,0.0008591759532425858,0.07419530537183534
25,133,157,145,54786,2195,0.0012771830447643184,0.07118818613489927
25,145,169,157,54786,2195,0.0013225738173859858,0.0706361835901123
25,157,181,169,54700,2195,0.001172701582344171,0.0732142988749609
25,169,193,181,54616,2195,0.0010059544258268494,0.07314812977542137
25,181,205,193,54625,2195,0.0001411362773346969,0.07488485549804035
25,193,217,205,54640,2195,0.00014057727027105837,0.07713727160572849
25,205,229,217,54359,2195,5.193676100301303e-08,0.0748746531207822
25,217,241,229,54095,2195,1.161342940603216e-05,0.07780050238846102
25,229,253,241,54335,2195,1.289971110296495e-05,0.07500357965777132
25,241,265,253,54610,2195,0.00010126742261173938,0.07408782936542359
25,253,277,265,54667,2195,2.044013021140767e-05,0.06938033560372699
25,265,289,277,54716,2195,1.7189753351631865e-05,0.06891817052437547
25,277,301,289,54722,2195,0.000501049562237954,0.07243791133583646
25,289,313,301,54681,2195,0.0004041541916793845,0.0694721310719027
25,301,325,313,54631,2195,0.0003059085128047645,0.06990000791033998
25,313,337,325,54672,2195,4.207661663535589e-08,0.07238625034806431
25,325,349,337,54714,2195,2.4202160830988362e-08,0.07078810661771313
25,337,361,349,54689,2195,2.8991716478632412e-06,0.07121831793818884
25,349,373,361,54632,2195,7.240118365314796e-05,0.07147488038795413
25,361,385,373,54594,2195,3.4607415308696154e-05,0.06950384374502631
25,373,397,385,54643,2195,4.515913494573809e-05,0.06937312186465042
25,385,409,397,54660,2195,4.159688616534041e-05,0.06931794803135713
25,397,421,409,54624,2195,9.02352612695001e-05,0.06654714534852176
25,409,433,421,54587,2195,6.890266527825872e-05,0.06611696149301033
25,421,445,433,54541,2195,4.11026598144959e-05,0.06566772910973037
25,433,457,445,54518,2195,1.6266935146669326e-05,0.05761370063772901
25,445,469,457,54501,2195,5.307625300488006e-06,0.058531319465090194
25,457,481,469,54449,2195,6.572847255026382e-06,0.06413410311615965
25,469,493,481,54323,2195,1.4697011025188722e-05,0.0656743328718973
25,481,505,493,53848,2195,5.151780016698915e-06,0.06871972306861354
25,493,517,505,53681,2194,1.6615643985140593e-06,0.07705055201025991
25,505,529,517,54041,2194,1.4331810106460452e-06,0.08031612634292568
25,517,541,529,54321,2194,6.166643828020568e-06,0.07308418914667644
25,529,553,541,54456,2194,3.315729685704483e-05,0.07417670869947034
25,541,565,553,54515,2194,6.834347784479e-06,0.07531745894445976
25,553,577,565,54532,2194,9.440100435353926e-06,0.07323888231611736
25,565,589,577,54508,2194,2.34087311756781e-08,0.0661494779966172
25,577,601,589,54442,2194,2.4824910349607876e-08,0.08004421920550454
25,589,613,601,54460,2194,3.432370960121389e-06,0.07303065162173257
25,601,625,613,54521,2194,2.3769075300217324e-06,0.07141689372775553
25,613,637,625,54507,2194,2.0571767767041393e-07,0.06389297059594821
25,625,649,637,54495,2194,1.3870015669326108e-07,0.062372626036159076
25,637,661,649,54501,2194,1.6867855201496695e-07,0.05965114088196841
25,649,673,661,54544,2194,8.083098745892414e-08,0.06483308852457807
25,661,685,673,54582,2194,1.0986183807126793e-07,0.0792299470801386
25,673,697,685,54589,2194,4.624250920737261e-06,0.07248855161467159
25,685,709,697,54574,2194,1.5763863038253945e-06,0.06338240724770157
25,697,721,709,54569,2194,8.881784197001252e-16,0.05715872875763537
25,709,733,721,54565,2194,2.1926452653531214e-08,0.0627802112486355
25,721,745,733,54530,2194,1.873441051181146e-07,0.07281367912029077
25,733,757,745,54525,2194,1.866790788618289e-08,0.07670303996617142
25,745,769,757,54520,2194,1.809247429651606e-08,0.07239200757612627
25,757,781,769,54489,2194,4.0760336328382607e-07,0.06709278072641287
25,769,793,781,54484,2194,1.5247843943022588e-07,0.06806065734750925
25,781,805,793,54496,2194,2.2777719699274002e-07,0.0713286401990162
25,793,817,805,54491,2194,0.0001589377657764679,0.05839112811677252
25,805,829,817,54473,2194,0.00015338529803199386,0.056608621596542896
25,817,841,829,54468,2194,0.00015338363150985135,0.07703157586342485
25,829,853,841,54462,2194,0.0003260480346635175,0.08571908557699953
25,841,865,853,54469,2194,0.00042404561752718006,0.08351941971221669
25,853,877,865,54451,2194,7.104743759867027e-06,0.07713906740679286
25,865,889,877,54404,2194,3.372341278329305e-05,0.07991183109287496
25,877,901,889,54427,2194,3.98831578746206e-05,0.08519479184790893
25,889,913,901,54475,2194,2.4558545621666816e-05,0.0799493729039004
25,901,925,913,54496,2194,0.00017583940339849224,0.09334753911256298
25,913,937,925,54514,2194,9.262333832393832e-05,0.08333921889674079
25,925,949,937,54486,2194,1.8352092374662732e-05,0.07035344520245362
