sector,n_asset_days,n_dates,n_assets,median_resid_all,median_ret_pos_mkt,median_ret_neg_mkt,iqr_resid
ethereum-ecosystem,512416,1697,1898,-0.0004924326373832999,0.012961898496920865,-0.02710457288417123,0.04819666801091818
defi,469088,2170,1238,-0.0008495261759226547,0.025119137399508107,-0.04241513973552147,0.049635708047398336
collectibles-nfts,300411,2170,467,-0.001809723460518886,0.028491143202674873,-0.048542301106987706,0.055400793997536724
bnb-chain-ecosystem,293880,595,1515,-7.236245007286035e-05,0.009382769073204011,-0.020585881159659536,0.04391757875480906
mineable,275439,2195,510,0.0009620043530473854,0.03799931103290577,-0.04473266056408437,0.06213806154776891
solana-ecosystem,253831,1932,1066,-0.0014859234215266193,0.02080683821527618,-0.03724618519637757,0.0564706496034047
gaming,248053,2170,506,-0.002216067900709162,0.021537939600165146,-0.040089782929878415,0.05449174070926664
bnb-chain,245018,1022,459,-0.0001980951051601676,0.029952694387680223,-0.04782352840841242,0.04776945500008219
memes,210625,2103,820,0.00034125153181419066,0.0232507412583276,-0.039250914996243,0.07108137391234742
ai-big-data,197046,2169,497,-0.0027651995942711838,0.02657765749173302,-0.042938950222065286,0.06375453741760678
platform,196701,2170,301,-0.00035012641039386394,0.028291797632932547,-0.043913161552735,0.057587149393767384
binance-ecosystem,194879,466,895,-0.0025202316648773038,0.019939593318788917,-0.03475511842633472,0.051305183966298656
polygon-ecosystem,180988,1868,412,-0.0009481233558668589,0.021756630840927826,-0.03754683238191581,0.05084738685435668
metaverse,136302,1930,194,-0.0024485141397075916,0.025865281089148096,-0.044410957322958466,0.05443850850198624
binance-listing,120330,438,529,-0.0024292964324119093,0.026540793854567868,-0.03873923483238595,0.05259896620426639
