chain,n_asset_days,n_dates,n_assets,median_resid_all,median_ret_pos_mkt,median_ret_neg_mkt,iqr_resid,stale_rate,zero_vol_rate
ETH,1658840,2195,3304,0.00012466067185404328,0.02751470760260233,-0.043525831295545325,0.05650555982678919,0.02109606713124834,0.07766270405825758
BNB,402391,2195,1040,-0.00024411678241847978,0.017222055394335634,-0.03754266211604085,0.049885614403478204,0.02335290799247498,0.05867178937898711
SOL,220935,2172,745,-0.001994882664639097,0.020618556701030855,-0.039067921776651415,0.05941617574424002,0.006870799103808813,0.02579944327517143
POL,43631,2195,92,-0.0011751731914323438,0.009172874312796342,-0.023716200111231767,0.05119096338031859,0.002956613417065848,0.024111297013591253
-,39971,2195,169,-0.0034670808049748203,0.023582474805644793,-0.045292014302741324,0.06531608044709575,0.012008706312076255,0.02534337394611093
ARB,18287,2081,74,-0.0023079855269066973,0.013967236482122836,-0.03292861088391552,0.05272592249057789,0.0017498769617761251,0.056269481052113525
KAIA,18179,2195,27,-0.0008135937168688434,0.016946061541215807,-0.029609569429206006,0.046953379300305076,0.0016502557896473954,0.01875790747565873
AVAX,16861,2171,32,-0.0021308305857932197,0.03503744405201825,-0.055813863650410966,0.06101209046174361,0.016309827412371747,0.016724986655595752
TRX,11993,2195,52,0.000252637042238546,0.00858371101972999,-0.023433480533012974,0.04762163711063894,0.009922454765279747,0.10397732010339365
SUI,10368,1659,30,-0.004787941891472469,0.02351633234125572,-0.042413864405372204,0.06740383846928594,0.001253858024691358,0.019579475308641976
NEO,8960,2195,18,0.0005352564475422095,0.04293253614925274,-0.0589592950062946,0.06970630411174664,0.006584821428571429,0.12131696428571428
GRAM,8015,1153,29,-0.003150472293515616,0.015281968884210961,-0.03171923703877744,0.05351414465132337,0.004366812227074236,0.03867747972551466
