family,N,date_start,date_end,events_per_year,n_wins,n_losses,win_rate,mean_R,median_R,std_R,downside_deviation_R,skew,kurtosis,min_R,max_R,p1,p5,p10,p25,p50,p75,p90,p95,p99
A,432,2023-07-10,2026-05-20,150.89703538412496,276,156,0.6388888888888888,0.3932732502395528,0.40534522494717573,1.2682960561473455,0.6824019528736232,0.3428986150656151,2.3873880700144667,-3.6553836279681793,7.282918426021539,-2.682764988117054,-1.7914391562507772,-1.048383788455028,-0.31576518443735674,0.40534522494717573,1.093015753760747,1.8569686325787818,2.4201606951694528,3.7639775459939346
B,458,2023-07-11,2026-05-21,160.02343656582568,281,177,0.6135371179039302,0.3077956557939707,0.3567404202483651,1.219523485442026,0.6843219380554413,0.3556990358843631,1.9593158697961885,-3.313025441980525,6.383028988079126,-2.4222044018136195,-1.718407962757999,-1.1916503167282142,-0.4480334094522448,0.3567404202483651,1.0302447390664982,1.7432708166321909,2.140041781918997,3.482779133549052
A+B,890,2023-07-10,2026-05-21,310.69013579706103,557,333,0.6258426966292134,0.3492859038844105,0.3794833815980274,1.2434700614690344,0.6833906638912788,0.3521433170471463,2.169422596082805,-3.6553836279681793,7.282918426021539,-2.6701333938335843,-1.7731507567987852,-1.1684098128404017,-0.3534416277796154,0.3794833815980274,1.0445920029484659,1.8188354667911781,2.2763030037913143,3.8335676770895057
