family,N,winner_median_MAE_R,loser_median_MAE_R,median_loss_R,p90_loss_R,p95_loss_R,worst_trade_R,breach_0_5R_freq,breach_1R_freq,breach_2R_freq,fast_failure_rate,worst1pct_share_of_losses,worst5pct_share_of_losses,worst10pct_share_of_losses,max_loss_streak,median_time_to_neg0_5R_h
A,432,-0.10492714137741031,-0.8709180927918394,-0.5379649646834155,-2.0372110582185297,-2.390508591813323,-3.6553836279681793,0.19212962962962962,0.10416666666666667,0.03935185185185185,0.1736111111111111,0.050591450377721586,0.17610843079481212,0.3106273551689297,6,2.0
B,458,-0.07448139275378049,-0.8920521221733392,-0.7111169282431986,-1.9266525472270275,-2.277192961413172,-3.313025441980525,0.2336244541484716,0.13755458515283842,0.03275109170305677,0.1812227074235808,0.04299878301705985,0.16091392268463536,0.28627900379339993,7,2.0
A+B,890,-0.09202630873696128,-0.8839028025622094,-0.643653194333402,-1.967458220958945,-2.308405752336807,-3.6553836279681793,0.21348314606741572,0.12134831460674157,0.035955056179775284,0.17752808988764046,0.04666784501923487,0.16812874136521402,0.2979669984954581,10,2.0
