partition,partition_value,family,N,mean_R,PF,win_rate,max_dd_at_f1_pct,worst_trade_R,tail10_share_of_losses
year,2023,A,70,0.2971956290410674,1.7423226872782793,0.5714285714285714,8.34288488884539,-2.917853839338008,0.2841745535471696
year,2024,A,141,0.4671486186931864,3.0127093248737045,0.7163120567375887,6.05960416397558,-3.6553836279681793,0.33761201872607716
year,2025,A,159,0.4219522733286064,2.503875331585252,0.6540880503144654,4.771560140984716,-2.8882627601179296,0.32515542602520514
year,2026,A,62,0.2601932802520063,1.6567060931831201,0.5,9.494988231809161,-2.2880337739736296,0.3562257723122675
year,2023,B,80,0.18760053356217332,1.520365298170099,0.575,7.905148743490479,-2.4087886098150126,0.27453887520708165
year,2024,B,170,0.3571537924606458,2.0336334858278367,0.6529411764705882,11.01805298198736,-3.313025441980525,0.2616540001708543
year,2025,B,152,0.35814536376188366,2.2178281635540853,0.6118421052631579,7.8233311606602545,-3.121210460005697,0.31977421352816926
year,2026,B,56,0.19300227961693947,1.622774346811523,0.5535714285714286,4.965262422102823,-2.7861753746056723,0.3312973658961668
half,"0      2023
1      2023
2      2023
3      2023
4      2023
       ... 
885    2026
886    2026
887    2026
888    2026
889    2026
Name: event_ts, Length: 890, dtype: int32-H1",A,211,0.29811434607770165,1.8599461421781616,0.5971563981042654,9.494988231809112,-3.6553836279681793,0.32268967054797854
half,"0      2023
1      2023
2      2023
3      2023
4      2023
       ... 
885    2026
886    2026
887    2026
888    2026
889    2026
Name: event_ts, Length: 890, dtype: int32-H2",A,221,0.4841263216338992,2.884282755191631,0.6787330316742082,8.34288488884539,-2.917853839338008,0.32423636073257855
half,"0      2023
1      2023
2      2023
3      2023
4      2023
       ... 
885    2026
886    2026
887    2026
888    2026
889    2026
Name: event_ts, Length: 890, dtype: int32-H1",B,212,0.29750364793328327,1.9139830524847217,0.6084905660377359,6.815469269198669,-3.313025441980525,0.3306766809184403
half,"0      2023
1      2023
2      2023
3      2023
4      2023
       ... 
885    2026
886    2026
887    2026
888    2026
889    2026
Name: event_ts, Length: 890, dtype: int32-H2",B,246,0.31666519102350615,1.9661236396005808,0.6178861788617886,11.018052981987328,-3.121210460005697,0.2643659353971141
quarter,2023-Q3,A,31,0.7267751382393819,5.453233022290975,0.7419354838709677,1.9231936787679746,-1.923193678767981,0.3801339754179934
quarter,2023-Q4,A,39,-0.0442650064755418,0.9248304442937956,0.4358974358974359,8.342884888845402,-2.917853839338008,0.3467765762871221
quarter,2024-Q1,A,35,0.40445693917896497,2.9106204874080563,0.6571428571428571,2.79258315486691,-2.68951635747546,0.5326493929400499
quarter,2024-Q2,A,37,0.242505506115715,1.6026763593633517,0.6486486486486487,5.2527858261298,-3.6553836279681793,0.38222714203085173
quarter,2024-Q3,A,38,0.5085888519606959,4.3445626838056635,0.7894736842105263,2.559732818328168,-2.5597328183281807,0.4429794131499092
quarter,2024-Q4,A,31,0.7552542665705677,6.034633951584033,0.7741935483870968,2.4169271062098576,-2.1440631314408938,0.4610527193669715
quarter,2025-Q1,A,37,0.28952053473592676,2.0200477156689503,0.6486486486486487,3.632461039706515,-2.8882627601179296,0.49728627174047213
quarter,2025-Q2,A,40,0.32322968159990373,1.8192018577562976,0.6,4.0845782383021145,-2.6677377466418917,0.3379779884672618
quarter,2025-Q3,A,38,0.4423470211847305,2.9323445694213794,0.6578947368421053,2.3317340865455907,-1.5993786321667838,0.36262094077653995
quarter,2025-Q4,A,44,0.6054494910228002,3.766780037666993,0.7045454545454546,2.1456767376353767,-2.039171213445591,0.3743285301656011
quarter,2026-Q1,A,39,0.12330863063269934,1.328935372722671,0.48717948717948717,5.385909429838461,-2.2880337739736296,0.30680361263458056
quarter,2026-Q2,A,23,0.4923020339543093,2.1385575576543783,0.5217391304347826,7.6329326921826395,-2.216722414475655,0.42888064515927454
quarter,2023-Q3,B,44,0.07283897455327032,1.1704027210748884,0.5454545454545454,6.198022378026536,-2.4087886098150126,0.23695390036591107
quarter,2023-Q4,B,36,0.32786466123972136,2.176374981050995,0.6111111111111112,4.0386201527398695,-1.4874222862835615,0.2904480679265084
quarter,2024-Q1,B,43,0.4849679935111481,3.416805975452412,0.6976744186046512,2.957098036699798,-2.9570980366997923,0.5138505904882282
quarter,2024-Q2,B,41,0.010964597510853798,1.0192865723666091,0.5365853658536586,6.815469269198665,-3.313025441980525,0.2468163346421991
quarter,2024-Q3,B,45,0.9307256950133274,11.384838381291907,0.8222222222222222,1.5629565493318898,-1.161644903934234,0.28803079022560496
quarter,2024-Q4,B,41,-0.06023618966376362,0.891537659145723,0.5365853658536586,11.01805298198737,-2.242232385130426,0.18638377465829906
quarter,2025-Q1,B,35,0.5647382224334021,3.8046070351490813,0.7142857142857143,2.6854757908530655,-2.393213903039361,0.33957703296123504
quarter,2025-Q2,B,37,0.30253069457335147,1.883713333241252,0.5675675675675675,4.385492803889394,-2.2736722243441907,0.35621249600443317
quarter,2025-Q3,B,39,0.04178859299772834,1.0925951053399967,0.48717948717948717,7.823331160660274,-3.121210460005697,0.30751229879728315
quarter,2025-Q4,B,41,0.5328991873295568,3.9582001011432966,0.6829268292682927,1.8328455827823338,-1.2166845680376548,0.30860587312554394
quarter,2026-Q1,B,38,0.3159056233846482,2.186543138948223,0.6052631578947368,4.965262422102823,-2.7861753746056723,0.39132107850298686
quarter,2026-Q2,B,18,-0.06646033500377894,0.8347140074604991,0.4444444444444444,2.9543488038557992,-1.4943769586323827,0.20647200805451976
split,RELATIONSHIP_CONFIRMED_OOS,A,144,0.4137565818447733,2.3890828048897297,0.6041666666666666,9.494988231809144,-2.2880337739736296,0.29572285286469757
split,inner_sel,A,211,0.4107661102777914,2.426666795920322,0.6682464454976303,8.34288488884539,-3.6553836279681793,0.3129607619294998
split,inner_val,A,77,0.30703177986007063,1.899448269834561,0.6233766233766234,4.771560140984716,-2.8882627601179296,0.31282659939156754
split,RELATIONSHIP_CONFIRMED_OOS,B,136,0.2521084519556754,1.8097660780130675,0.5735294117647058,7.823331160660274,-3.121210460005697,0.29799041632047146
split,inner_sel,B,250,0.3028967496131346,1.8646104377116992,0.628,11.01805298198737,-3.313025441980525,0.2720483512639584
split,inner_val,B,72,0.4299926872830983,2.5704130541498547,0.6388888888888888,4.385492803889414,-2.393213903039361,0.35026548924523376
