variant,w_A_pct,w_B_pct,f_total_pct,max_dd,terminal_equity
historical,0,100,0.5,0.05643329820872333,2.005416735148434
historical,0,100,1.0,0.1101805298198737,3.95052626643396
historical,0,100,2.0,0.21002189654899536,14.542443464280964
A_worst5_x1_50,0,100,0.5,0.05643329820872333,2.005416735148434
A_worst5_x1_50,0,100,1.0,0.1101805298198737,3.95052626643396
A_worst5_x1_50,0,100,2.0,0.21002189654899536,14.542443464280964
B_worst5_x1_50,0,100,0.5,0.056433298208723566,1.8862904109903185
B_worst5_x1_50,0,100,1.0,0.11018052981987342,3.4875787373251734
B_worst5_x1_50,0,100,2.0,0.2100218965489956,11.230697780204844
both_worst5_x1_50,0,100,0.5,0.056433298208723566,1.8862904109903185
both_worst5_x1_50,0,100,1.0,0.11018052981987342,3.4875787373251734
both_worst5_x1_50,0,100,2.0,0.2100218965489956,11.230697780204844
A_worst5_x2_00,0,100,0.5,0.05643329820872333,2.005416735148434
A_worst5_x2_00,0,100,1.0,0.1101805298198737,3.95052626643396
A_worst5_x2_00,0,100,2.0,0.21002189654899536,14.542443464280964
B_worst5_x2_00,0,100,0.5,0.06575891883482464,1.7734823196703509
B_worst5_x2_00,0,100,1.0,0.12884958923037382,3.0733918572972057
B_worst5_x2_00,0,100,2.0,0.2471400571181282,8.605684640303556
both_worst5_x2_00,0,100,0.5,0.06575891883482464,1.7734823196703509
both_worst5_x2_00,0,100,1.0,0.12884958923037382,3.0733918572972057
both_worst5_x2_00,0,100,2.0,0.2471400571181282,8.605684640303556
A_insert_worst_1,0,100,0.5,0.05643329820872333,2.005416735148434
A_insert_worst_1,0,100,1.0,0.1101805298198737,3.95052626643396
A_insert_worst_1,0,100,2.0,0.21002189654899536,14.542443464280964
B_insert_worst_1,0,100,0.5,0.0564332982087231,1.9721967518218309
B_insert_worst_1,0,100,1.0,0.11018052981987347,3.819644326134878
B_insert_worst_1,0,100,2.0,0.21002189654899556,13.578853760566444
A_p99_loss_cluster,0,100,0.5,0.05643329820872333,2.005416735148434
A_p99_loss_cluster,0,100,1.0,0.1101805298198737,3.95052626643396
A_p99_loss_cluster,0,100,2.0,0.21002189654899536,14.542443464280964
B_p99_loss_cluster,0,100,0.5,0.0982094168457338,1.8596213839771154
B_p99_loss_cluster,0,100,1.0,0.188005502060402,3.3930660289746815
B_p99_loss_cluster,0,100,2.0,0.3447742838664932,10.676749260330098
historical,30,70,0.5,0.026785290824767605,2.1021656420534103
historical,30,70,1.0,0.05321891660005938,4.37301729864745
historical,30,70,2.0,0.1049993306670936,18.343776220730874
A_worst5_x1_50,30,70,0.5,0.030999055279475284,2.066204414307525
A_worst5_x1_50,30,70,1.0,0.0614442341529607,4.223879995009529
A_worst5_x1_50,30,70,2.0,0.12065206264272371,17.100725557561844
B_worst5_x1_50,30,70,0.5,0.03147481824760465,2.014401183839411
B_worst5_x1_50,30,70,1.0,0.062424305024242746,4.011314146266551
B_worst5_x1_50,30,70,2.0,0.12274070602500692,15.368056117969692
both_worst5_x1_50,30,70,0.5,0.035118492534309986,1.9799413209749093
both_worst5_x1_50,30,70,1.0,0.06949268174981625,3.8745123604597764
both_worst5_x1_50,30,70,2.0,0.13599667261587275,14.326652640343717
A_worst5_x2_00,30,70,0.5,0.03520367953434256,2.0307816456398475
A_worst5_x2_00,30,70,1.0,0.06963367359097013,4.079204101530822
A_worst5_x2_00,30,70,2.0,0.13616673744267635,15.931878804830715
B_worst5_x2_00,30,70,0.5,0.040762132101987425,1.9299017530499363
B_worst5_x2_00,30,70,1.0,0.08063083783539779,3.6763941749666578
B_worst5_x2_00,30,70,2.0,0.15768783176048407,12.828484362420552
both_worst5_x2_00,30,70,0.5,0.04340680446937358,1.8643673836062091
both_worst5_x2_00,30,70,1.0,0.08559011410620074,3.4293855187827544
both_worst5_x2_00,30,70,2.0,0.16631449564544434,11.14175487382862
A_insert_worst_1,30,70,0.5,0.026785290824767605,2.0906393092465567
A_insert_worst_1,30,70,1.0,0.05321891660005938,4.325062131132564
A_insert_worst_1,30,70,2.0,0.1049993306670936,17.94145498509671
B_insert_worst_1,30,70,0.5,0.028526023668897785,2.077789793159575
B_insert_worst_1,30,70,1.0,0.056537302177801625,4.271601875666974
B_insert_worst_1,30,70,2.0,0.11103010298818937,17.49294865823302
A_p99_loss_cluster,30,70,0.5,0.03849808349920093,2.056815134551335
A_p99_loss_cluster,30,70,1.0,0.07610543246811051,4.185972311332384
A_p99_loss_cluster,30,70,2.0,0.14861651619344637,16.801637449553724
B_p99_loss_cluster,30,70,0.5,0.06759952337541185,1.994219341607361
B_p99_loss_cluster,30,70,1.0,0.1312732514080923,3.9332289631514405
B_p99_loss_cluster,30,70,2.0,0.24759467255389941,14.805661932353104
historical,50,50,0.5,0.02578124066983205,2.1652524048570885
historical,50,50,1.0,0.051028724896052216,4.645352786966042
historical,50,50,2.0,0.09995467488522479,20.80405713734431
A_worst5_x1_50,50,50,0.5,0.029517776017410235,2.103649899641451
A_worst5_x1_50,50,50,1.0,0.0584598229691972,4.382453133384531
A_worst5_x1_50,50,50,2.0,0.11463429914336616,18.475370334975878
B_worst5_x1_50,50,50,0.5,0.027406239438204243,2.1005098073761435
B_worst5_x1_50,50,50,1.0,0.05452269448394332,4.369408245250656
B_worst5_x1_50,50,50,2.0,0.10782631242446993,18.366106799182095
both_worst5_x1_50,50,50,0.5,0.03144580158376352,2.0407492611811047
both_worst5_x1_50,50,50,1.0,0.062453690722541075,4.122125430206841
both_worst5_x1_50,50,50,2.0,0.12309196392930871,16.310310171063204
A_worst5_x2_00,50,50,0.5,0.03656165824292679,2.0435836343500497
A_worst5_x2_00,50,50,1.0,0.07225249089610451,4.132641702898389
A_worst5_x2_00,50,50,2.0,0.14105669628039702,16.377613301311484
B_worst5_x2_00,50,50,0.5,0.03082927483313374,2.037489903009012
B_worst5_x2_00,50,50,1.0,0.061248911602383486,4.108099275288979
B_worst5_x2_00,50,50,2.0,0.12079716005946647,16.184937269731424
both_worst5_x2_00,50,50,0.5,0.041397215984294654,1.9230002985344794
both_worst5_x2_00,50,50,1.0,0.08185337559378641,3.654685265743629
both_worst5_x2_00,50,50,2.0,0.15989228885861176,12.741295707837173
A_insert_worst_1,50,50,0.5,0.025781240669832485,2.1454653343792525
A_insert_worst_1,50,50,1.0,0.05102872489605186,4.560450054347983
A_insert_worst_1,50,50,2.0,0.0999546748852255,20.043589038792675
B_insert_worst_1,50,50,0.5,0.025781240669832704,2.1473185640930836
B_insert_worst_1,50,50,1.0,0.05102872489605239,4.568401927115074
B_insert_worst_1,50,50,2.0,0.09995467488522534,20.114813431419943
A_p99_loss_cluster,50,50,0.5,0.04628914101934679,2.0878503908352837
A_p99_loss_cluster,50,50,1.0,0.09077051829243139,4.318018030508467
A_p99_loss_cluster,50,50,2.0,0.17453712809135688,17.95597041739389
B_p99_loss_cluster,50,50,0.5,0.04789380414249978,2.085356608504221
B_p99_loss_cluster,50,50,1.0,0.09382429033148584,4.307632038445288
B_p99_loss_cluster,50,50,2.0,0.18006090275012257,17.868388861844135
historical,70,30,0.5,0.034057565299960894,2.226949672651997
historical,70,30,1.0,0.06742038516754667,4.905848434893577
historical,70,30,2.0,0.1320398702739778,23.054944927063705
A_worst5_x1_50,70,30,0.5,0.039972530457085285,2.138439245308595
A_worst5_x1_50,70,30,1.0,0.07891442990618786,4.518857323056139
A_worst5_x1_50,70,30,2.0,0.15374145970169126,19.475254489272327
B_worst5_x1_50,70,30,0.5,0.03405756529996073,2.1868912516502697
B_worst5_x1_50,70,30,1.0,0.06742038516754677,4.730056504254149
B_worst5_x1_50,70,30,2.0,0.13203987027397737,21.41597064682136
both_worst5_x1_50,70,30,0.5,0.03997253045708522,2.099972951872703
both_worst5_x1_50,70,30,1.0,0.07891442990618781,4.356932497280035
