regime,label,return,risk,status,dominated_by
historical,0/100@0.25,0.13018144860258207,0.028817059651405554,DOMINATED,10/90@0.25;20/80@0.25;30/70@0.25
historical,0/100@0.5,0.27565199231223425,0.05692670914418053,DOMINATED,10/90@0.5;20/80@0.5;30/70@0.5
historical,0/100@1.0,0.6188686478776135,0.1110779882629639,DOMINATED,10/90@1.0;20/80@1.0;20/80@1.5
historical,0/100@1.5,1.0438331575639146,0.1625607292676528,DOMINATED,10/90@1.5;20/80@1.5;20/80@2.0
historical,0/100@2.0,1.5670868568473661,0.2114793466893752,DOMINATED,10/90@2.0;20/80@2.0;20/80@3.0
historical,0/100@3.0,2.9878638918980807,0.3020292613764845,DOMINATED,10/90@3.0;20/80@3.0;30/70@3.0
historical,0/100@5.0,8.051847821721468,0.4566714229300384,DOMINATED,10/90@5.0;20/80@5.0;30/70@5.0
historical,10/90@0.25,0.13317697368946702,0.022991155936545098,DOMINATED,20/80@0.25;30/70@0.25;40/60@0.25
historical,10/90@0.5,0.2827374746024405,0.04555241632225228,DOMINATED,20/80@0.5;30/70@0.5;40/60@0.5
historical,10/90@1.0,0.6385040292868502,0.08940744852080594,DOMINATED,20/80@1.0;30/70@1.0;30/70@1.5
historical,10/90@1.5,1.0841766795572196,0.13160936289056693,DOMINATED,20/80@1.5;20/80@2.0;30/70@1.5
historical,10/90@2.0,1.6400000447501113,0.17220218300134338,DOMINATED,20/80@2.0;30/70@2.0;30/70@3.0
historical,10/90@3.0,3.183204320260586,0.24873513570981637,DOMINATED,20/80@3.0;30/70@3.0;40/60@3.0
historical,10/90@5.0,8.993229604405304,0.38439129979804526,DOMINATED,20/80@5.0;30/70@5.0;40/60@5.0
historical,20/80@0.25,0.13615004544668885,0.017133289758029913,DOMINATED,30/70@0.25;40/60@0.25;50/50@0.25
historical,20/80@0.5,0.2897244139586419,0.03405269672678051,DOMINATED,30/70@0.5;40/60@0.5;50/50@0.5
historical,20/80@1.0,0.6576696084113296,0.067254181140828,DOMINATED,30/70@1.0;40/60@1.0;50/50@1.0
historical,20/80@1.5,1.12327873202273,0.09961335921852707,DOMINATED,30/70@1.5;40/60@1.5;50/50@1.5
historical,20/80@2.0,1.7103646187054888,0.13113954987978754,DOMINATED,30/70@2.0;40/60@2.0;50/50@2.0
historical,20/80@3.0,3.3713763407790207,0.1917321706250936,DOMINATED,30/70@3.0;40/60@3.0;50/50@3.0
historical,20/80@5.0,9.916549089006448,0.30337206292410085,DOMINATED,30/70@5.0;40/60@5.0;50/50@5.0
historical,30/70@0.25,0.13910044653512577,0.01430254080610928,DOMINATED,40/60@0.25;50/50@0.25
historical,30/70@0.5,0.2966107837166527,0.028484643991302204,DOMINATED,40/60@0.5;50/50@0.5
historical,30/70@1.0,0.6763435238130664,0.056485299047145845,DOMINATED,40/60@1.0;50/50@1.0
historical,30/70@1.5,1.1610407808155458,0.0839978374742814,DOMINATED,40/60@1.5;50/50@1.5
historical,30/70@2.0,1.777871485080662,0.11101868332513266,DOMINATED,40/60@2.0;50/50@2.0
historical,30/70@3.0,3.5505992803309576,0.16357368945722978,DOMINATED,40/60@3.0;50/50@3.0
