n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,combo,eligible,status
51,0.24285714285714285,0.7254901960784313,11.841223141832169,14.603978110182574,2.795998552543315,24.106932406211993,-9.147263835416343,3.784313725490196,2.3137254901960786,0.27450980392156865,A,Tier>=1_P90>=1,True,research
0,0.0,,,,,,,,,,A,Tier>=1_P90=0,False,exploratory
48,0.22857142857142856,0.75,14.553510624340703,11.791024088711241,5.2270509461242405,24.56820112473598,-6.440850654295658,3.7083333333333335,2.5208333333333335,0.25,A,Tier=0_P90>=1,True,research
111,0.5285714285714286,0.6036036036036037,7.089484866343707,9.965258563573338,1.797634723307751,22.695193074577624,-10.517975989264892,3.684684684684685,2.7027027027027026,0.3963963963963964,A,Tier=0_P90=0,True,research
6,0.02857142857142857,1.0,33.79562360528047,31.85093638499288,,39.84991914807358,0.0,4.5,1.0,0.0,A,1T_1P,False,exploratory
0,0.0,,,,,,,,,,A,2T_1P,False,exploratory
1,0.004761904761904762,1.0,32.785924368394,32.785924368394,,35.538037241871336,-3.5260848554277264,5.0,2.0,0.0,A,1T_2P,False,exploratory
5,0.023809523809523808,1.0,22.6159340818146,17.627938310034743,,27.695639932809563,-3.7437013874659,3.8,1.6,0.0,A,2T_2P,False,exploratory
0,0.0,,,,,,,,,,A,3+T_0P,False,exploratory
33,0.15714285714285714,0.696969696969697,11.928490283361644,6.755947940150353,3.86185189032006,22.59479914333387,-6.940680044095451,3.515151515151515,2.6666666666666665,0.30303030303030304,A,0T_2+P,True,research
21,0.1,0.6190476190476191,4.031563020232006,11.262439190303462,1.4455095257457435,18.817465560218096,-12.08081527795762,3.5714285714285716,2.857142857142857,0.38095238095238093,A,3+T_3+P,False,exploratory
67,0.26907630522088355,0.6268656716417911,8.126613573721679,9.49489433042825,2.037718103365058,21.100525724134915,-11.567059921504125,2.925373134328358,3.7611940298507465,0.373134328358209,B,Tier>=1_P90>=1,True,research
0,0.0,,,,,,,,,,B,Tier>=1_P90=0,False,exploratory
55,0.22088353413654618,0.6909090909090909,13.893942153384316,12.803771294825504,3.0541945823658323,24.721081938605867,-10.269261800379855,2.7636363636363637,4.1454545454545455,0.3090909090909091,B,Tier=0_P90>=1,True,research
127,0.5100401606425703,0.6062992125984252,4.526096143678047,8.091915269051862,1.4711573226780503,20.6356358357731,-11.420125390116354,2.8661417322834644,3.677165354330709,0.3937007874015748,B,Tier=0_P90=0,True,research
6,0.024096385542168676,1.0,15.368862479719516,15.47766211985346,,22.19455814785248,-3.7014872799794447,1.5,4.5,0.0,B,1T_1P,False,exploratory
0,0.0,,,,,,,,,,B,2T_1P,False,exploratory
4,0.01606425702811245,0.75,13.670058976573785,13.928338524776695,18.96722032878958,22.646629354456802,-7.416917214413243,1.75,3.75,0.25,B,1T_2P,False,exploratory
0,0.0,,,,,,,,,,B,2T_2P,False,exploratory
0,0.0,,,,,,,,,,B,3+T_0P,False,exploratory
41,0.1646586345381526,0.6585365853658537,11.641689105490352,10.567075601995574,2.5841797230563444,22.996517877557398,-11.273056933117006,2.8048780487804876,4.073170731707317,0.34146341463414637,B,0T_2+P,True,research
39,0.1566265060240964,0.6410256410256411,11.413486638256101,14.703599551944164,2.3188852304100807,24.370594523083916,-11.807040691936242,3.128205128205128,3.948717948717949,0.358974358974359,B,3+T_3+P,True,research
