n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,ratio,quantile,ratio_min,ratio_max
210,1.0,0.6666666666666666,9.949541477933074,12.61769585822147,2.4040812156939153,23.466160180867877,-9.25317438962299,3.7142857142857144,2.566666666666667,0.3333333333333333,A,tier_to_p90_ratio,Q1,0.0,0.8
158,0.7523809523809524,0.6392405063291139,8.724965226920961,12.233674202634898,2.091096541700783,23.191680386938007,-10.03928204311339,3.7341772151898733,2.6265822784810124,0.36075949367088606,A,p90_to_tier_ratio,Q1,0.0,1.5
52,0.24761904761904763,0.75,13.670369317546802,13.79311943246313,4.164373925441698,24.300156477808645,-6.864616519402158,3.6538461538461537,2.3846153846153846,0.25,A,p90_to_tier_ratio,Q2,1.5714285714285714,14.0
159,0.7571428571428571,0.6226415094339622,7.75337956631828,9.965258563573338,1.9544645014554605,22.60409431749701,-9.929121665407534,3.6226415094339623,2.6540880503144653,0.37735849056603776,A,aligned_commitment_ratio,Q1,0.0,0.3333333333333333
51,0.24285714285714285,0.803921568627451,16.796399202379195,17.525350137216595,5.359544900360952,26.153777284318238,-7.145809353353529,4.0,2.2941176470588234,0.19607843137254902,A,aligned_commitment_ratio,Q2,0.36363636363636365,0.8461538461538461
160,0.7619047619047619,0.65,9.242732812233884,12.271174106766201,2.2265570247292854,23.294814268062872,-9.63569976231681,3.7625,2.65,0.35,A,opposition_ratio,Q1,0.0,0.4
50,0.23809523809523808,0.72,12.211329208170483,13.605534723601636,3.1619738115746,24.014467101843916,-8.029093197002771,3.56,2.3,0.28,A,opposition_ratio,Q2,0.4166666666666667,0.8888888888888888
187,0.751004016064257,0.6149732620320856,6.779160202465707,9.087856724899998,1.7621677398737212,21.44154558989676,-11.316577719157442,2.871657754010695,3.802139037433155,0.3850267379679144,B,tier_to_p90_ratio,Q1,0.0,0.18181818181818182
62,0.24899598393574296,0.6774193548387096,9.931631939701841,11.797271038199856,2.358053194453987,22.331475096336323,-10.870295239096842,2.8225806451612905,3.806451612903226,0.3225806451612903,B,tier_to_p90_ratio,Q2,0.2,0.8333333333333334
189,0.7590361445783133,0.6402116402116402,6.223478265297354,9.4066138703804,1.718171475717852,20.786725821347662,-11.046135909321949,2.8306878306878307,3.751322751322751,0.35978835978835977,B,p90_to_tier_ratio,Q1,0.0,1.5
60,0.24096385542168675,0.6,11.787112433023363,9.957998675168604,2.4768406354678367,24.423821684147306,-11.707310857409954,2.95,3.966666666666667,0.4,B,p90_to_tier_ratio,Q2,1.6666666666666667,18.0
196,0.7871485943775101,0.6071428571428571,6.47499986976571,8.38239622636608,1.72678996498385,21.303234407359145,-11.312452097911523,2.857142857142857,3.7193877551020407,0.39285714285714285,B,aligned_commitment_ratio,Q1,0.0,0.4
53,0.21285140562248997,0.7169811320754716,11.591776672613634,13.010361471479454,2.6580726879480125,22.994085612097237,-10.809768436146925,2.8679245283018866,4.113207547169812,0.2830188679245283,B,aligned_commitment_ratio,Q2,0.4117647058823529,0.9090909090909091
188,0.7550200803212851,0.6436170212765957,7.025209899348659,9.725020999132724,1.8044777937612235,21.682455157178197,-11.079512318076318,2.8404255319148937,3.824468085106383,0.35638297872340424,B,opposition_ratio,Q1,0.0,0.4
61,0.24497991967871485,0.5901639344262295,9.224994705656618,8.243513543951684,2.184769525290772,21.603588716951567,-11.59360692636226,2.918032786885246,3.737704918032787,0.4098360655737705,B,opposition_ratio,Q2,0.4117647058823529,0.9
