n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,daily_tier,expect_ci_low,expect_ci_high,expect_se
4,0.01904761904761905,0.25,-15.699783210748352,-17.51159179886414,0.201361422430373,8.92832792801608,-25.733293577798044,3.0,4.0,0.75,A,T1,,,
25,0.11904761904761904,0.48,-1.0851337194036372,-2.170741797600137,0.9244460026235607,16.9737089400183,-16.02010110558056,3.08,3.04,0.52,A,T2,-11.189966153928873,10.011657091736419,6.458189602757829
33,0.15714285714285714,0.696969696969697,11.359230328601512,11.730901327714257,3.5844341295956212,21.81874016186868,-7.393212807841883,3.878787878787879,2.3636363636363638,0.30303030303030304,A,T3,4.869923660983644,18.74618052447659,4.280687743039809
101,0.48095238095238096,0.693069306930693,10.935870422713073,14.24707366761808,2.5992403139258147,24.397268863145886,-9.056033313806534,3.801980198019802,2.5445544554455446,0.3069306930693069,A,NO-GO,6.207048137532096,15.793235876038962,2.9713937389724863
47,0.22380952380952382,0.723404255319149,14.89263133310978,12.240020746675857,4.260094096074082,27.31266004787941,-5.980756010997439,3.8085106382978724,2.382978723404255,0.2765957446808511,A,NA,8.127799650076708,21.690132068991872,4.171733641511091
210,1.0,0.6666666666666666,9.949541477933074,12.61769585822147,2.4040812156939153,23.466160180867877,-9.25317438962299,3.7142857142857144,2.566666666666667,0.3333333333333333,A,ALL,6.524400267307977,13.39361938100886,2.101177158106251
9,0.03614457831325301,0.4444444444444444,-2.1767982306282594,-0.2567785320854048,0.8352047924176549,14.24553195825482,-17.060384475800397,3.3333333333333335,3.3333333333333335,0.5555555555555556,B,T1,,,
31,0.12449799196787148,0.4838709677419355,-2.944237047421707,-3.077665501043583,0.7879392141741387,16.46119419435196,-14.435586778903454,3.0,3.193548387096774,0.5161290322580645,B,T2,-11.54538384099973,6.042952779198189,5.345868485064597
36,0.14457831325301204,0.5555555555555556,-1.6426122965587273,3.1282704583818974,0.8569356506666019,16.329671124980695,-13.325231935215847,2.9166666666666665,3.25,0.4444444444444444,B,T3,-8.869438900140215,4.946092887985573,4.2961617784802
120,0.4819277108433735,0.625,8.767200852586809,8.963946389580437,2.0521866621383995,22.687995443684155,-11.426707796243834,3.0166666666666666,3.85,0.375,B,NO-GO,3.920009509964033,13.905844779102958,2.9986396898311978
53,0.21285140562248997,0.8113207547169812,18.894275679887283,14.791102385918633,7.494371193535379,27.267661507413923,-6.3811019370038595,2.30188679245283,4.509433962264151,0.18867924528301888,B,NA,12.581101833374024,25.31980579136652,3.9204137391230214
249,1.0,0.6305220883534136,7.56411300450844,9.49489433042825,1.8898112868321324,21.66313446298613,-11.205455173921468,2.859437751004016,3.8032128514056227,0.36947791164658633,B,ALL,4.694158344412695,10.99882460468507,1.9593983232472723
