n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,absence_state,expect_ci_low,expect_ci_high,expect_se
184,0.8761904761904762,0.6739130434782609,10.990054022059402,13.163830066879278,2.6098695057643146,24.473492524757102,-8.748718174774995,3.739130434782609,2.5217391304347827,0.32608695652173914,A,no_tier_by_30m,7.503032710424129,14.710088808054893,2.2216675464559543
174,0.8285714285714286,0.6666666666666666,10.591451916301224,12.271174106766201,2.5647588143009385,24.071162405143163,-8.741805604354123,3.7471264367816093,2.5632183908045976,0.3333333333333333,A,no_tier_by_60m,7.010062515698851,14.347318034750916,2.2301627825392933
9,0.04285714285714286,0.8888888888888888,25.312038206982606,29.3218202418337,30.31977252801737,33.559087729543414,-1.2430548301432407,4.0,1.4444444444444444,0.1111111111111111,A,tier_no_p90_by_60m,,,
48,0.22857142857142856,0.75,14.553510624340703,11.791024088711241,5.2270509461242405,24.56820112473598,-6.440850654295658,3.7083333333333335,2.5208333333333335,0.25,A,p90_no_tier,8.432372752469375,20.793240842839452,3.7607282381355187
42,0.2,0.6904761904761905,10.637730286974568,13.943853385804793,2.4813207067667498,23.227100637703547,-9.327861552669562,3.619047619047619,2.380952380952381,0.30952380952380953,A,tier_p90_no_midpoint,3.46546487974571,18.190987866492364,4.588709493349889
7,0.03333333333333333,1.0,25.36076090266285,22.390677009172613,,33.5842754386851,-2.6830842958336762,5.0,1.5714285714285714,0.0,A,tier_p90_mid_no_rekey,,,
209,0.8393574297188755,0.6267942583732058,7.208458166908414,9.52360543662951,1.8541121920913053,21.270025393323213,-11.126367676349622,2.8660287081339715,3.8373205741626792,0.37320574162679426,B,no_tier_by_30m,3.7523507232120843,10.636076420000988,2.039248364199558
194,0.7791164658634538,0.6391752577319587,7.464019854058639,9.725020999132724,1.8844522187939488,21.694414873578307,-10.855019480343959,2.8195876288659796,3.845360824742268,0.36082474226804123,B,no_tier_by_60m,3.7977137981876923,11.081016410246049,2.2197606323649492
3,0.012048192771084338,1.0,13.269319922621234,12.428602701614077,,18.69470103854118,-6.061483299955367,2.0,5.0,0.0,B,tier_no_p90_by_60m,,,
55,0.22088353413654618,0.6909090909090909,13.893942153384316,12.803771294825504,3.0541945823658323,24.721081938605867,-10.269261800379855,2.7636363636363637,4.1454545454545455,0.3090909090909091,B,p90_no_tier,6.8930641611068735,20.980564563767715,4.3532879521343855
54,0.21686746987951808,0.6296296296296297,8.803872837248063,9.008086619604363,2.0689618115567177,22.10584010234268,-11.846944375679007,2.962962962962963,3.740740740740741,0.37037037037037035,B,tier_p90_no_midpoint,1.4884160518836569,16.75010385001883,4.714202526070461
11,0.04417670682730924,0.6363636363636364,7.975846078887186,12.428602701614077,2.653812382202708,18.37456007055347,-8.607980621343536,2.6363636363636362,4.090909090909091,0.36363636363636365,B,tier_p90_mid_no_rekey,-1.5584831848214864,17.54904259908598,5.824574666882591
