n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,score,expect_ci_low,expect_ci_high,expect_se
1,0.004761904761904762,1.0,14.228808692459586,14.228808692459586,,18.825397862466886,-11.089860616783941,5.0,2.0,0.0,A,-4,,,
1,0.004761904761904762,0.0,-34.63642683059073,-34.63642683059073,0.0,0.0,-44.86881970649222,1.0,5.0,1.0,A,-3,,,
14,0.06666666666666667,0.7857142857142857,15.066862717936603,17.45512648732332,5.579535312021022,24.711981115375895,-5.375030462239502,4.214285714285714,1.7857142857142858,0.21428571428571427,A,-2,5.835781530307504,23.58799725902207,5.432089218108553
43,0.20476190476190476,0.6511627906976745,8.806244232379498,8.633491424858049,2.259417320146552,22.475479497265724,-8.620082505619083,3.3255813953488373,2.604651162790698,0.3488372093023256,A,-1,1.7055845309645579,15.740446205739904,4.3119577004077865
109,0.5190476190476191,0.6422018348623854,8.915107761562393,10.35043878427658,2.1263878088411623,23.489280453789387,-9.66693563615227,3.7981651376146788,2.6422018348623855,0.3577981651376147,A,0,3.8323748542306597,13.655575026145153,3.013577455341605
33,0.15714285714285714,0.6666666666666666,12.310800046879422,14.662750844535395,3.0631838052058957,23.832495209064,-9.717864855663853,3.696969696969697,2.6666666666666665,0.3333333333333333,A,1,3.8471165544680543,21.194716465153434,5.301867064425027
9,0.04285714285714286,0.8888888888888888,15.80040010036934,13.283728661427011,4.018644331431963,27.761219417771525,-7.434271411897053,4.0,2.111111111111111,0.1111111111111111,A,2,,,
210,1.0,,0.3953609973665063,,,,,,,,A,SPEARMAN,,,
1,0.004016064257028112,0.0,-26.903844183753645,-26.903844183753645,0.0,0.0,-36.39076190983269,5.0,1.0,1.0,B,-4,,,
4,0.01606425702811245,0.75,21.781890340969706,26.396161451238527,5.626195826535484,29.321115111303826,-6.898567357032979,1.75,4.25,0.25,B,-3,,,
9,0.03614457831325301,0.6666666666666666,20.237784566835867,10.902283300732078,9.957639475972607,29.88543312055726,-4.492849843402421,2.5555555555555554,3.6666666666666665,0.3333333333333333,B,-2,,,
49,0.19678714859437751,0.5714285714285714,5.109968183481449,8.01022423095003,1.633840854042569,18.247228003117698,-11.301904690226872,3.1020408163265305,3.6530612244897958,0.42857142857142855,B,-1,-1.005426324168971,11.157438641226868,3.768533067556625
129,0.5180722891566265,0.6356589147286822,7.281045711396938,9.248643780969518,1.7623961230611773,22.776269156565622,-11.69294416098004,2.7286821705426356,3.8217054263565893,0.3643410852713178,B,0,2.531094801710033,11.985225402719145,2.889468313291261
44,0.17670682730923695,0.5681818181818182,4.589708084215888,4.064940879264374,1.4767192175382655,19.841832498142182,-12.585797147639532,3.3863636363636362,3.6818181818181817,0.4318181818181818,B,1,-3.276447467066725,13.824847713707763,5.210162646840815
10,0.040160642570281124,1.0,20.287074808384233,18.201630983675532,,24.11741124086605,-5.420673744790739,1.9,4.7,0.0,B,2,13.34542233563005,28.418723675407502,4.603856841797357
3,0.012048192771084338,1.0,15.546372763605461,12.428602701614077,,20.4664956922221,-5.190906615423444,1.6666666666666667,5.0,0.0,B,3,,,
249,1.0,,0.44728777155592636,,,,,,,,B,SPEARMAN,,,
