n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,midpoint_start_state
77,0.36666666666666664,0.6233766233766234,6.166323315165993,9.965258563573338,1.5994078149918682,22.115767127087558,-12.847333569138822,3.5324675324675323,2.831168831168831,0.37662337662337664,A,above
86,0.4095238095238095,0.6744186046511628,10.635385377232614,13.53180878019567,2.9005056522840404,22.573076127281166,-7.8235628427937085,3.8255813953488373,2.4302325581395348,0.32558139534883723,A,below
47,0.22380952380952382,0.723404255319149,14.89263133310978,12.240020746675857,4.260094096074082,27.31266004787941,-5.980756010997439,3.8085106382978724,2.382978723404255,0.2765957446808511,A,na
51,0.24285714285714285,0.6666666666666666,8.444346000669983,9.718820302331265,2.163852658992285,21.640353456067594,-10.416719465580979,3.843137254901961,2.588235294117647,0.3333333333333333,A,aligned_confirm_60m
159,0.7571428571428571,0.6666666666666666,10.432340027243876,12.982260754743686,2.4835866633743793,24.051796300143444,-8.879961818089296,3.6729559748427674,2.559748427672956,0.3333333333333333,A,no_aligned_confirm_60m
77,0.36666666666666664,0.7012987012987013,10.053148361465924,12.302327466856546,2.673428766191213,22.874781852330575,-8.805138236992143,3.7142857142857144,2.5584415584415585,0.2987012987012987,A,mid_cross_present
133,0.6333333333333333,0.6466165413533834,9.889558545361423,12.982260754743686,2.282586667222523,23.808537107915797,-9.512563741146112,3.7142857142857144,2.5714285714285716,0.3533834586466165,A,mid_cross_absent
42,0.2,0.7380952380952381,10.825385430322395,12.106392480076167,2.5196433935248415,22.95373828813487,-10.042973582166857,3.9047619047619047,2.261904761904762,0.2619047619047619,A,multiple_whips_3+
111,0.4457831325301205,0.5405405405405406,2.536422982016347,2.9184610494715346,1.224031082246115,19.760513850832037,-13.519978467244812,3.18018018018018,3.5315315315315314,0.4594594594594595,B,above
85,0.3413654618473896,0.6352941176470588,7.064995012761899,9.701030705823877,1.850851669662265,20.653145693508844,-11.19108618565961,2.788235294117647,3.7176470588235295,0.36470588235294116,B,below
53,0.21285140562248997,0.8113207547169812,18.894275679887283,14.791102385918633,7.494371193535379,27.267661507413923,-6.3811019370038595,2.30188679245283,4.509433962264151,0.18867924528301888,B,na
51,0.20481927710843373,0.6078431372549019,8.904222581835413,12.428602701614077,1.9117528096012881,23.562112879145353,-11.243219186824978,2.843137254901961,3.9411764705882355,0.39215686274509803,B,aligned_confirm_60m
198,0.7951807228915663,0.6363636363636364,7.218933264893918,9.168250252934758,1.883059671781909,21.174003658823903,-11.195728079688747,2.8636363636363638,3.7676767676767677,0.36363636363636365,B,no_aligned_confirm_60m
90,0.3614457831325301,0.6111111111111112,7.3354727565287465,9.847064074576913,1.848195867793375,21.40549451342605,-10.80427434307124,2.933333333333333,3.7777777777777777,0.3888888888888889,B,mid_cross_present
159,0.6385542168674698,0.6415094339622641,7.693532012798833,9.4066138703804,1.9140136932889544,21.80896839669938,-11.432538663081976,2.8176100628930816,3.8176100628930816,0.3584905660377358,B,mid_cross_absent
40,0.1606425702811245,0.575,2.9950960809385876,5.752303259553974,1.2576697515588613,20.356787657960364,-12.744750297577017,2.85,3.4,0.425,B,multiple_whips_3+
