n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,count_category,expect_ci_low,expect_ci_high,expect_se,p_vs_baseline
159,0.7571428571428571,0.6477987421383647,9.342775661210723,10.35043878427658,2.289671890639989,23.260629467078257,-9.28714569946286,3.691823899371069,2.647798742138365,0.3522012578616352,A,0,5.635526836872633,13.350236803135274,2.3713847756189015,0.8395802098950524
17,0.08095238095238096,0.8823529411764706,22.88652323466271,28.757195551377265,25.831598978123175,29.83364074530957,-2.4628204722234623,4.0,1.5294117647058822,0.11764705882352941,A,1,15.53182975467637,29.99981567431813,4.401304910336547,0.0769615192403798
13,0.06190476190476191,0.6923076923076923,10.01297398610019,17.627938310034743,1.9971210768122352,25.16268332938222,-13.149645133948045,3.8461538461538463,2.4615384615384617,0.3076923076923077,A,2,-7.16455019895038,25.443620009713868,9.990186889128028,0.993503248375812
3,0.014285714285714285,0.3333333333333333,-13.261681093419234,-6.830219287250434,0.0405531431889772,5.366869359444762,-22.35764759140311,2.0,3.3333333333333335,0.6666666666666666,A,3,,,,
6,0.02857142857142857,0.6666666666666666,13.51930169262628,15.042058246053372,2.8473026124551226,26.54512211352569,-9.721950746300974,3.8333333333333335,2.5,0.3333333333333333,A,4,,,,0.7521239380309845
182,0.7309236947791165,0.6318681318681318,7.357038619138733,9.465109653504955,1.8410642779627435,21.870248669046738,-11.072336942668512,2.8351648351648353,3.818681318681319,0.36813186813186816,B,0,3.489490067162777,11.016567753643399,2.2973093255977903,0.952023988005997
20,0.08032128514056225,0.65,4.84465121007405,8.265751569865252,1.8398089319458786,17.44411248102437,-10.264976331707945,2.6,3.8,0.35,B,1,-1.795657429086231,11.225249752071232,4.048516622899158,0.7021489255372314
8,0.0321285140562249,0.5,0.3080132932354438,3.5400399334959167,1.034311414518196,14.299973437034897,-13.652362640138033,2.75,2.75,0.5,B,2,,,,0.5197401299350325
10,0.040160642570281124,0.6,-2.572437720234986,7.544324748005783,0.7764192203786838,15.070298563883906,-13.58259590107348,3.1,3.5,0.4,B,3,-18.12938986110155,10.20548131654087,8.612129397518014,0.303848075962019
6,0.024096385542168676,0.6666666666666666,20.22214706127771,25.019632115318302,5.591776557074051,26.592119932996308,-7.005666757045499,2.6666666666666665,4.166666666666667,0.3333333333333333,B,4,,,,0.31134432783608196
