n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,rekey_state,expect_ci_low,expect_ci_high,expect_se
21,0.1,0.47619047619047616,-1.6308989725645413,-3.6991648729159685,0.8407943972595101,13.935811122141114,-13.316191851199768,3.4285714285714284,3.142857142857143,0.5238095238095238,A,rekey_present,-9.183244655803504,6.427502953681205,4.7759862611778
189,0.9,0.6878306878306878,11.236257083543919,13.283728661427011,2.6682665052383028,24.525087854059738,-8.801728005003348,3.746031746031746,2.502645502645503,0.31216931216931215,A,rekey_absent,7.680024537545771,14.514652982038779,2.1575611655193727
2,0.009523809523809525,0.0,-22.541694840037945,-22.541694840037945,0.0,1.4397012306070207,-22.479565402799448,2.5,4.0,1.0,A,aligned_rekey,,,
19,0.09047619047619047,0.5263157894736842,0.5702374345379222,5.871896938562478,1.0637173573700753,15.25119111072365,-12.351626214189276,3.526315789473684,3.0526315789473686,0.47368421052631576,A,opposed_rekey,-7.787480872765772,8.334897912707385,4.880825204494105
9,0.04285714285714286,0.5555555555555556,-0.9752945933750008,8.633491424858049,0.9099583328508674,17.640507013083646,-13.029566529870745,3.7777777777777777,3.2222222222222223,0.4444444444444444,A,rekey_success,,,
12,0.05714285714285714,0.4166666666666667,-2.122602256956697,-3.765807002140396,0.7834801942990864,11.157289203934212,-13.531160842196536,3.1666666666666665,3.0833333333333335,0.5833333333333334,A,rekey_failure_only,-11.872777335868593,7.871091890116108,5.7605938222697555
23,0.10952380952380952,0.7391304347826086,12.853946399766542,13.283728661427011,2.7595879155428715,25.293418726914183,-10.247277409483187,3.6956521739130435,2.608695652173913,0.2608695652173913,A,aligned_seq_no_rekey,1.6892785171993512,23.017348755749623,6.422626560253489
25,0.10040160642570281,0.56,3.8569335360898536,2.707140491531168,1.5222755247646895,16.28689961463415,-10.90239157801288,3.16,3.6,0.44,B,rekey_present,-3.5158281098816135,11.82001282854041,4.771934334037537
224,0.8995983935742972,0.6383928571428571,7.977860713037301,9.714773549055959,1.924931504369904,22.263160673739694,-11.239279235964839,2.825892857142857,3.825892857142857,0.36160714285714285,B,rekey_absent,4.485058982710642,11.211882333120814,2.098021836704264
13,0.05220883534136546,0.7692307692307693,11.007476036242515,14.008533709932005,3.6234561121455138,19.500801805297378,-9.045055189007096,2.6153846153846154,4.153846153846154,0.23076923076923078,B,aligned_rekey,0.882895215998448,20.649691886721918,5.99824525960465
12,0.04819277108433735,0.3333333333333333,-3.8894875057421943,-3.805348144862304,0.6411809716725242,12.805172241415661,-12.914505999435812,3.75,3.0,0.6666666666666666,B,opposed_rekey,-14.249871348152178,6.92215374820746,6.612096397737249
13,0.05220883534136546,0.6153846153846154,0.5939543673856688,4.412007737130081,1.0661791369443128,14.735295773594185,-12.378977637898904,3.3076923076923075,3.769230769230769,0.38461538461538464,B,rekey_success,-10.022751610089784,10.18870227256795,6.169148715056248
12,0.04819277108433735,0.5,7.391827635519387,-0.04591069514397124,2.305452733438165,17.967803775760782,-9.302756679803021,3.0,3.4166666666666665,0.5,B,rekey_failure_only,-3.4931082660798864,18.694240674894218,6.981885957873641
24,0.0963855421686747,0.625,5.659498022094428,10.330416852606945,1.5365947790752126,22.49912961250618,-13.529855256649652,3.1666666666666665,3.6666666666666665,0.375,B,aligned_seq_no_rekey,-5.965274017424345,20.672532314689878,8.290512597663172
