event_id,event_start,peak_timestamp,event_end,duration_hours,event_family,origin_currency,direction,severity,severity_score,origin_strength,origin_velocity,origin_acceleration,origin_breadth,origin_rank,origin_volatility,destination_rank_1,destination_rank_2,destination_rank_3,gbp_bridge_score_components,chf_parking_score_components,jpy_destination_score_components,network_dispersion,network_rmse,max_pair_residual,broad_vs_localized,peak_severity,utc_hour,session,weekday,month,quarter,year,_session,_est_hour,ar_pips,ar_high,ar_low,midpoint,daily_tier,family,baseline_return_bps,baseline_net_bps,baseline_mfe_bps,baseline_mae_bps,baseline_time_to_mfe_h,baseline_time_to_mae_h,baseline_rv_bps_per_h,split,baseline_position,baseline_vol_bps,baseline_vol_mfe_bps,baseline_vol_mae_bps,baseline_win,baseline_entry_time,baseline_exit_time,trade,aligned_dir,p90_total,p90_aligned,p90_opposed,p90_first_min,p90_last_min,p90_0_15,p90_15_30,p90_30_45,p90_45_60,p90_60_90,p90_90_120,p90_cum15m,p90_cum30m,p90_cum60m,p90_cum90m,p90_cum120m,tier_impulse_total,tier_impulse_aligned,tier_impulse_opposed,tier_impulse_first_min,tier_impulse_last_min,tier_impulse_0_15,tier_impulse_15_30,tier_impulse_30_45,tier_impulse_45_60,tier_impulse_60_90,tier_impulse_90_120,tier_impulse_cum15m,tier_impulse_cum30m,tier_impulse_cum60m,tier_impulse_cum90m,tier_impulse_cum120m,rekey_total,rekey_aligned,rekey_opposed,rekey_first_min,rekey_last_min,rekey_0_15,rekey_15_30,rekey_30_45,rekey_45_60,rekey_60_90,rekey_90_120,rekey_cum15m,rekey_cum30m,rekey_cum60m,rekey_cum90m,rekey_cum120m,mid_cross_total,mid_cross_aligned,mid_cross_opposed,mid_cross_first_min,mid_cross_last_min,mid_cross_0_15,mid_cross_15_30,mid_cross_30_45,mid_cross_45_60,mid_cross_60_90,mid_cross_90_120,mid_cross_cum15m,mid_cross_cum30m,mid_cross_cum60m,mid_cross_cum90m,mid_cross_cum120m,primitive_density,tier_to_p90_ratio,p90_to_tier_ratio,aligned_commitment_ratio,opposition_ratio,midpoint_start_state,rekey_success,rekey_failure,first_sequence,sequence_code,time_to_first_primitive,subperiod,primitive_score
EUR_ORIGIN_202307101100,2023-07-10 11:00:00+00:00,2023-07-10 11:00:00+00:00,2023-07-10 11:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.9583,0.00084104,0.00180124,0.00391417,1.0,1.0,0.00050356,JPY,GBP,CHF,"{'GBP_factor': -0.00023657614852770967, 'GBP_velocity': -0.001722285612731312, 'GBP_acceleration': -0.002317797288343108, 'GBP_breadth': 1.0, 'GBP_rank_change': 1.0, 'EURGBP_residual': 0.00015816064139298784, 'GBPJPY_residual': 7.377279042417327e-05, 'GBPCHF_residual': -5.892849076758551e-05}","{'CHF_factor': 0.0005900602730517898, 'CHF_breadth': 1.0, 'CHF_acceleration': -0.0009462815802180835, 'CHF_rank_change': -1.0, 'EURCHF_residual': 0.0004050333062071912, 'GBPCHF_residual': -5.892849076758551e-05, 'CHFJPY_residual': 0.00014980126617523764}","{'JPY_factor': -0.0007111181264427886, 'JPY_positive': -0.0007111181264427886, 'JPY_acceleration': 0.0023578336972045993, 'JPY_breadth': 1.0, 'JPY_rank_change': 4.0, 'EURJPY_residual': -0.00017856707879570079, 'GBPJPY_residual': 7.377279042417327e-05, 'CHFJPY_residual': 0.00014980126617523764}",0.00021003533957554004,0.00021478977949410685,0.0004050333062071912,BROAD_CURRENCY_EVENT,,11,London,0,7,3,2023,2023-07-09,7,78.9999999999992,142.903,142.113,142.50799999999998,NO-GO,A,-45.978713629919454,-47.401316369645485,20.172279454291342,-45.978713629919454,2.0,6.0,22.585732186794516,discovery,0.4427573973380781,-20.987283466223072,8.931425949558422,-20.357415579735957,0.0,2023-07-10 13:00:00+00:00,2023-07-10 19:00:00+00:00,long,bull,4,2,2,0.0,90.0,1,0,1,1,0,1,1,1,3,3,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0.0,4.0,0.4,0.4,below,0,0,PA-PO-PO-PA,PA-PO-PO-PA,0.0,2023H2,0
EUR_ORIGIN_202307121500,2023-07-12 15:00:00+00:00,2023-07-12 15:00:00+00:00,2023-07-12 15:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,MEDIUM,1.0,0.00150563,0.00076381,0.00086097,0.75,2.0,0.00084337,JPY,USD,GBP,"{'GBP_factor': 0.0003966482143246728, 'GBP_velocity': 0.0006635261428916089, 'GBP_acceleration': 0.002477256287113593, 'GBP_breadth': 1.0, 'GBP_rank_change': -1.0, 'EURGBP_residual': -0.0006535602605114931, 'GBPJPY_residual': -0.00012867914421227649, 'GBPCHF_residual': -0.0004002569520262834}","{'CHF_factor': 0.0015402072637933268, 'CHF_breadth': 0.75, 'CHF_acceleration': 0.000979991324244809, 'CHF_rank_change': -4.0, 'EURCHF_residual': 0.0009356577713007299, 'GBPCHF_residual': -0.0004002569520262834, 'CHFJPY_residual': 0.0002739311993035353}","{'JPY_factor': -0.0008528149301167056, 'JPY_positive': -0.0008528149301167056, 'JPY_acceleration': 0.0010260594197982994, 'JPY_breadth': 1.0, 'JPY_rank_change': 3.0, 'EURJPY_residual': -0.0001101602204002473, 'GBPJPY_residual': -0.00012867914421227649, 'CHFJPY_residual': 0.0002739311993035353}",0.00026798377268275845,0.0004100274891032462,0.0009356577713007299,BROAD_CURRENCY_EVENT,,15,NY_Overlap,2,7,3,2023,2023-07-11,11,102.49999999999773,140.39,139.365,139.8775,NO-GO,A,20.6711696436912,19.248566903965173,20.6711696436912,0.0,6.0,1.0,6.83188076962619,discovery,1.4637257787722129,28.174623581755466,30.25692388484443,0.0,1.0,2023-07-12 17:00:00+00:00,2023-07-12 23:00:00+00:00,long,bull,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,below,0,0,,,,2023H2,0
EUR_ORIGIN_202307131600,2023-07-13 16:00:00+00:00,2023-07-13 16:00:00+00:00,2023-07-13 16:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.75,0.00075666,0.00104752,0.00045889,0.75,2.0,0.00035852,GBP,USD,CHF,"{'GBP_factor': -0.00019479055429493734, 'GBP_velocity': -0.002414342516021691, 'GBP_acceleration': -0.004656509394554765, 'GBP_breadth': 1.0, 'GBP_rank_change': 3.0, 'EURGBP_residual': -0.0006121153772125854, 'GBPJPY_residual': -0.00043791096668992723, 'GBPCHF_residual': -0.0003794464198655567}","{'CHF_factor': 0.0004634985496494188, 'CHF_breadth': 1.0, 'CHF_acceleration': -0.0013072749818847079, 'CHF_rank_change': 1.0, 'EURCHF_residual': 0.0008702223033022441, 'GBPCHF_residual': -0.0003794464198655567, 'CHFJPY_residual': -8.289051529800578e-05}","{'JPY_factor': 0.0009342645139888278, 'JPY_positive': 0.0009342645139888278, 'JPY_acceleration': 6.478568255722486e-05, 'JPY_breadth': 0.75, 'JPY_rank_change': -4.0, 'EURJPY_residual': 0.0011530736291192247, 'GBPJPY_residual': -0.00043791096668992723, 'CHFJPY_residual': -8.289051529800578e-05}",0.00028937601240620897,0.0007460953941052994,0.0014111805552088836,BROAD_CURRENCY_EVENT,,16,NY_Overlap,3,7,3,2023,2023-07-12,12,60.20000000000039,138.671,138.069,138.37,NO-GO,A,-0.2172865974081617,-1.6398893371341892,0.8690991792459357,-3.8394251475892816,2.0,3.0,2.3551418943676894,discovery,4.246028667705734,-6.9630171373367205,3.6902200301577675,-16.30230924417441,0.0,2023-07-13 18:00:00+00:00,2023-07-14 00:00:00+00:00,long,bull,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,3,1,2,25.0,90.0,0,1,0,0,1,1,0,1,1,2,3,2.0,0.0,0.0,0.0,0.0,above,0,0,MO-MA-MO,MO-MA-MO,25.0,2023H2,0
EUR_ORIGIN_202307140500,2023-07-14 05:00:00+00:00,2023-07-14 05:00:00+00:00,2023-07-14 05:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.7917,0.00083426,0.00116018,0.00218002,1.0,1.0,0.00043974,JPY,CHF,GBP,"{'GBP_factor': 9.531337586028799e-05, 'GBP_velocity': -0.0008372071427539697, 'GBP_acceleration': -0.00032027323506417216, 'GBP_breadth': 0.5, 'GBP_rank_change': 0.0, 'EURGBP_residual': -2.5915288968496103e-05, 'GBPJPY_residual': -0.0001897279817694769, 'GBPCHF_residual': 5.855620588914322e-05}","{'CHF_factor': 0.00014498949401414718, 'CHF_breadth': 0.5, 'CHF_acceleration': 0.0001863251913133252, 'CHF_rank_change': 1.0, 'EURCHF_residual': -0.0002533530742733493, 'GBPCHF_residual': 5.855620588914322e-05, 'CHFJPY_residual': -0.00023966207541980178}","{'JPY_factor': -0.0012294350889183133, 'JPY_positive': -0.0012294350889183133, 'JPY_acceleration': 0.0003013518731693296, 'JPY_breadth': 1.0, 'JPY_rank_change': 4.0, 'EURJPY_residual': 0.0007450165553335364, 'GBPJPY_residual': -0.0001897279817694769, 'CHFJPY_residual': -0.00023966207541980178}",0.0002994115592785852,0.0003234819587678658,0.0007450165553335364,BROAD_CURRENCY_EVENT,,5,Asia,4,7,3,2023,2023-07-13,1,87.80000000000143,138.114,137.236,137.675,NA,A,54.69317527422746,53.270572534501426,54.69317527422746,0.0,6.0,1.0,14.656728794572267,discovery,0.6822804829208027,36.34547195430728,37.31608603857202,0.0,1.0,2023-07-14 07:00:00+00:00,2023-07-14 13:00:00+00:00,long,bull,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,na,0,0,,,,2023H2,0
EUR_ORIGIN_202307141100,2023-07-14 11:00:00+00:00,2023-07-14 11:00:00+00:00,2023-07-14 11:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.875,0.00092673,0.00019179,-0.00078533,1.0,1.0,0.0004624,CHF,JPY,USD,"{'GBP_factor': 0.00018891727800297208, 'GBP_velocity': 0.0002444912994588182, 'GBP_acceleration': -0.001091577483257446, 'GBP_breadth': 0.75, 'GBP_rank_change': -1.0, 'EURGBP_residual': -0.0006093068611265547, 'GBPJPY_residual': -0.00017951090964947155, 'GBPCHF_residual': -0.00036503359400518116}","{'CHF_factor': 0.00016159242231048948, 'CHF_breadth': 0.75, 'CHF_acceleration': -0.0011335941127775585, 'CHF_rank_change': 2.0, 'EURCHF_residual': 0.0009126967233101799, 'GBPCHF_residual': -0.00036503359400518116, 'CHFJPY_residual': 0.00023537303873238697}","{'JPY_factor': -0.0010049937891989018, 'JPY_positive': -0.0010049937891989018, 'JPY_acceleration': 0.0010719777551686696, 'JPY_breadth': 1.0, 'JPY_rank_change': 1.0, 'EURJPY_residual': 4.045330762665047e-05, 'GBPJPY_residual': -0.00017951090964947155, 'CHFJPY_residual': 0.00023537303873238697}",0.00031370633058444856,0.0004069403937976061,0.0009126967233101799,BROAD_CURRENCY_EVENT,,11,London,4,7,3,2023,2023-07-13,7,87.80000000000143,138.114,137.236,137.675,NO-GO,A,9.090712948296442,7.668110208570415,18.605461525291744,-2.7432663811488567,2.0,4.0,13.326244606470926,discovery,0.7503989529911693,5.754141871932136,13.961518848496409,-2.058544220189976,1.0,2023-07-14 13:00:00+00:00,2023-07-14 19:00:00+00:00,long,bull,6,5,1,15.0,120.0,0,2,1,1,0,1,0,2,4,4,5,5,5,0,15.0,120.0,0,1,1,1,0,1,0,1,3,3,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,5.5,0.7142857142857143,1.0,0.8333333333333334,0.08333333333333333,above,0,0,PA-TA-PO-PA,PA-TA-PO-PA,15.0,2023H2,1
EUR_ORIGIN_202307171100,2023-07-17 11:00:00+00:00,2023-07-17 11:00:00+00:00,2023-07-17 11:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.9167,0.00128262,0.00179388,0.00131281,0.75,1.0,0.00070514,GBP,CHF,JPY,"{'GBP_factor': -0.0011267707647385065, 'GBP_velocity': -0.000718720183690329, 'GBP_acceleration': -0.001843036839326703, 'GBP_breadth': 1.0, 'GBP_rank_change': 4.0, 'EURGBP_residual': -0.0009777350379263808, 'GBPJPY_residual': -0.001060855180864465, 'GBPCHF_residual': -0.0001910614028839807}","{'CHF_factor': -0.0003314416103124328, 'CHF_breadth': 0.75, 'CHF_acceleration': -0.0018354724470370832, 'CHF_rank_change': 1.0, 'EURCHF_residual': -0.0001958937019995487, 'GBPCHF_residual': -0.0001910614028839807, 'CHFJPY_residual': -0.0008675683475366464}","{'JPY_factor': 0.000363965222486803, 'JPY_positive': 0.000363965222486803, 'JPY_acceleration': 0.003658492298501274, 'JPY_breadth': 1.0, 'JPY_rank_change': -3.0, 'EURJPY_residual': 0.003267331743110768, 'GBPJPY_residual': -0.001060855180864465, 'CHFJPY_residual': -0.0008675683475366464}",0.00038388166607254627,0.0014165741053874584,0.003267331743110768,BROAD_CURRENCY_EVENT,,11,London,0,7,3,2023,2023-07-16,7,46.19999999999891,138.826,138.364,138.595,NO-GO,A,32.61539132548563,31.192788585759605,56.43237883533381,0.0,3.0,1.0,19.673404628861103,discovery,0.5083004283523904,15.85530779964716,28.684602334944547,0.0,1.0,2023-07-17 13:00:00+00:00,2023-07-17 19:00:00+00:00,long,bull,6,1,5,10.0,105.0,1,0,1,0,1,3,1,1,2,3,6,4,0,4,35.0,105.0,0,0,1,0,0,3,0,0,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10.0,10.0,1,0,0,0,0,0,1,1,1,1,1,6.285714285714286,0.5714285714285714,1.2,0.09090909090909091,0.8181818181818182,above,0,0,PO-MO-TO-PO,PO-MO-TO-PO,10.0,2023H2,-2
EUR_ORIGIN_202307190600,2023-07-19 06:00:00+00:00,2023-07-19 06:00:00+00:00,2023-07-19 06:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.9583,0.00128377,0.00112879,0.00092838,1.0,1.0,0.00059145,CHF,JPY,USD,"{'GBP_factor': -0.00022836115916440047, 'GBP_velocity': -0.0008904594316699935, 'GBP_acceleration': -0.0012519923780350722, 'GBP_breadth': 0.75, 'GBP_rank_change': -2.0, 'EURGBP_residual': 0.0008319658677809101, 'GBPJPY_residual': 0.0002530227792050822, 'GBPCHF_residual': 0.00013903311212349565}","{'CHF_factor': -0.00043843224028415444, 'CHF_breadth': 1.0, 'CHF_acceleration': 0.00029339186395727594, 'CHF_rank_change': 2.0, 'EURCHF_residual': 0.00031318797365921503, 'GBPCHF_residual': 0.00013903311212349565, 'CHFJPY_residual': 0.00013276445352800376}","{'JPY_factor': -0.0005213118393587722, 'JPY_positive': -0.0005213118393587722, 'JPY_acceleration': 7.328241445215189e-06, 'JPY_breadth': 1.0, 'JPY_rank_change': 1.0, 'EURJPY_residual': -0.00017555972079978774, 'GBPJPY_residual': 0.0002530227792050822, 'CHFJPY_residual': 0.00013276445352800376}",7.683435191168731e-05,0.00046924769083888767,0.0009695941206403341,BROAD_CURRENCY_EVENT,,6,Asia,2,7,3,2023,2023-07-18,2,56.29999999999882,139.326,138.763,139.0445,NA,A,24.99598429425376,23.57338155452773,33.433234537367795,0.0,5.0,1.0,8.03953552682087,discovery,1.243852952280487,29.3218202418337,41.586027483590875,0.0,1.0,2023-07-19 08:00:00+00:00,2023-07-19 14:00:00+00:00,long,bull,1,1,0,105.0,105.0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,105.0,105.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1.1428571428571428,0.5,0.5,0.6666666666666666,0.0,na,0,0,PA-TA,PA-TA,105.0,2023H2,2
EUR_ORIGIN_202307210600,2023-07-21 06:00:00+00:00,2023-07-21 06:00:00+00:00,2023-07-21 06:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.9167,0.00126005,0.00090958,-6.265e-05,0.5,1.0,0.00062184,GBP,CHF,USD,"{'GBP_factor': -0.0003648100011543162, 'GBP_velocity': 0.0007175724207045596, 'GBP_acceleration': 0.001061382801011324, 'GBP_breadth': 0.75, 'GBP_rank_change': 3.0, 'EURGBP_residual': -0.001115838768420038, 'GBPJPY_residual': -0.0013491794761705989, 'GBPCHF_residual': 0.00015064010851736207}","{'CHF_factor': -5.28029348607188e-05, 'CHF_breadth': 0.5, 'CHF_acceleration': 0.0008443738778437144, 'CHF_rank_change': 1.0, 'EURCHF_residual': -0.0017275978856268453, 'GBPCHF_residual': 0.00015064010851736207, 'CHFJPY_residual': -0.0014936345473939927}","{'JPY_factor': -0.0009718579752279726, 'JPY_positive': -0.0009718579752279726, 'JPY_acceleration': -0.0025707729177097535, 'JPY_breadth': 0.25, 'JPY_rank_change': 0.0, 'EURJPY_residual': 0.004279328214802237, 'GBPJPY_residual': -0.0013491794761705989, 'CHFJPY_residual': -0.0014936345473939927}",0.00019303027657596806,0.001753721819146819,0.004279328214802237,BROAD_CURRENCY_EVENT,,6,Asia,4,7,3,2023,2023-07-20,2,55.79999999999927,140.304,139.746,140.025,NA,A,106.86794400234234,105.44534126261631,117.02008598905245,0.0,3.0,1.0,34.22096328749718,discovery,0.2922185420669779,30.813083891516683,34.19543892027329,0.0,1.0,2023-07-21 08:00:00+00:00,2023-07-21 14:00:00+00:00,long,bull,2,0,2,65.0,80.0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,2.0,0.0,0.6666666666666666,na,0,0,PO-PO,PO-PO,65.0,2023H2,-1
EUR_ORIGIN_202307262100,2023-07-26 21:00:00+00:00,2023-07-26 21:00:00+00:00,2023-07-26 21:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.9583,0.00138813,0.00103912,0.00057149,1.0,1.0,0.00083514,JPY,USD,CHF,"{'GBP_factor': 0.0010222232580207693, 'GBP_velocity': 0.000157826697675789, 'GBP_acceleration': 0.0012740218243767042, 'GBP_breadth': 1.0, 'GBP_rank_change': -3.0, 'EURGBP_residual': 0.00026444345783168896, 'GBPJPY_residual': -0.00015232213812737356, 'GBPCHF_residual': 0.00038916285741562144}","{'CHF_factor': 0.0009894584383522006, 'CHF_breadth': 1.0, 'CHF_acceleration': 0.0019373833098847726, 'CHF_rank_change': 0.0, 'EURCHF_residual': -0.00011568282725526774, 'GBPCHF_residual': 0.00038916285741562144, 'CHFJPY_residual': 0.00024646162547809435}","{'JPY_factor': -1.802942617267476e-05, 'JPY_positive': -1.802942617267476e-05, 'JPY_acceleration': 0.0010403929019213833, 'JPY_breadth': 1.0, 'JPY_rank_change': 3.0, 'EURJPY_residual': 0.0004065249708291546, 'GBPJPY_residual': -0.00015232213812737356, 'CHFJPY_residual': 0.00024646162547809435}",0.0004849738791277122,0.0003231822103996222,0.0005552856014055729,BROAD_CURRENCY_EVENT,,21,NY_Late,2,7,3,2023,2023-07-25,17,34.600000000000364,141.183,140.837,141.01,T3,A,-34.86938245923277,-36.2919851989588,19.809888616686422,-34.86938245923277,2.0,6.0,19.452960132660014,discovery,0.5140605816186696,-18.65627901947291,10.183482864094884,-17.924975027677032,0.0,2023-07-26 23:00:00+00:00,2023-07-27 05:00:00+00:00,long,bull,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0.0,115.0,2,0,2,3,6,6,2,2,7,13,19,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,9.91304347826087,0.0,0.0,0.0,0.0,below,1,18,RO-RO-RO-RO,RO-RO-RO-RO,0.0,2023H2,-1
EUR_ORIGIN_202307270900,2023-07-27 09:00:00+00:00,2023-07-27 09:00:00+00:00,2023-07-27 09:00:00+00:00,1.0,BROAD_CURRENCY_EVENT,EUR,ACCUMULATION,LOW,0.75,0.00080546,0.00051516,-0.00182472,1.0,1.0,0.00029931,USD,GBP,JPY,"{'GBP_factor': -0.00036567137918878733, 'GBP_velocity': 6.106398845509678e-05, 'GBP_acceleration': 0.0003368117452975046, 'GBP_breadth': 1.0, 'GBP_rank_change': 1.0, 'EURGBP_residual': 0.0001911032236665256, 'GBPJPY_residual': 7.161847017116054e-07, 'GBPCHF_residual': -2.1917761895956143e-05}","{'CHF_factor': 0.0004020451557145243, 'CHF_breadth': 1.0, 'CHF_acceleration': 0.0019908149739107676, 'CHF_rank_change': -3.0, 'EURCHF_residual': 0.0001732260812952235, 'GBPCHF_residual': -2.1917761895956143e-05, 'CHFJPY_residual': -4.700717284422039e-05}","{'JPY_factor': -1.2186239294667816e-06, 'JPY_positive': -1.2186239294667816e-06, 'JPY_acceleration': -0.006951577932792616, 'JPY_breadth': 1.0, 'JPY_rank_change': -1.0, 'EURJPY_residual': 0.00026320304283417506, 'GBPJPY_residual': 7.161847017116054e-07, 'CHFJPY_residual': -4.700717284422039e-05}",0.00015908684327945396,0.00025763233192532245,0.0006275323477959204,BROAD_CURRENCY_EVENT,,9,London,3,7,3,2023,2023-07-26,5,110.80000000000041,140.486,139.378,139.932,NO-GO,A,85.10568646612704,83.68308372640101,85.10568646612704,0.0,6.0,1.0,18.738815621466646,discovery,0.5336516566470876,44.657616263930834,45.41679057273632,0.0,1.0,2023-07-27 11:00:00+00:00,2023-07-27 17:00:00+00:00,long,bull,12,4,8,20.0,120.0,0,2,0,1,4,4,0,2,3,7,11,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,9,4,5,60.0,120.0,0,0,0,0,6,2,0,0,0,6,8,10.5,0.0,12.0,0.3076923076923077,0.6153846153846154,above,0,0,PA-PO-PO-PO,PA-PO-PO-PO,20.0,2023H2,0
