n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,primitive,count,density_mean
159,0.7571428571428571,0.6477987421383647,9.342775661210723,10.35043878427658,2.289671890639989,23.260629467078257,-9.28714569946286,3.691823899371069,2.647798742138365,0.3522012578616352,A,tier_impulse_total,0,4.249927484256745
17,0.08095238095238096,0.8823529411764706,22.88652323466271,28.757195551377265,25.831598978123175,29.83364074530957,-2.4628204722234623,4.0,1.5294117647058822,0.11764705882352941,A,tier_impulse_total,1,3.461985423643631
13,0.06190476190476191,0.6923076923076923,10.01297398610019,17.627938310034743,1.9971210768122352,25.16268332938222,-13.149645133948045,3.8461538461538463,2.4615384615384617,0.3076923076923077,A,tier_impulse_total,2,7.635704150921542
3,0.014285714285714285,0.3333333333333333,-13.261681093419234,-6.830219287250434,0.0405531431889772,5.366869359444762,-22.35764759140311,2.0,3.3333333333333335,0.6666666666666666,A,tier_impulse_total,3,8.88888888888889
6,0.02857142857142857,0.6666666666666666,13.51930169262628,15.042058246053372,2.8473026124551226,26.54512211352569,-9.721950746300974,3.8333333333333335,2.5,0.3333333333333333,A,tier_impulse_total,4,8.595238095238095
111,0.5285714285714286,0.6036036036036037,7.089484866343707,9.965258563573338,1.797634723307751,22.695193074577624,-10.517975989264892,3.684684684684685,2.7027027027027026,0.3963963963963964,A,p90_total,0,3.8156019723660055
21,0.1,0.9047619047619048,24.176289154719157,20.30071502660798,19.319287116432378,32.03546653075006,-3.81516142624008,4.238095238095238,1.8571428571428572,0.09523809523809523,A,p90_total,1,4.8808574448326
15,0.07142857142857142,0.8,21.14818321620665,17.627938310034743,11.776427547077562,28.737816854266477,-4.272039228204631,3.8,2.1333333333333333,0.2,A,p90_total,2,6.814530397139093
9,0.04285714285714286,0.3333333333333333,-9.034634052546338,-6.873988954727654,0.5171846512265252,12.910131985732953,-21.84446946164049,2.6666666666666665,3.4444444444444446,0.6666666666666666,A,p90_total,3,5.281066603189365
182,0.7309236947791165,0.6318681318681318,7.357038619138733,9.465109653504955,1.8410642779627435,21.870248669046738,-11.072336942668512,2.8351648351648353,3.818681318681319,0.36813186813186816,B,tier_impulse_total,0,3.3450227993479937
20,0.08032128514056225,0.65,4.84465121007405,8.265751569865252,1.8398089319458786,17.44411248102437,-10.264976331707945,2.6,3.8,0.35,B,tier_impulse_total,1,9.808998088105641
8,0.0321285140562249,0.5,0.3080132932354438,3.5400399334959167,1.034311414518196,14.299973437034897,-13.652362640138033,2.75,2.75,0.5,B,tier_impulse_total,2,6.748632946001367
10,0.040160642570281124,0.6,-2.572437720234986,7.544324748005783,0.7764192203786838,15.070298563883906,-13.58259590107348,3.1,3.5,0.4,B,tier_impulse_total,3,6.8857750514393405
6,0.024096385542168676,0.6666666666666666,20.22214706127771,25.019632115318302,5.591776557074051,26.592119932996308,-7.005666757045499,2.6666666666666665,4.166666666666667,0.3333333333333333,B,tier_impulse_total,4,10.15151515151515
127,0.5100401606425703,0.6062992125984252,4.526096143678047,8.091915269051862,1.4711573226780503,20.6356358357731,-11.420125390116354,2.8661417322834644,3.677165354330709,0.3937007874015748,B,p90_total,0,3.122274499016422
20,0.08032128514056225,0.85,18.95353699946751,17.74017463420213,6.361245861313477,27.498481126529214,-6.2411494221485775,2.3,4.4,0.15,B,p90_total,1,7.933661049095832
11,0.04417670682730924,0.7272727272727273,14.90080466907004,24.307276624320764,4.635611762279515,26.587824212827083,-7.276674350236788,2.272727272727273,3.727272727272727,0.2727272727272727,B,p90_total,2,2.6848593816557202
16,0.0642570281124498,0.625,5.813985281481428,5.994291031767658,1.5873967829556395,21.199176991860504,-13.036780744439788,2.75,3.5625,0.375,B,p90_total,3,4.183493256362249
