n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,daily_tier,fingerprint,eligible,status
4,0.01904761904761905,0.25,-15.699783210748352,-17.51159179886414,0.201361422430373,8.92832792801608,-25.733293577798044,3.0,4.0,0.75,A,T1,baseline,False,exploratory
1,0.004761904761904762,0.0,-34.63642683059073,-34.63642683059073,0.0,0.0,-44.86881970649222,1.0,5.0,1.0,A,T1,tier_impulse_present,False,exploratory
1,0.004761904761904762,0.0,-34.63642683059073,-34.63642683059073,0.0,0.0,-44.86881970649222,1.0,5.0,1.0,A,T1,p90_present,False,exploratory
1,0.004761904761904762,0.0,-34.63642683059073,-34.63642683059073,0.0,0.0,-44.86881970649222,1.0,5.0,1.0,A,T1,aligned_midpoint_p90,False,exploratory
25,0.11904761904761904,0.48,-1.0851337194036372,-2.170741797600137,0.9244460026235607,16.9737089400183,-16.02010110558056,3.08,3.04,0.52,A,T2,baseline,False,exploratory
3,0.014285714285714285,1.0,32.52049154652621,31.2339334647257,,37.19431676943501,-3.696620205594647,4.666666666666667,1.3333333333333333,0.0,A,T2,tier_impulse_present,False,exploratory
1,0.004761904761904762,1.0,52.09873248239335,52.09873248239335,,55.70483881715658,0.0,4.0,1.0,0.0,A,T2,aligned_tier_impulse,False,exploratory
5,0.023809523809523808,0.8,29.37979701327575,31.2339334647257,53.81122022868747,33.072513940261196,-5.522215211056961,4.2,2.0,0.2,A,T2,p90_present,False,exploratory
3,0.014285714285714285,0.6666666666666666,26.85035976628671,31.2339334647257,29.95868059665851,30.919184148612718,-5.507071812833622,3.3333333333333335,2.3333333333333335,0.3333333333333333,A,T2,aligned_p90,False,exploratory
3,0.014285714285714285,0.6666666666666666,26.857147963841935,31.2339334647257,29.966001811217264,30.277444340560837,-5.507071812833622,4.0,2.3333333333333335,0.3333333333333333,A,T2,aligned_midpoint_p90,False,exploratory
33,0.15714285714285714,0.696969696969697,11.359230328601512,11.730901327714257,3.5844341295956212,21.81874016186868,-7.393212807841883,3.878787878787879,2.3636363636363638,0.30303030303030304,A,T3,baseline,True,research
8,0.0380952380952381,0.75,18.233388416846054,17.45512648732332,8.92108440814144,24.690868907687474,-4.987372585328041,4.0,1.75,0.25,A,T3,tier_impulse_present,False,exploratory
1,0.004761904761904762,1.0,11.730901327714257,11.730901327714257,,15.51139910122908,0.0,2.0,1.0,0.0,A,T3,aligned_tier_impulse,False,exploratory
14,0.06666666666666667,0.7857142857142857,11.287341062211436,9.396056936445586,4.645485131570823,20.238832720994377,-6.409127393884703,3.7142857142857144,2.2142857142857144,0.21428571428571427,A,T3,p90_present,False,exploratory
6,0.02857142857142857,0.6666666666666666,3.3591588213536094,4.778389800762448,2.094483096997122,10.792519469749152,-8.352500467326655,4.166666666666667,2.5,0.3333333333333333,A,T3,aligned_p90,False,exploratory
