n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,stage
210,1.0,0.6666666666666666,9.949541477933074,12.61769585822147,2.4040812156939153,23.466160180867877,-9.25317438962299,3.7142857142857144,2.566666666666667,0.3333333333333333,A,baseline_routing_event
163,0.7761904761904762,0.6503067484662577,8.524233360182738,12.982260754743686,2.0911428425615783,22.357046722281734,-10.196755149103977,3.687116564417178,2.6196319018404908,0.3496932515337423,A,+daily_tier_known
51,0.24285714285714285,0.7254901960784313,11.841223141832169,14.603978110182574,2.795998552543315,24.106932406211993,-9.147263835416343,3.784313725490196,2.3137254901960786,0.27450980392156865,A,+tier_stream
51,0.24285714285714285,0.7254901960784313,11.841223141832169,14.603978110182574,2.795998552543315,24.106932406211993,-9.147263835416343,3.784313725490196,2.3137254901960786,0.27450980392156865,A,+p90_stream
7,0.03333333333333333,0.8571428571428571,18.14765595548601,22.390677009172613,4.6676298138296,29.486475105121592,-9.092915682475422,4.714285714285714,2.142857142857143,0.14285714285714285,A,+midpoint
0,0.0,,,,,,,,,,A,+rekey
249,1.0,0.6305220883534136,7.56411300450844,9.49489433042825,1.8898112868321324,21.66313446298613,-11.205455173921468,2.859437751004016,3.8032128514056227,0.36947791164658633,B,baseline_routing_event
196,0.7871485943775101,0.5816326530612245,4.500344525962122,7.32678332874119,1.4494597598076318,20.147624598931674,-12.509999671659395,3.010204081632653,3.6122448979591835,0.41836734693877553,B,+daily_tier_known
67,0.26907630522088355,0.6268656716417911,8.126613573721679,9.49489433042825,2.037718103365058,21.100525724134915,-11.567059921504125,2.925373134328358,3.7611940298507465,0.373134328358209,B,+tier_stream
67,0.26907630522088355,0.6268656716417911,8.126613573721679,9.49489433042825,2.037718103365058,21.100525724134915,-11.567059921504125,2.925373134328358,3.7611940298507465,0.373134328358209,B,+p90_stream
8,0.0321285140562249,0.625,5.264053390539634,11.797271038199856,2.1817022826512296,16.660790591375843,-8.587308141731597,2.375,3.75,0.375,B,+midpoint
0,0.0,,,,,,,,,,B,+rekey
