timestamp,open,high,low,close,volume,spread,real_volume
1444608000,0.96142,0.96302,0.95944,0.96292,57252,0,0
1444694400,0.96287,0.96457,0.95539,0.95833,71490,0,0
1444780800,0.9583,0.95834,0.94832,0.94955,72087,0,0
1444867200,0.94955,0.95519,0.94754,0.95145,63021,0,0
1444953600,0.9515,0.95526,0.94964,0.95367,51066,0,0
1445126400,0.9525,0.95434,0.95237,0.95304,2299,0,0
1445212800,0.95321,0.95775,0.95213,0.95625,47223,0,0
1445299200,0.9562,0.95699,0.94932,0.95593,45202,0,0
1445385600,0.95598,0.96104,0.95273,0.95923,49728,0,0
1445472000,0.9592,0.97379,0.9579,0.97364,94963,0,0
1445558400,0.97368,0.98001,0.97111,0.97867,98574,0,0
1445731200,0.97886,0.97927,0.97835,0.97877,3289,0,0
1445817600,0.97913,0.98383,0.9756,0.98251,80807,0,0
1445904000,0.98281,0.9873,0.98049,0.98708,79211,0,0
1445990400,0.98702,0.99566,0.98197,0.99381,97576,0,0
1446076800,0.99373,0.99554,0.98811,0.98913,94640,0,0
1446163200,0.98909,0.99098,0.98449,0.98742,103614,0,0
1446336000,0.98561,0.98703,0.9854,0.98627,3395,0,0
1446422400,0.98627,0.9891,0.98349,0.9871,74938,0,0
1446508800,0.98711,0.99247,0.98435,0.99105,78151,0,0
1446595200,0.99104,0.99507,0.98846,0.99312,87884,0,0
1446681600,0.99319,0.99784,0.99211,0.99509,95769,0,0
1446768000,0.99521,1.00755,0.99433,1.00584,96503,0,0
1446940800,1.00464,1.00609,1.00461,1.00569,5065,0,0
1447027200,1.00571,1.0061,0.99969,1.00308,82783,0,0
1447113600,1.0031,1.0086,1.00192,1.0052,94692,0,0
1447200000,1.00518,1.00713,1.00285,1.00341,73073,0,0
1447286400,1.00343,1.00846,0.99886,1.00079,103368,0,0
1447372800,1.00071,1.00941,0.99984,1.0061,88680,0,0
1447545600,1.00632,1.00903,1.0055,1.00784,5140,0,0
1447632000,1.00777,1.01023,1.00431,1.00947,79566,0,0
1447718400,1.00946,1.017,1.00915,1.01424,86899,0,0
