r_eurusd,r_usdcad,r_eurcad_direct,r_synth_ec,residual
0.00039801401738861347,0.008462320421969094,-0.008216532784397768,0.008860334439357707,-0.017076867223755475
-0.017740318751634666,0.001457974689312136,0.0002353932787105273,-0.01628234406232253,0.016517737341033057
0.00010195342776253905,-0.008689842523786961,0.00776077320835955,-0.008587889096024422,0.016348662304383973
0.01611488715345876,-0.00016870023841408788,-6.717395444394425e-05,0.015946186915044673,-0.016013360869488617
-0.016206500930199024,0.0003080759945147671,2.9860551228000354e-05,-0.015898424935684257,0.015928285486912257
0.01568845193622749,8.540737381401708e-05,2.8455168883334547e-05,0.015773859310041508,-0.015745404141158173
-0.01538147251851318,-2.3114350545583306e-05,0.00017485109193438042,-0.015404586869058764,0.015579437960993144
-0.014855308528071466,0.0,0.00015080795389726953,-0.014855308528071466,0.015006116481968736
0.014335864613869525,0.0003274739778418856,0.00010641694167751181,0.01466333859171141,-0.014556921650033899
-0.014526367620849832,-8.561477249213745e-05,-0.00020144818932626984,-0.01461198239334197,0.0144105342040157
-0.014261231664359351,0.0006792639510281306,1.5210050801794939e-05,-0.01358196771333122,0.013597177764133016
-0.0006802789405898236,-0.006847334752584311,0.006004378789658871,-0.007527613693174134,0.013531992482833006
-0.013350766863688603,0.0001421182351308281,5.2557484761017736e-05,-0.013208648628557775,0.013261206113318793
-0.008405980290805921,-0.0025462908579648724,0.001982191661547006,-0.010952271148770794,0.0129344628103178
0.012844167493494029,0.0002990140035584732,0.00035352866159893415,0.013143181497052502,-0.012789652835453568
-0.012857819202268077,3.850107610969822e-05,-7.318126270217107e-05,-0.012819318126158379,0.012746136863456207
-0.00016053780198031472,-0.008045143145360034,0.004300890204991359,-0.008205680947340348,0.012506571152331707
0.012217887468169888,0.0001484241652890128,-0.00010336833098889553,0.012366311633458901,-0.012469679964447797
0.01157526436139998,0.0008507711088249215,1.482008417830194e-05,0.012426035470224901,-0.012411215386046599
-0.012384228108283643,-0.00022058533984747886,-0.00038579971757879417,-0.012604813448131122,0.012219013730552328
-0.012296165519028979,-0.00031800382612129363,-0.0004299895534309872,-0.012614169345150273,0.012184179791719285
0.012178704840698024,-5.5212667377430025e-05,-2.7926330342431527e-05,0.012123492173320594,-0.012151418503663025
-0.0004915853726945576,0.007956300980810238,-0.004619563341690336,0.0074647156081156804,-0.012084278949806015
-0.011749761324352764,0.00016912289524595447,0.00017865473035932888,-0.01158063842910681,0.011759293159466139
0.01067602053085806,0.0005452945114902408,-5.2218736840636826e-05,0.011221315042348301,-0.011273533779188938
-0.010682451701330326,-0.0004484901540370845,1.516622179104088e-05,-0.01113094185536741,0.011146108077158452
-0.010639580213813962,-0.00018038296135772236,0.00023652174023308659,-0.010819963175171685,0.011056484915404771
0.011095708846503585,-0.00013217897051825966,0.0,0.010963529875985326,-0.010963529875985326
-0.01088499429951871,0.0003750029341050287,-7.453592072270698e-06,-0.010509991365413682,0.010502537773341411
-0.01016994592481205,-8.561210716090395e-05,0.0001978028672648957,-0.010255558031972953,0.01045336089923785
-0.00021893815084705892,-0.002910138064752099,0.0072707872618527625,-0.003129076215599158,0.01039986347745192
0.0101585633977085,-0.0003264519367381369,-0.0003272300009863338,0.009832111460970364,-0.010159341461956697
-0.009819456405499905,-0.00023846979431529913,-0.00010742622130927026,-0.010057926199815204,0.009950499978505934
-0.0003745944047001924,-0.00956056780474518,-0.00011890164618483245,-0.009935162209445372,0.00981626056326054
0.00032983570358190856,0.009895469264818157,0.0004091850950046494,0.010225304968400066,-0.009816119873395417
-0.009507119313579632,-0.0006105228154488773,-0.0003196420036803982,-0.01011764212902851,0.009798000125348112
0.009498742172640268,-0.00014033118181891457,-0.00028894775062587863,0.009358410990821353,-0.009647358741447232
0.009778918959569283,7.977865055019961e-05,0.00021986098592557957,0.009858697610119482,-0.009638836624193903
-0.0002433632817380408,0.009487126953973357,-0.0003714765492427441,0.009243763672235316,-0.00961524022147806
0.009616635261617462,-0.00043121347331867566,-0.0003274811272785949,0.009185421788298787,-0.009512902915577381
-0.009649889478942061,6.263015330768007e-05,-7.627357810680024e-05,-0.009587259325634381,0.009510985747527581
-0.009706593806812993,0.00011769725337618109,-0.000148377859328086,-0.009588896553436812,0.009440518694108726
-0.009356639893472359,0.00020700801831893823,0.0002675843835880931,-0.00914963187515342,0.009417216258741513
-0.009318278407625858,-0.00023997801606906455,-0.00015198261348176034,-0.009558256423694922,0.009406273810213162
0.009284475338931522,2.3694342976693372e-05,-8.895148443666123e-05,0.009308169681908215,-0.009397121166344877
0.00906657331006428,0.0004326096676038338,0.00025328405942515175,0.009499182977668113,-0.009245898918242961
0.0003323631525326137,0.006428742038737112,-0.0023569975839963786,0.006761105191269726,-0.009118102775266104
-0.009272607673044251,-0.0001946790332935655,-0.00045432862370281546,-0.009467286706337816,0.009012958082635001
0.009291800868532658,-0.00044124785607591033,-0.00011130858089353213,0.008850553012456748,-0.00896186159335028
-0.009026715469052649,0.00011026400364019806,-5.931901769457015e-05,-0.00891645146541245,0.00885713244771788
-0.008769811987830008,-8.907694026610846e-05,-0.0002397455887718225,-0.008858888928096116,0.008619143339324294
0.008269717129735746,-0.0001321553371301798,-0.00024536866765223486,0.008137561792605566,-0.0083829304602578
-0.00817760423774104,-0.00017663977436033207,2.2443414541994944e-05,-0.008354244012101372,0.008376687426643367
-0.008189390621325274,-0.00012007348511694493,5.0148475317757235e-05,-0.008309464106442219,0.008359612581759976
-0.008345145908942933,0.00013386511928079048,0.00012626882649907634,-0.008211280789662143,0.008337549616161219
-0.00823543544360289,0.00010261308167941463,0.00016921070298053786,-0.008132822361923475,0.008302033064904013
-0.008246031804298462,7.07216357422602e-05,7.275319935401425e-05,-0.008175310168556202,0.008248063367910216
0.008473346165188175,-0.0003724308136435761,-0.00012161751307171453,0.0081009153515446,-0.008222532864616314
-5.820100689379881e-05,-0.009246621001430921,-0.0011270706081756288,-0.00930482200832472,0.008177751400149091
0.0063477665227578625,0.00025537412447823593,-0.0015508450843745858,0.0066031406472360984,-0.008153985731610684
-0.008176369759977542,-9.489691829386859e-05,-0.0001327051956030445,-0.00827126667827141,0.008138561482668366
0.0002523634824023249,0.002073718280612813,-0.005804364489332137,0.002326081763015138,-0.008130446252347275
-0.00837780985426334,8.581849393815566e-05,-0.00018357692630821543,-0.008291991360325185,0.00810841443401697
0.0006675122068827873,-0.005080302255314473,-0.012475827515656512,-0.0044127900484316855,-0.008063037467224827
0.008236899580638942,-0.0001318768272347004,0.00020412714924156194,0.008105022753404242,-0.00790089560416268
0.008111440986482813,-0.00017435636392582055,4.028738333988757e-05,0.007937084622556993,-0.007896797239217105
0.007974429939529067,-0.0001848443077067108,-0.000106463878427554,0.0077895856318223565,-0.00789604951024991
0.00781965944749445,0.00018690569883159092,0.00016090905991039683,0.008006565146326042,-0.007845656086415645
0.007212083401167094,0.00021102075506501672,-0.00039046703141526473,0.00742310415623211,-0.007813571187647375
-0.007751942699220943,3.2032545068561014e-05,1.402809828116025e-05,-0.007719910154152382,0.007733938252433542
-0.00753928274099111,-3.884173933804691e-05,0.00011073992739402128,-0.007578124480329157,0.007688864407723178
0.007783114006105346,-4.711610193650073e-05,0.00011963195594927312,0.007735997904168845,-0.007616365948219572
-6.936496378448509e-05,-0.004227473168634588,0.0033188283717818234,-0.004296838132419073,0.007615666504200896
-0.00025270010191934256,-0.003706813299643952,0.003614654030858311,-0.003959513401563294,0.007574167432421605
-0.007804052682320501,9.706112778784526e-05,-0.00015574478201813013,-0.007706991554532656,0.007551246772514526
0.007526773302944994,0.00019201892597514592,0.0002135855685300725,0.00771879222892014,-0.007505206660390068
0.007545176551077698,-0.0003504826473951783,-0.00030772999134376366,0.00719469390368252,-0.007502423895026283
-0.007570888852101144,0.0001884214994505029,3.699223533409901e-05,-0.0073824673526506415,0.0074194595879847405
