asset,source,median_bars_per_day,weekend_fraction,top_resume_utc_hours,derived_weekday_closed_utc_hours,derived_weekend_closed
W,LCOUSDPRO_H1.csv,21.0,0.0,"[{""resume_utc_hour"": 3, ""count"": 775}, {""resume_utc_hour"": 1, ""count"": 104}, {""resume_utc_hour"": 11, ""count"": 1}, {""resume_utc_hour"": 19, ""count"": 1}]",[],"[Sat 00:00, 7d 0h)"
E,EURUSD_M5.csv,288.0,0.0,"[{""resume_utc_hour"": 0, ""count"": 418}, {""resume_utc_hour"": 6, ""count"": 5}, {""resume_utc_hour"": 1, ""count"": 3}, {""resume_utc_hour"": 3, ""count"": 2}, {""resume_utc_hour"": 11, ""count"": 2}, {""resume_utc_hour"": 19, ""count"": 2}]",[],"[Sat 00:00, 7d 0h)"
C,USDCAD_M5_fetched.csv,239.0,0.03651,"[{""resume_utc_hour"": 20, ""count"": 573}, {""resume_utc_hour"": 19, ""count"": 244}, {""resume_utc_hour"": 21, ""count"": 7}, {""resume_utc_hour"": 23, ""count"": 4}, {""resume_utc_hour"": 7, ""count"": 3}, {""resume_utc_hour"": 10, ""count"": 3}]",[],"[Sat 00:00, 6d 19h)"
EC,EURCAD_M5_fetched.csv,239.0,0.0366,"[{""resume_utc_hour"": 20, ""count"": 556}, {""resume_utc_hour"": 19, ""count"": 243}, {""resume_utc_hour"": 0, ""count"": 5}, {""resume_utc_hour"": 7, ""count"": 4}, {""resume_utc_hour"": 23, ""count"": 4}, {""resume_utc_hour"": 21, ""count"": 4}]",[],"[Sat 00:00, 6d 19h)"
I,DE30_M5.csv,276.0,0.0,"[{""resume_utc_hour"": 1, ""count"": 925}, {""resume_utc_hour"": 0, ""count"": 199}, {""resume_utc_hour"": 2, ""count"": 39}, {""resume_utc_hour"": 23, ""count"": 38}, {""resume_utc_hour"": 3, ""count"": 17}, {""resume_utc_hour"": 6, ""count"": 16}]",[0],"[Sat 00:00, 7d 0h)"
