policy_id,w_A,w_B,f_pct,cagr,max_dd,expected_cagr,expected_max_dd,match
H0,50,50,1.0,71.2131,5.1886,71.21,5.19,True
H0,50,50,2.0,190.3112,10.1695,190.31,10.17,True
H0,70,30,1.0,74.5699,6.9684,74.57,6.97,True
H0,100,0,1.0,79.1548,10.3039,79.15,10.3,True
