asset,bucket,basis_bps,basis_state,funding_bps,funding_state,funding_accel,funding_delta_24h_bps,rv1h,rv4h,rv24h,vol_state,premium_bps,mark_index_state,oi_state,relative_state,systemic_state,composite_l2,composite_l3,epoch,weekday_weekend,perp_close,spot_close
BTC,2026-01-25T06:00:00+00:00,-3.193076,B0_NORMAL,0.015685,F_NEG_ELEVATED,UNKNOWN,,,0.001233,0.00105,V_LOW,-4.874519,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,ASIA,WEEKEND,88803.0,88831.36
BTC,2026-01-25T07:00:00+00:00,-5.07573,B0_NORMAL,-0.065226,F_NEG_ELEVATED,UNKNOWN,,,0.001211,0.001096,V_LOW,-5.52181,MI_STRESS_NEGATIVE,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,ASIA,WEEKEND,88615.0,88659.99
BTC,2026-01-25T08:00:00+00:00,-3.172643,B0_NORMAL,0.000734,F_NEG_ELEVATED,UNKNOWN,,,0.001595,0.001303,V_LOW,-4.994131,MI_STRESS_NEGATIVE,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,EUROPE,WEEKEND,88272.0,88300.01
BTC,2026-01-25T09:00:00+00:00,-3.7768,B0_NORMAL,0.02592,F_NEG_ELEVATED,UNKNOWN,,,0.002128,0.001351,V_LOW,-4.792642,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,EUROPE,WEEKEND,88365.0,88398.38
BTC,2026-01-25T10:00:00+00:00,-4.908744,B0_NORMAL,0.085815,F_NEG_ELEVATED,UNKNOWN,,,0.003124,0.001522,V_LOW,-4.313478,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,EUROPE,WEEKEND,88616.0,88659.51
BTC,2026-01-25T11:00:00+00:00,-5.101212,B0_NORMAL,0.098049,F_NEG_ELEVATED,UNKNOWN,,,0.003014,0.001526,V_LOW,-4.215607,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,EUROPE,WEEKEND,88525.0,88570.17
BTC,2026-01-25T12:00:00+00:00,-2.364231,B0_NORMAL,0.054194,F_NEG_ELEVATED,UNKNOWN,,,0.001779,0.001642,V_LOW,-4.566449,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,EUROPE,WEEKEND,88771.0,88791.99
BTC,2026-01-25T13:00:00+00:00,-3.149358,B0_NORMAL,0.125,F_NORMAL,UNKNOWN,,,0.00177,0.001647,V_LOW,-3.844579,MI_NORMAL,DEFERRED,ETH_LED,NORMAL_CROSS_STATE,B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL+V_LOW,EUROPE,WEEKEND,88893.0,88921.0
BTC,2026-01-25T14:00:00+00:00,-4.295811,B0_NORMAL,0.125,F_NORMAL,UNKNOWN,,,0.002231,0.001686,V_LOW,-3.329044,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL+V_LOW,EUROPE,WEEKEND,88672.0,88710.1
BTC,2026-01-25T15:00:00+00:00,-3.335906,B0_NORMAL,0.125,F_NORMAL,UNKNOWN,,,0.002731,0.00174,V_LOW,-3.892919,MI_NORMAL,DEFERRED,ETH_LED,NORMAL_CROSS_STATE,B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL+V_LOW,EUROPE,WEEKEND,88417.0,88446.5
BTC,2026-01-25T16:00:00+00:00,-2.868348,B0_NORMAL,0.081445,F_NEG_ELEVATED,UNKNOWN,,,0.002434,0.001899,V_LOW,-4.348442,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,US,WEEKEND,88052.0,88077.26
BTC,2026-01-25T17:00:00+00:00,-4.685246,B0_NORMAL,0.066521,F_NEG_ELEVATED,UNKNOWN,,,0.000924,0.001881,V_LOW,-4.467831,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,US,WEEKEND,87851.0,87892.17
BTC,2026-01-25T18:00:00+00:00,-3.433442,B0_NORMAL,0.048001,F_NEG_ELEVATED,UNKNOWN,,,0.001431,0.002103,V_LOW,-4.615996,MI_NORMAL,DEFERRED,SYNCHRONIZED,NORMAL_CROSS_STATE,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_LOW,US,WEEKEND,87390.0,87420.01
BTC,2026-01-25T19:00:00+00:00,-5.338139,B0_NORMAL,0.088253,F_NEG_ELEVATED,UNKNOWN,,,0.003635,0.002887,V_NORMAL,-4.293979,MI_NORMAL,DEFERRED,ETH_LED,ETH_SPECIFIC,B0_NORMAL+F_NEG_ELEVATED,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,US,WEEKEND,86449.0,86495.16
BTC,2026-01-25T20:00:00+00:00,-2.840414,B0_NORMAL,0.125,F_NORMAL,UNKNOWN,,,0.005281,0.002936,V_NORMAL,-3.994714,MI_NORMAL,DEFERRED,ETH_LED,ETH_SPECIFIC,B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL+V_NORMAL,US,WEEKEND,86630.0,86654.61
BTC,2026-01-25T21:00:00+00:00,-2.946078,B0_NORMAL,0.125,F_NORMAL,UNKNOWN,,,0.005445,0.002922,V_NORMAL,-3.947301,MI_NORMAL,DEFERRED,ETH_LED,ETH_SPECIFIC,B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL+V_NORMAL,US,WEEKEND,86543.0,86568.5
BTC,2026-01-25T22:00:00+00:00,-2.588134,B0_NORMAL,0.125,F_NORMAL,UNKNOWN,,,0.005511,0.002902,V_NORMAL,-3.487383,MI_NORMAL,DEFERRED,ETH_LED,ETH_SPECIFIC,B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL+V_NORMAL,US,WEEKEND,86499.0,86521.39
BTC,2026-01-25T23:00:00+00:00,-3.849808,B0_NORMAL,0.125,F_NORMAL,UNKNOWN,,,0.001485,0.002962,V_NORMAL,-3.258201,MI_NORMAL,DEFERRED,ETH_LED,ETH_SPECIFIC,B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL+V_NORMAL,LATE_US,WEEKEND,86637.0,86670.36
BTC,2026-01-26T00:00:00+00:00,-3.899218,B0_NORMAL,0.125,F_NORMAL,UNKNOWN,,,0.001574,0.003007,V_NORMAL,-2.32593,MI_NORMAL,DEFERRED,ETH_LED,NORMAL_CROSS_STATE,B0_NORMAL+F_NORMAL,B0_NORMAL+F_NORMAL+V_NORMAL,ASIA,WEEKDAY,86821.0,86854.86
