asset,measure,anchor,window,n,entropy_bits
BTC,hourly,h00,at,141,1.031378
BTC,hourly,h01,at,141,1.068901
BTC,hourly,h02,at,141,0.966205
BTC,hourly,h03,at,141,1.006317
BTC,hourly,h04,at,141,0.890482
BTC,hourly,h05,at,141,1.038693
BTC,hourly,h06,at,142,1.032941
BTC,hourly,h07,at,142,0.925855
BTC,hourly,h08,at,142,1.078784
BTC,hourly,h09,at,142,0.901667
BTC,hourly,h10,at,142,1.044968
BTC,hourly,h11,at,142,1.116286
BTC,hourly,h12,at,142,0.930123
BTC,hourly,h13,at,142,0.849857
BTC,hourly,h14,at,142,1.086922
BTC,hourly,h15,at,142,1.096993
BTC,hourly,h16,at,142,1.16747
BTC,hourly,h17,at,142,1.159627
BTC,hourly,h18,at,142,1.010693
BTC,hourly,h19,at,142,1.105613
BTC,hourly,h20,at,142,1.184564
BTC,hourly,h21,at,142,1.069768
BTC,hourly,h22,at,142,1.19544
BTC,hourly,h23,at,141,1.131189
ETH,hourly,h00,at,141,1.006317
ETH,hourly,h01,at,141,1.190633
ETH,hourly,h02,at,141,1.075789
ETH,hourly,h03,at,141,1.055366
ETH,hourly,h04,at,141,1.080605
ETH,hourly,h05,at,141,0.911035
ETH,hourly,h06,at,142,0.983589
ETH,hourly,h07,at,142,0.912789
ETH,hourly,h08,at,142,0.858751
ETH,hourly,h09,at,142,0.906859
ETH,hourly,h10,at,142,1.034265
ETH,hourly,h11,at,142,1.100781
ETH,hourly,h12,at,142,1.018375
ETH,hourly,h13,at,142,0.995569
ETH,hourly,h14,at,142,1.05082
ETH,hourly,h15,at,142,1.138925
ETH,hourly,h16,at,142,1.18646
ETH,hourly,h17,at,142,1.134844
ETH,hourly,h18,at,142,0.96728
ETH,hourly,h19,at,142,1.010693
ETH,hourly,h20,at,142,1.155687
ETH,hourly,h21,at,142,1.052407
ETH,hourly,h22,at,142,1.14971
ETH,hourly,h23,at,141,1.145222
BTC,hourly_funding,hf00,at,1198,1.936361
BTC,hourly_funding,hf01,at,1171,1.741654
BTC,hourly_funding,hf02,at,1171,1.747943
BTC,hourly_funding,hf03,at,1171,1.781896
BTC,hourly_funding,hf04,at,1171,1.79882
BTC,hourly_funding,hf05,at,1171,1.807993
BTC,hourly_funding,hf06,at,1171,1.832277
BTC,hourly_funding,hf07,at,1171,1.818473
BTC,hourly_funding,hf08,at,1198,1.895393
BTC,hourly_funding,hf09,at,1171,1.701153
BTC,hourly_funding,hf10,at,1171,1.720592
BTC,hourly_funding,hf11,at,1171,1.754879
BTC,hourly_funding,hf12,at,1171,1.767392
BTC,hourly_funding,hf13,at,1170,1.786853
BTC,hourly_funding,hf14,at,1171,1.80627
BTC,hourly_funding,hf15,at,1171,1.809922
BTC,hourly_funding,hf16,at,1198,1.839588
BTC,hourly_funding,hf17,at,1170,1.702721
BTC,hourly_funding,hf18,at,1170,1.759853
BTC,hourly_funding,hf19,at,1170,1.778912
BTC,hourly_funding,hf20,at,1168,1.829329
BTC,hourly_funding,hf21,at,1170,1.833048
BTC,hourly_funding,hf22,at,1170,1.891289
BTC,hourly_funding,hf23,at,1170,1.883542
ETH,hourly_funding,hf00,at,1198,1.919219
ETH,hourly_funding,hf01,at,1171,1.738353
ETH,hourly_funding,hf02,at,1171,1.754874
ETH,hourly_funding,hf03,at,1171,1.803835
ETH,hourly_funding,hf04,at,1171,1.835456
ETH,hourly_funding,hf05,at,1171,1.828087
ETH,hourly_funding,hf06,at,1171,1.839531
ETH,hourly_funding,hf07,at,1171,1.812763
ETH,hourly_funding,hf08,at,1198,1.889966
ETH,hourly_funding,hf09,at,1171,1.720612
ETH,hourly_funding,hf10,at,1171,1.716778
ETH,hourly_funding,hf11,at,1171,1.743369
ETH,hourly_funding,hf12,at,1171,1.764485
ETH,hourly_funding,hf13,at,1170,1.791966
ETH,hourly_funding,hf14,at,1171,1.821791
ETH,hourly_funding,hf15,at,1171,1.819323
ETH,hourly_funding,hf16,at,1198,1.889692
ETH,hourly_funding,hf17,at,1170,1.718975
ETH,hourly_funding,hf18,at,1170,1.733083
ETH,hourly_funding,hf19,at,1170,1.79308
ETH,hourly_funding,hf20,at,1168,1.831777
ETH,hourly_funding,hf21,at,1170,1.85773
ETH,hourly_funding,hf22,at,1170,1.869865
ETH,hourly_funding,hf23,at,1170,1.874628
