asset,axis,horizon_hours,current_state,next_state,count,prob,next_state_entropy,note
BTC,vol_state,1,V_EXTREME,V_NORMAL,1,0.0035335689045936395,0.2868498993252455,
BTC,vol_state,1,V_HIGH,V_EXTREME,11,0.019064124783362217,0.45763073205249344,
BTC,vol_state,1,V_HIGH,V_HIGH,532,0.9220103986135182,0.45763073205249344,
BTC,vol_state,1,V_HIGH,V_LOW,0,0.0,0.45763073205249344,
BTC,vol_state,1,V_HIGH,V_NORMAL,34,0.058925476603119586,0.45763073205249344,
BTC,vol_state,1,V_LOW,V_EXTREME,0,0.0,0.29134467113660734,
BTC,vol_state,1,V_LOW,V_HIGH,0,0.0,0.29134467113660734,
BTC,vol_state,1,V_LOW,V_LOW,649,0.9488304093567251,0.29134467113660734,
BTC,vol_state,1,V_LOW,V_NORMAL,35,0.05116959064327485,0.29134467113660734,
BTC,vol_state,1,V_NORMAL,V_EXTREME,2,0.001078167115902965,0.2724417622640445,
BTC,vol_state,1,V_NORMAL,V_HIGH,33,0.01778975741239892,0.2724417622640445,
BTC,vol_state,1,V_NORMAL,V_LOW,34,0.018328840970350403,0.2724417622640445,
BTC,vol_state,1,V_NORMAL,V_NORMAL,1786,0.9628032345013477,0.2724417622640445,
BTC,vol_state,4,V_EXTREME,V_EXTREME,237,0.8374558303886925,0.7311633707869748,
BTC,vol_state,4,V_EXTREME,V_HIGH,40,0.1413427561837456,0.7311633707869748,
BTC,vol_state,4,V_EXTREME,V_LOW,0,0.0,0.7311633707869748,
BTC,vol_state,4,V_EXTREME,V_NORMAL,6,0.02120141342756184,0.7311633707869748,
BTC,vol_state,4,V_HIGH,V_EXTREME,38,0.0658578856152513,0.9291911745522881,
BTC,vol_state,4,V_HIGH,V_HIGH,456,0.7902946273830156,0.9291911745522881,
BTC,vol_state,4,V_HIGH,V_LOW,0,0.0,0.9291911745522881,
BTC,vol_state,4,V_HIGH,V_NORMAL,83,0.1438474870017331,0.9291911745522881,
BTC,vol_state,4,V_LOW,V_EXTREME,3,0.0043859649122807015,0.6758210001460452,
BTC,vol_state,4,V_LOW,V_HIGH,0,0.0,0.6758210001460452,
BTC,vol_state,4,V_LOW,V_LOW,571,0.8347953216374269,0.6758210001460452,
BTC,vol_state,4,V_LOW,V_NORMAL,110,0.1608187134502924,0.6758210001460452,
BTC,vol_state,4,V_NORMAL,V_EXTREME,5,0.0026997840172786176,0.6046412767620063,
BTC,vol_state,4,V_NORMAL,V_HIGH,81,0.04373650107991361,0.6046412767620063,
BTC,vol_state,4,V_NORMAL,V_LOW,109,0.058855291576673865,0.6046412767620063,
BTC,vol_state,4,V_NORMAL,V_NORMAL,1657,0.8947084233261339,0.6046412767620063,
BTC,vol_state,8,V_EXTREME,V_EXTREME,198,0.6996466431095406,1.1119612625886006,
BTC,vol_state,8,V_EXTREME,V_HIGH,66,0.2332155477031802,1.1119612625886006,
BTC,vol_state,8,V_EXTREME,V_LOW,0,0.0,1.1119612625886006,
BTC,vol_state,8,V_EXTREME,V_NORMAL,19,0.06713780918727916,1.1119612625886006,
BTC,vol_state,8,V_HIGH,V_EXTREME,65,0.11265164644714037,1.2637114961540616,
BTC,vol_state,8,V_HIGH,V_HIGH,370,0.6412478336221837,1.2637114961540616,
BTC,vol_state,8,V_HIGH,V_LOW,0,0.0,1.2637114961540616,
BTC,vol_state,8,V_HIGH,V_NORMAL,142,0.24610051993067592,1.2637114961540616,
BTC,vol_state,8,V_LOW,V_EXTREME,7,0.01023391812865497,0.9218460564809106,
BTC,vol_state,8,V_LOW,V_HIGH,0,0.0,0.9218460564809106,
BTC,vol_state,8,V_LOW,V_LOW,491,0.7178362573099415,0.9218460564809106,
BTC,vol_state,8,V_LOW,V_NORMAL,186,0.2719298245614035,0.9218460564809106,
BTC,vol_state,8,V_NORMAL,V_EXTREME,13,0.007034632034632035,0.9046775820955235,
BTC,vol_state,8,V_NORMAL,V_HIGH,141,0.0762987012987013,0.9046775820955235,
BTC,vol_state,8,V_NORMAL,V_LOW,185,0.1001082251082251,0.9046775820955235,
BTC,vol_state,8,V_NORMAL,V_NORMAL,1509,0.8165584415584416,0.9046775820955235,
BTC,vol_state,24,V_EXTREME,V_EXTREME,79,0.2791519434628975,1.5460811313893525,
BTC,vol_state,24,V_EXTREME,V_HIGH,78,0.2756183745583039,1.5460811313893525,
BTC,vol_state,24,V_EXTREME,V_LOW,0,0.0,1.5460811313893525,
BTC,vol_state,24,V_EXTREME,V_NORMAL,126,0.4452296819787986,1.5460811313893525,
BTC,vol_state,24,V_HIGH,V_EXTREME,111,0.1923743500866551,1.749667079417916,
BTC,vol_state,24,V_HIGH,V_HIGH,223,0.38648180242634317,1.749667079417916,
BTC,vol_state,24,V_HIGH,V_LOW,32,0.05545927209705372,1.749667079417916,
BTC,vol_state,24,V_HIGH,V_NORMAL,211,0.36568457538994803,1.749667079417916,
BTC,vol_state,24,V_LOW,V_EXTREME,23,0.033625730994152045,1.2896959298510196,
BTC,vol_state,24,V_LOW,V_HIGH,23,0.033625730994152045,1.2896959298510196,
BTC,vol_state,24,V_LOW,V_LOW,220,0.3216374269005848,1.2896959298510196,
BTC,vol_state,24,V_LOW,V_NORMAL,418,0.6111111111111112,1.2896959298510196,
BTC,vol_state,24,V_NORMAL,V_EXTREME,70,0.03820960698689956,1.5068906774321453,
BTC,vol_state,24,V_NORMAL,V_HIGH,253,0.1381004366812227,1.5068906774321453,
BTC,vol_state,24,V_NORMAL,V_LOW,419,0.2287117903930131,1.5068906774321453,
BTC,vol_state,24,V_NORMAL,V_NORMAL,1090,0.5949781659388647,1.5068906774321453,
BTC,mark_index_state,1,MI_NORMAL,MI_NORMAL,2005,0.8978952082400359,0.4756323372014086,
BTC,mark_index_state,1,MI_NORMAL,MI_STRESS_NEGATIVE,228,0.10210479175996418,0.4756323372014086,
BTC,mark_index_state,1,MI_STRESS_NEGATIVE,MI_NORMAL,227,0.194515852613539,0.7108232618289099,
BTC,mark_index_state,1,MI_STRESS_NEGATIVE,MI_STRESS_NEGATIVE,940,0.805484147386461,0.7108232618289099,
BTC,mark_index_state,4,MI_NORMAL,MI_NORMAL,1852,0.8297491039426523,0.658278401003149,
