state_id,asset,state,level,event_count,entropy_reduction_bits,effect_size_smd,null_ci_excludes_zero,subperiod_stable,temporal_depth_ok,redundant_with,mechanism,status,blocking
BTC_F_ACCEL_POS,BTC,F_ACCEL_POS,L1,1047,0.012314,0.063081,True,True,True,,funding acceleration (crowding build/unwind),FALSIFIED,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
BTC_F_ACCEL_NEG,BTC,F_ACCEL_NEG,L1,1021,0.009135,-0.083568,True,True,True,,funding acceleration (crowding build/unwind),FALSIFIED,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
BTC_SYNCHRONIZED,BTC,SYNCHRONIZED,L1,1757,0.007685,0.055092,True,True,True,,cross-asset relative dislocation (BTC/ETH),FALSIFIED,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
BTC_BTC_LED,BTC,BTC_LED,L1,1017,0.038174,-0.144479,True,True,True,,cross-asset relative dislocation (BTC/ETH),FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_ETH_LED,BTC,ETH_LED,L1,627,0.0239,0.131776,True,True,True,,cross-asset relative dislocation (BTC/ETH),FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_NORMAL_CROSS_STATE,BTC,NORMAL_CROSS_STATE,L1,2524,0.012973,0.10916,True,True,True,,cross-asset systemic stress classification,FALSIFIED,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
BTC_BTC_SPECIFIC,BTC,BTC_SPECIFIC,L1,388,0.255107,-0.520885,False,True,True,,cross-asset systemic stress classification,FALSIFIED,NULL_NOT_BEATEN
BTC_ETH_SPECIFIC,BTC,ETH_SPECIFIC,L1,325,0.008911,0.007826,False,False,True,,cross-asset systemic stress classification,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN; ONE_PERIOD_DOMINATED
BTC_SYSTEMIC_STRESS,BTC,SYSTEMIC_STRESS,L1,164,0.243344,-0.506701,False,True,True,,cross-asset systemic stress classification,FALSIFIED,NULL_NOT_BEATEN
BTC_B0_NORMAL+F_NEG_ELEVATED,BTC,B0_NORMAL+F_NEG_ELEVATED,L2,1386,0.054091,0.184378,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_B0_NORMAL+F_NORMAL,BTC,B0_NORMAL+F_NORMAL,L2,1056,0.041671,0.218285,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,BTC,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,L2,361,0.301021,-0.534513,False,True,True,,composite state,FALSIFIED,NULL_NOT_BEATEN
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,BTC,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,L2,189,0.941964,-1.059772,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME,BTC,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,L2,124,0.448884,-0.682883,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B0_NORMAL+F_NEG_EXTREME,BTC,B0_NORMAL+F_NEG_EXTREME,L2,109,0.263636,0.385075,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,BTC,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,L2,103,0.16588,-0.164762,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_B3_ELEVATED_NEGATIVE+F_NORMAL,BTC,B3_ELEVATED_NEGATIVE+F_NORMAL,L2,46,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B4_EXTREME_NEGATIVE+F_NORMAL,BTC,B4_EXTREME_NEGATIVE+F_NORMAL,L2,27,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,BTC,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,L3,752,0.058156,0.161497,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_B0_NORMAL+F_NORMAL+V_NORMAL,BTC,B0_NORMAL+F_NORMAL+V_NORMAL,L3,622,0.034076,0.178552,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_B0_NORMAL+F_NEG_ELEVATED+V_LOW,BTC,B0_NORMAL+F_NEG_ELEVATED+V_LOW,L3,325,0.092187,0.164386,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_B0_NORMAL+F_NEG_ELEVATED+V_HIGH,BTC,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,L3,213,0.109176,0.292604,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B0_NORMAL+F_NORMAL+V_LOW,BTC,B0_NORMAL+F_NORMAL+V_LOW,L3,203,0.08426,0.189893,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,BTC,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,L3,196,0.390866,-0.558749,False,True,True,,composite state,FALSIFIED,NULL_NOT_BEATEN
BTC_B0_NORMAL+F_NORMAL+V_HIGH,BTC,B0_NORMAL+F_NORMAL+V_HIGH,L3,159,0.155119,0.388973,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,BTC,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,L3,99,1.018608,-1.099516,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,BTC,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,L3,96,0.095461,0.249089,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,BTC,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,L3,73,0.237567,-0.473471,False,False,True,,composite state,FALSIFIED,NULL_NOT_BEATEN; ONE_PERIOD_DOMINATED
BTC_B0_NORMAL+F_NORMAL+V_EXTREME,BTC,B0_NORMAL+F_NORMAL+V_EXTREME,L3,72,0.138411,0.255782,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,BTC,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,L3,63,0.374187,-0.53996,False,True,True,,composite state,FALSIFIED,NULL_NOT_BEATEN
BTC_B0_NORMAL+F_NEG_EXTREME+V_NORMAL,BTC,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,L3,62,0.355396,0.397815,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,BTC,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,L3,54,0.262685,-0.256848,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_EXTREME,BTC,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_EXTREME,L3,38,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_HIGH,BTC,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_HIGH,L3,37,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL,BTC,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL,L3,35,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_LOW,BTC,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_LOW,L3,30,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,BTC,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,L3,29,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_HIGH,BTC,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_HIGH,L3,28,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_HIGH,BTC,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_HIGH,L3,24,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,BTC,B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,L3,23,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,BTC,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,L3,23,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,BTC,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,L3,22,,,,,,,,SPARSE_STATE,event count below minimum support
BTC_B0_NORMAL+F_NEG_EXTREME+V_HIGH,BTC,B0_NORMAL+F_NEG_EXTREME+V_HIGH,L3,21,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B0_NORMAL,ETH,B0_NORMAL,L1,2551,0.045702,0.133666,True,True,True,,basis within normal band,FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_B3_ELEVATED_NEGATIVE,ETH,B3_ELEVATED_NEGATIVE,L1,508,0.210373,-0.354589,True,True,True,,basis within normal band,PROMOTE_TO_ALPHA,PROMOTED
ETH_B4_EXTREME_NEGATIVE,ETH,B4_EXTREME_NEGATIVE,L1,340,0.69285,-0.731027,True,True,True,,basis dislocation (arbitrage-band constraint),PROMOTE_TO_ALPHA,PROMOTED
ETH_F_NEG_ELEVATED,ETH,F_NEG_ELEVATED,L1,1621,0.00349,-0.061763,True,True,True,,funding moderate,FALSIFIED,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
ETH_F_NORMAL,ETH,F_NORMAL,L1,1492,0.010971,0.07579,True,True,True,,funding moderate,FALSIFIED,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
ETH_F_NEG_EXTREME,ETH,F_NEG_EXTREME,L1,288,0.07731,-0.212215,False,True,True,,funding crowding (positioning pressure),FALSIFIED,NULL_NOT_BEATEN
ETH_V_NORMAL,ETH,V_NORMAL,L1,1792,0.002583,-0.030956,False,True,True,,realized volatility regime,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
ETH_V_LOW,ETH,V_LOW,L1,757,0.022707,-0.016709,False,False,True,,realized volatility regime,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; ONE_PERIOD_DOMINATED
ETH_V_HIGH,ETH,V_HIGH,L1,561,0.035722,0.083199,True,True,True,,realized volatility regime,FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_V_EXTREME,ETH,V_EXTREME,L1,290,0.068897,-0.082105,False,True,True,,realized volatility regime,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE
ETH_MI_NORMAL,ETH,MI_NORMAL,L1,2658,0.003337,0.034186,False,True,False,,mark-index displacement proxy (premium) — PROVISIONAL,RESEARCH_ONLY,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN; TEMPORAL_DEPTH_INSUFFICIENT
ETH_MI_STRESS_NEGATIVE,ETH,MI_STRESS_NEGATIVE,L1,743,0.036609,-0.150609,True,True,False,,mark-index displacement proxy (premium) — PROVISIONAL,RESEARCH_ONLY,TRIVIAL_EFFECT_SIZE; TEMPORAL_DEPTH_INSUFFICIENT
ETH_F_STABLE,ETH,F_STABLE,L1,1615,0.002452,0.035687,False,True,True,,funding acceleration (crowding build/unwind),FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
ETH_F_ACCEL_POS,ETH,F_ACCEL_POS,L1,886,0.006559,0.04217,False,True,True,,funding acceleration (crowding build/unwind),FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
ETH_F_ACCEL_NEG,ETH,F_ACCEL_NEG,L1,876,0.021766,-0.131843,False,True,True,,funding acceleration (crowding build/unwind),FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE
ETH_SYNCHRONIZED,ETH,SYNCHRONIZED,L1,1757,0.002616,0.016887,False,True,True,,cross-asset relative dislocation (BTC/ETH),FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
ETH_BTC_LED,ETH,BTC_LED,L1,1017,0.029462,0.087721,True,True,True,,cross-asset relative dislocation (BTC/ETH),FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_ETH_LED,ETH,ETH_LED,L1,627,0.101971,-0.262662,True,True,True,,cross-asset relative dislocation (BTC/ETH),PROMOTE_TO_ALPHA,PROMOTED
ETH_NORMAL_CROSS_STATE,ETH,NORMAL_CROSS_STATE,L1,2524,0.014841,0.076263,True,True,True,,cross-asset systemic stress classification,FALSIFIED,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
ETH_BTC_SPECIFIC,ETH,BTC_SPECIFIC,L1,388,0.032018,-0.007933,False,False,True,,cross-asset systemic stress classification,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; ONE_PERIOD_DOMINATED
ETH_ETH_SPECIFIC,ETH,ETH_SPECIFIC,L1,325,0.319692,-0.468723,True,True,True,,cross-asset systemic stress classification,PROMOTE_TO_ALPHA,PROMOTED
ETH_SYSTEMIC_STRESS,ETH,SYSTEMIC_STRESS,L1,164,0.340104,-0.462144,True,True,True,,cross-asset systemic stress classification,PROMOTE_TO_ALPHA,PROMOTED
ETH_B0_NORMAL+F_NORMAL,ETH,B0_NORMAL+F_NORMAL,L2,1380,0.038569,0.124149,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_B0_NORMAL+F_NEG_ELEVATED,ETH,B0_NORMAL+F_NEG_ELEVATED,L2,1093,0.057153,0.144065,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,ETH,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,L2,359,0.21128,-0.311678,False,True,True,,composite state,FALSIFIED,NULL_NOT_BEATEN
ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,ETH,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,L2,169,0.948965,-0.846618,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME,ETH,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,L2,141,0.409396,-0.554649,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
ETH_B3_ELEVATED_NEGATIVE+F_NORMAL,ETH,B3_ELEVATED_NEGATIVE+F_NORMAL,L2,80,0.754616,-0.721516,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
ETH_B0_NORMAL+F_NEG_EXTREME,ETH,B0_NORMAL+F_NEG_EXTREME,L2,78,0.224719,0.343741,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
ETH_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,ETH,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,L2,69,0.063797,-0.167557,False,True,True,F_NEG_EXTREME,composite state,REDUNDANT,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; REDUNDANT
ETH_B4_EXTREME_NEGATIVE+F_NORMAL,ETH,B4_EXTREME_NEGATIVE+F_NORMAL,L2,30,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,ETH,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,L3,638,0.061398,0.144951,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_B0_NORMAL+F_NORMAL+V_NORMAL,ETH,B0_NORMAL+F_NORMAL+V_NORMAL,L3,630,0.061645,0.12894,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_B0_NORMAL+F_NORMAL+V_LOW,ETH,B0_NORMAL+F_NORMAL+V_LOW,L3,408,0.044827,0.04719,False,True,True,,composite state,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE
ETH_B0_NORMAL+F_NORMAL+V_HIGH,ETH,B0_NORMAL+F_NORMAL+V_HIGH,L3,252,0.136606,0.19432,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,ETH,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,L3,240,0.227369,-0.307467,False,True,True,,composite state,FALSIFIED,NULL_NOT_BEATEN
ETH_B0_NORMAL+F_NEG_ELEVATED+V_LOW,ETH,B0_NORMAL+F_NEG_ELEVATED+V_LOW,L3,226,0.093597,0.076492,True,False,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE; ONE_PERIOD_DOMINATED
ETH_B0_NORMAL+F_NEG_ELEVATED+V_HIGH,ETH,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,L3,153,0.092538,0.177903,True,True,True,,composite state,FALSIFIED,TRIVIAL_EFFECT_SIZE
ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,ETH,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,L3,95,0.992468,-0.830455,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
ETH_B0_NORMAL+F_NORMAL+V_EXTREME,ETH,B0_NORMAL+F_NORMAL+V_EXTREME,L3,90,0.073323,0.21411,True,False,True,,composite state,FALSIFIED,ONE_PERIOD_DOMINATED
ETH_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,ETH,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,L3,76,0.166992,0.264181,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
ETH_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,ETH,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,L3,57,0.309531,-0.341015,False,False,True,,composite state,FALSIFIED,NULL_NOT_BEATEN; ONE_PERIOD_DOMINATED
ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL,ETH,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL,L3,55,0.633189,-0.64792,True,True,True,,composite state,PROMOTE_TO_ALPHA,PROMOTED
ETH_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,ETH,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,L3,45,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_EXTREME,ETH,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_EXTREME,L3,44,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,ETH,B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,L3,43,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,ETH,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,L3,38,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B0_NORMAL+F_NEG_EXTREME+V_NORMAL,ETH,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,L3,38,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_HIGH,ETH,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_HIGH,L3,31,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,ETH,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,L3,30,,,,,,,,SPARSE_STATE,event count below minimum support
ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,ETH,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,L3,25,,,,,,,,SPARSE_STATE,event count below minimum support
