state_id,asset,state,level,event_count,entropy_reduction_bits,effect_size_smd,null_ci_excludes_zero,subperiod_stable,temporal_depth_ok,redundant_with,mechanism,status,blocking
BTC_B0_NORMAL,BTC,B0_NORMAL,L1,2551,0.046106,0.204638,True,True,True,,basis within normal band,PROMOTE_TO_ALPHA,PROMOTED
BTC_B3_ELEVATED_NEGATIVE,BTC,B3_ELEVATED_NEGATIVE,L1,510,0.247532,-0.49201,False,True,True,,basis within normal band,FALSIFIED,NULL_NOT_BEATEN
BTC_B4_EXTREME_NEGATIVE,BTC,B4_EXTREME_NEGATIVE,L1,340,0.749483,-0.941375,True,True,True,,basis dislocation (arbitrage-band constraint),PROMOTE_TO_ALPHA,PROMOTED
BTC_F_NEG_ELEVATED,BTC,F_NEG_ELEVATED,L1,1936,0.003893,-0.036969,False,True,True,,funding moderate,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
BTC_F_NORMAL,BTC,F_NORMAL,L1,1129,0.019228,0.125071,True,True,True,,funding moderate,FALSIFIED,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN
BTC_F_NEG_EXTREME,BTC,F_NEG_EXTREME,L1,336,0.046933,-0.191686,True,True,True,,funding crowding (positioning pressure),FALSIFIED,TRIVIAL_EFFECT_SIZE
BTC_V_NORMAL,BTC,V_NORMAL,L1,1856,0.001615,-0.000254,False,False,True,,realized volatility regime,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN; ONE_PERIOD_DOMINATED
BTC_V_LOW,BTC,V_LOW,L1,684,0.016378,0.015262,False,False,True,,realized volatility regime,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN; ONE_PERIOD_DOMINATED
BTC_V_HIGH,BTC,V_HIGH,L1,577,0.021112,0.012382,False,True,True,,realized volatility regime,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE
BTC_V_EXTREME,BTC,V_EXTREME,L1,283,0.076176,-0.052306,False,True,True,,realized volatility regime,FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE
BTC_MI_NORMAL,BTC,MI_NORMAL,L1,2233,0.005781,0.072192,True,True,False,,mark-index displacement proxy (premium) — PROVISIONAL,RESEARCH_ONLY,TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN; TEMPORAL_DEPTH_INSUFFICIENT
BTC_MI_STRESS_NEGATIVE,BTC,MI_STRESS_NEGATIVE,L1,1168,0.021104,-0.154005,True,True,False,,mark-index displacement proxy (premium) — PROVISIONAL,RESEARCH_ONLY,TRIVIAL_EFFECT_SIZE; TEMPORAL_DEPTH_INSUFFICIENT
BTC_F_STABLE,BTC,F_STABLE,L1,1309,0.001947,0.014876,False,False,True,,funding acceleration (crowding build/unwind),FALSIFIED,NULL_NOT_BEATEN; TRIVIAL_EFFECT_SIZE; TRIVIAL_INFORMATION_GAIN; ONE_PERIOD_DOMINATED
