state_id,state_level,asset,basis_state,funding_state,funding_acceleration,vol_state,oi_state,mark_index_state,relative_state,systemic_state,time_epoch,event_count,frequency,transition_entropy,conditional_entropy,entropy_reduction,effect_size_smd,null_ci_excludes_zero,vol_matched_beaten,null_beaten,null_effect,median_resolution_time,tail_expansion,subperiod_stability,span_days,temporal_depth_ok,btc_eth_replication,mechanism,redundant_with,status
BTC_B0_NORMAL,L1,BTC,B0_NORMAL,,,,DEFERRED,,,,ANY,2551,0.750074,,3.27582,0.046106,0.204638,True,True,True,1.286724,6.0,,True,141.6,True,,basis within normal band,,PROMOTE_TO_ALPHA
BTC_B3_ELEVATED_NEGATIVE,L1,BTC,B3_ELEVATED_NEGATIVE,,,,DEFERRED,,,,ANY,510,0.149956,,3.074395,0.247532,-0.49201,True,False,False,0.137564,1.0,,True,139.8,True,,basis within normal band,,FALSIFIED
BTC_B4_EXTREME_NEGATIVE,L1,BTC,B4_EXTREME_NEGATIVE,,,,DEFERRED,,,,ANY,340,0.099971,,2.572444,0.749483,-0.941375,True,True,True,-0.73493,1.0,,True,136.7,True,,basis dislocation (arbitrage-band constraint),,PROMOTE_TO_ALPHA
BTC_F_NEG_ELEVATED,L1,BTC,,F_NEG_ELEVATED,,,DEFERRED,,,,ANY,1936,0.569244,,3.318034,0.003893,-0.036969,False,True,False,0.87588,5.0,,True,141.7,True,,funding moderate,,FALSIFIED
BTC_F_NORMAL,L1,BTC,,F_NORMAL,,,DEFERRED,,,,ANY,1129,0.331961,,3.302699,0.019228,0.125071,True,True,True,1.06871,5.0,,True,141.0,True,,funding moderate,,FALSIFIED
BTC_F_NEG_EXTREME,L1,BTC,,F_NEG_EXTREME,,,DEFERRED,,,,ANY,336,0.098794,,3.274994,0.046933,-0.191686,True,True,True,0.611271,2.5,,True,114.1,True,,funding crowding (positioning pressure),,FALSIFIED
BTC_V_NORMAL,L1,BTC,,,,V_NORMAL,DEFERRED,,,,ANY,1856,0.545722,,3.320311,0.001615,-0.000254,False,True,False,0.915508,22.0,,False,141.1,True,,realized volatility regime,,FALSIFIED
BTC_V_LOW,L1,BTC,,,,V_LOW,DEFERRED,,,,ANY,684,0.201117,,3.305549,0.016378,0.015262,False,True,False,0.95585,15.0,,False,140.6,True,,realized volatility regime,,FALSIFIED
BTC_V_HIGH,L1,BTC,,,,V_HIGH,DEFERRED,,,,ANY,577,0.169656,,3.300814,0.021112,0.012382,False,True,False,0.916943,11.0,,True,134.0,True,,realized volatility regime,,FALSIFIED
BTC_V_EXTREME,L1,BTC,,,,V_EXTREME,DEFERRED,,,,ANY,283,0.083211,,3.245751,0.076176,-0.052306,False,True,False,0.815995,13.0,,True,127.7,True,,realized volatility regime,,FALSIFIED
BTC_MI_NORMAL,L1,BTC,,,,,DEFERRED,MI_NORMAL,,,ANY,2233,0.656572,,3.316145,0.005781,0.072192,True,True,True,1.037288,10.0,,True,141.5,False,,mark-index displacement proxy (premium) — PROVISIONAL,,RESEARCH_ONLY
BTC_MI_STRESS_NEGATIVE,L1,BTC,,,,,DEFERRED,MI_STRESS_NEGATIVE,,,ANY,1168,0.343428,,3.300823,0.021104,-0.154005,True,True,True,0.678449,5.0,,True,141.6,False,,mark-index displacement proxy (premium) — PROVISIONAL,,RESEARCH_ONLY
BTC_F_STABLE,L1,BTC,,,F_STABLE,,DEFERRED,,,,ANY,1309,0.384887,,3.31998,0.001947,0.014876,False,True,False,0.919631,2.0,,False,140.5,True,,funding acceleration (crowding build/unwind),,FALSIFIED
