asset,level,state,n,n_censored,curve_points,t_hours,p_not_resolved,n_at_risk,state_field
BTC,episode,ALL_DISLOCATIONS,202,1,12,,,,
BTC,episode,ALL_DISLOCATIONS,,,,0.0,1.0,202,
BTC,episode,ALL_DISLOCATIONS,,,,1.0,0.4693930262591476,94,
BTC,episode,ALL_DISLOCATIONS,,,,2.0,0.28962548428755924,58,
BTC,episode,ALL_DISLOCATIONS,,,,3.0,0.19474817046922072,39,
BTC,episode,ALL_DISLOCATIONS,,,,4.0,0.09987085665088245,20,
BTC,episode,ALL_DISLOCATIONS,,,,5.0,0.08489022815325008,17,
BTC,episode,ALL_DISLOCATIONS,,,,6.0,0.059922513990529475,12,
BTC,episode,ALL_DISLOCATIONS,,,,7.0,0.04993542832544122,10,
BTC,episode,ALL_DISLOCATIONS,,,,9.0,0.029961256995264727,6,
BTC,episode,ALL_DISLOCATIONS,,,,11.0,0.009987085665088243,2,
BTC,episode,ALL_DISLOCATIONS,,,,13.0,0.0049935428325441214,1,
BTC,episode,ALL_DISLOCATIONS,,,,20.0,0.0,0,
ETH,episode,ALL_DISLOCATIONS,176,1,15,,,,
ETH,episode,ALL_DISLOCATIONS,,,,0.0,1.0,176,
ETH,episode,ALL_DISLOCATIONS,,,,1.0,0.5049019607843139,88,
ETH,episode,ALL_DISLOCATIONS,,,,2.0,0.252450980392157,44,
ETH,episode,ALL_DISLOCATIONS,,,,3.0,0.17786319073083792,31,
ETH,episode,ALL_DISLOCATIONS,,,,4.0,0.12622549019607857,22,
ETH,episode,ALL_DISLOCATIONS,,,,5.0,0.09753787878787887,17,
ETH,episode,ALL_DISLOCATIONS,,,,6.0,0.06885026737967923,12,
ETH,episode,ALL_DISLOCATIONS,,,,7.0,0.05163770053475941,9,
ETH,episode,ALL_DISLOCATIONS,,,,8.0,0.04590017825311948,8,
ETH,episode,ALL_DISLOCATIONS,,,,9.0,0.04016265597147954,7,
ETH,episode,ALL_DISLOCATIONS,,,,10.0,0.028687611408199674,5,
ETH,episode,ALL_DISLOCATIONS,,,,11.0,0.022950089126559742,4,
ETH,episode,ALL_DISLOCATIONS,,,,12.0,0.011475044563279871,2,
ETH,episode,ALL_DISLOCATIONS,,,,15.0,0.0057375222816399354,1,
ETH,episode,ALL_DISLOCATIONS,,,,23.0,0.0,0,
BTC,state,B0_NORMAL,2551,1,,0.0,1.0,2551,basis_state
BTC,state,B0_NORMAL,2551,1,,1.0,0.16895335162681427,431,basis_state
BTC,state,B0_NORMAL,2551,1,,2.0,0.0650725205801651,166,basis_state
BTC,state,B0_NORMAL,2551,1,,3.0,0.03528028224225825,90,basis_state
BTC,state,B0_NORMAL,2551,1,,4.0,0.020384163073304776,52,basis_state
BTC,state,B0_NORMAL,2551,1,,5.0,0.012544100352802933,32,basis_state
BTC,state,B0_NORMAL,2551,1,,6.0,0.008232065856526928,21,basis_state
BTC,state,B0_NORMAL,2551,1,,7.0,0.006272050176401468,16,basis_state
BTC,state,B0_NORMAL,2551,1,,8.0,0.004312034496276009,11,basis_state
BTC,state,B0_NORMAL,2551,1,,10.0,0.0031360250882007342,8,basis_state
BTC,state,B0_NORMAL,2551,1,,11.0,0.0027440219521756423,7,basis_state
BTC,state,B0_NORMAL,2551,1,,12.0,0.0011760094080752754,3,basis_state
BTC,state,B0_NORMAL,2551,1,,16.0,0.0007840062720501836,2,basis_state
BTC,state,B0_NORMAL,2551,1,,22.0,0.0003920031360250918,1,basis_state
BTC,state,B0_NORMAL,2551,1,,120.0,0.0003920031360250918,0,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,0.0,1.0,510,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,1.0,0.45490196078431516,232,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,2.0,0.24117647058823657,123,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,3.0,0.13333333333333422,68,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,4.0,0.08823529411764762,45,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,5.0,0.05686274509803959,29,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,6.0,0.03725490196078455,19,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,7.0,0.025490196078431532,13,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,8.0,0.017647058823529523,9,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,9.0,0.013725490196078516,7,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,10.0,0.00784313725490201,4,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,12.0,0.005882352941176507,3,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,14.0,0.003921568627451005,2,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,15.0,0.0019607843137255023,1,basis_state
BTC,state,B3_ELEVATED_NEGATIVE,510,0,,21.0,0.0,0,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,0.0,1.0,340,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,1.0,0.5529411764705896,188,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,2.0,0.38823529411764834,132,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,3.0,0.2882352941176485,98,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,4.0,0.2058823529411775,70,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,5.0,0.1617647058823537,55,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,6.0,0.13235294117647117,45,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,7.0,0.10588235294117693,36,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,8.0,0.08823529411764744,30,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,9.0,0.06470588235294145,22,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,10.0,0.05294117647058844,18,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,11.0,0.03529411764705897,12,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,12.0,0.03235294117647072,11,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,13.0,0.02647058823529423,9,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,14.0,0.02352941176470598,8,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,15.0,0.020588235294117734,7,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,16.0,0.017647058823529484,6,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,17.0,0.014705882352941237,5,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,18.0,0.01176470588235299,4,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,19.0,0.008823529411764742,3,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,20.0,0.005882352941176495,2,basis_state
BTC,state,B4_EXTREME_NEGATIVE,340,2,,120.0,0.005882352941176495,0,basis_state
BTC,state,F_NEG_ELEVATED,1936,3,,0.0,1.0,1936,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,1.0,0.28460743801653554,551,funding_state
