asset,episode_id,start_time,end_time,start_basis_bps,peak_abs_basis_bps,duration_hours,resolved,classification,expansion_ratio,pre_band,post_band,funding_state_at_start,vol_state_at_start,elevated_threshold_p90_abs_bps,normal_threshold_p75_abs_bps
BTC,BTC_ep_0000,2026-01-30T05:00:00+00:00,2026-01-30T07:00:00+00:00,-7.744737051890671,7.744737051890671,2.0,True,REGIME_SHIFT,1.0,1,0,F_NEG_ELEVATED,V_EXTREME,6.577962718910118,5.651158215649719
BTC,BTC_ep_0001,2026-01-30T10:00:00+00:00,2026-01-30T11:00:00+00:00,-6.9947503581330155,6.9947503581330155,1.0,True,REGIME_SHIFT,1.0,1,0,F_NEG_ELEVATED,V_EXTREME,6.577962718910118,5.651158215649719
BTC,BTC_ep_0002,2026-01-31T16:00:00+00:00,2026-01-31T17:00:00+00:00,-6.851095497204812,6.851095497204812,1.0,True,REGIME_SHIFT,1.0,1,0,F_NORMAL,V_NORMAL,6.577962718910118,5.651158215649719
BTC,BTC_ep_0003,2026-02-02T06:00:00+00:00,2026-02-02T08:00:00+00:00,-7.752256475110644,7.752256475110644,2.0,True,REGIME_SHIFT,1.0,1,0,F_NEG_ELEVATED,V_HIGH,6.577962718910118,5.651158215649719
BTC,BTC_ep_0004,2026-02-02T09:00:00+00:00,2026-02-02T10:00:00+00:00,-8.666309856277756,8.666309856277756,1.0,True,REGIME_SHIFT,1.0,1,0,F_NEG_ELEVATED,V_HIGH,6.577962718910118,5.651158215649719
BTC,BTC_ep_0005,2026-02-02T15:00:00+00:00,2026-02-02T18:00:00+00:00,-8.381437852602883,8.381437852602883,3.0,True,REGIME_SHIFT,1.0,1,0,F_NEG_EXTREME,V_HIGH,6.577962718910118,5.651158215649719
BTC,BTC_ep_0006,2026-02-02T19:00:00+00:00,2026-02-02T22:00:00+00:00,-7.470096022060433,10.336253623998246,3.0,True,REGIME_SHIFT,1.383684171324381,1,0,F_NEG_EXTREME,V_HIGH,6.577962718910118,5.651158215649719
BTC,BTC_ep_0007,2026-02-02T23:00:00+00:00,2026-02-03T00:00:00+00:00,-6.938012549860212,6.938012549860212,1.0,True,REGIME_SHIFT,1.0,1,0,F_NEG_ELEVATED,V_HIGH,6.577962718910118,5.651158215649719
BTC,BTC_ep_0008,2026-02-03T03:00:00+00:00,2026-02-03T04:00:00+00:00,-7.91644986045635,7.91644986045635,1.0,True,REGIME_SHIFT,1.0,1,0,F_NEG_ELEVATED,V_HIGH,6.577962718910118,5.651158215649719
BTC,BTC_ep_0009,2026-02-03T17:00:00+00:00,2026-02-03T18:00:00+00:00,-6.648338470776826,6.648338470776826,1.0,True,REGIME_SHIFT,1.0,1,0,F_NEG_ELEVATED,V_EXTREME,6.577962718910118,5.651158215649719
