asset,basis_state,funding_state,composite,n,crowding_relation,median_time_to_normal_hours,persist_24h_rate,entropy_reduction_bits,observed_diff_abs_basis,effect_size_smd
BTC,B4_EXTREME_NEGATIVE,F_NEG_EXTREME,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,124,CONFIRM,1.0,0.08871,0.448884,-1.27381,-0.682883
BTC,B4_EXTREME_NEGATIVE,F_NEG_ELEVATED,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,189,CONFIRM,1.0,0.069892,0.941964,-1.817201,-1.059772
ETH,B4_EXTREME_NEGATIVE,F_NEG_EXTREME,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,141,CONFIRM,2.0,0.212766,0.409396,-1.399264,-0.554649
ETH,B4_EXTREME_NEGATIVE,F_NEG_ELEVATED,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,169,CONFIRM,1.0,0.053254,0.948965,-2.149899,-0.846618
