asset,family,axis,state,horizon_hours,n_state,entropy_unconditional,entropy_conditional,entropy_reduction_bits,js_divergence,observed_diff_abs_basis,effect_size_smd,boot_ci_p05,boot_ci_p95,bootstrap_p,decay_fraction_mean,max_expansion_mean,spot_contrib_mean,perp_contrib_mean,future_basis_vol_mean,time_to_exit_median_hours,n_censored_exit,observed_diff_abs_funding,simple_parent,incremental_er_bits,redundant
BTC,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_LOW,24,30,3.321927,2.060755,1.261172,0.35625,-2.274848,-1.202907,-2.722413,-1.868022,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,4,29,3.321927,3.000246,0.32168,0.078112,-0.868816,-0.51324,-1.330883,-0.447577,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,24,29,3.321927,2.715258,0.606669,0.170443,-1.480811,-0.707664,-2.022515,-0.89011,0.002,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_HIGH,4,28,3.321927,2.852746,0.469181,0.132658,-0.97436,-0.527944,-1.540737,-0.441538,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_HIGH,24,28,3.321927,2.46772,0.854207,0.242999,-1.830966,-0.848176,-2.517247,-1.263099,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_HIGH,4,24,3.321927,2.971252,0.350675,0.09962,-0.608457,-0.376865,-0.98996,-0.187366,0.006,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_HIGH,24,24,3.321927,3.136842,0.185085,0.047684,-0.379028,-0.193957,-0.956664,0.177752,0.126,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,4,23,3.321927,2.251185,1.070741,0.304353,-2.054054,-1.149771,-2.606796,-1.546573,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,24,23,3.321927,2.316132,1.005795,0.290717,0.630962,0.08207,-1.861691,4.974206,0.354,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,4,23,3.321927,2.317951,1.003976,0.266452,-1.499193,-0.924773,-1.926132,-1.088019,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,24,23,3.321927,2.40743,0.914497,0.269338,-1.677965,-0.91028,-2.139633,-1.204818,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,4,22,3.321927,2.114713,1.207214,0.323893,-1.508207,-0.775754,-2.152426,-0.804306,0.004,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,24,22,3.321927,2.184261,1.137666,0.286642,-2.332009,-1.151693,-2.87013,-1.696072,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_EXTREME+V_HIGH,4,21,3.321927,2.624726,0.697201,0.210964,0.279316,0.18581,-0.046045,0.634282,0.08,,,,,,,,,,,
BTC,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_EXTREME+V_HIGH,24,21,3.321927,3.046381,0.275546,0.082437,0.617457,0.334981,0.130038,1.055145,0.02,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B0_NORMAL+F_NORMAL,4,1379,3.321927,3.283358,0.038569,0.010195,0.452685,0.124149,0.280323,0.718264,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B0_NORMAL+F_NORMAL,24,1359,3.321927,3.229458,0.092469,0.024378,0.771932,0.204055,0.582777,0.994841,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B0_NORMAL+F_NEG_ELEVATED,4,1093,3.321927,3.264774,0.057153,0.015437,0.347079,0.144065,0.220571,0.457631,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B0_NORMAL+F_NEG_ELEVATED,24,1093,3.321927,3.251543,0.070384,0.0186,0.283449,0.110992,0.156431,0.395937,0.002,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,4,359,3.321927,3.110646,0.21128,0.055495,-0.73623,-0.311678,-0.88872,-0.596995,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,24,359,3.321927,2.911348,0.410579,0.113126,-1.354307,-0.5379,-1.510926,-1.191304,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,4,169,3.321927,2.372961,0.948965,0.217825,-2.149899,-0.846618,-2.377416,-1.907867,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,24,169,3.321927,2.132007,1.189919,0.28302,-2.639174,-1.027669,-2.857353,-2.407496,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,4,141,3.321927,2.912531,0.409396,0.099748,-1.399264,-0.554649,-1.659912,-1.112183,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,24,141,3.321927,2.717376,0.604551,0.147013,-2.027301,-0.748472,-2.32881,-1.73831,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B3_ELEVATED_NEGATIVE+F_NORMAL,4,80,3.321927,2.567311,0.754616,0.191033,-1.740046,-0.721516,-2.029104,-1.425836,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B3_ELEVATED_NEGATIVE+F_NORMAL,24,80,3.321927,3.072692,0.249235,0.062332,-0.977738,-0.374815,-1.2934,-0.63154,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B0_NORMAL+F_NEG_EXTREME,4,78,3.321927,3.097208,0.224719,0.058133,0.863875,0.343741,0.477834,1.210396,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B0_NORMAL+F_NEG_EXTREME,24,78,3.321927,3.166721,0.155206,0.03997,0.619932,0.234515,0.213546,0.999176,0.002,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,4,69,3.321927,3.25813,0.063797,0.016721,-0.409302,-0.167557,-0.739064,-0.100401,0.02,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,24,69,3.321927,3.24985,0.072077,0.01828,-0.385576,-0.149378,-0.773393,-0.022427,0.042,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B4_EXTREME_NEGATIVE+F_NORMAL,4,27,3.321927,1.704349,1.617577,0.411669,-2.661746,-0.958594,-3.435895,-1.848806,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l2,B4_EXTREME_NEGATIVE+F_NORMAL,24,27,3.321927,1.810081,1.511846,0.361201,-2.998374,-1.176743,-3.484012,-2.47797,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,4,638,3.321927,3.260529,0.061398,0.016549,0.348186,0.144951,0.209647,0.469019,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,24,638,3.321927,3.267101,0.054826,0.014508,0.260173,0.102011,0.116177,0.401283,0.002,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NORMAL+V_NORMAL,4,630,3.321927,3.260281,0.061645,0.016422,0.308927,0.12894,0.179604,0.443437,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NORMAL+V_NORMAL,24,616,3.321927,3.216828,0.105099,0.028327,0.929136,0.193245,0.603537,1.375239,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NORMAL+V_LOW,4,408,3.321927,3.277099,0.044827,0.011353,0.112502,0.04719,-0.030048,0.274958,0.1,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NORMAL+V_LOW,24,408,3.321927,3.286515,0.035412,0.009131,0.284807,0.11001,0.12858,0.44348,0.004,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NORMAL+V_HIGH,4,251,3.321927,3.18532,0.136606,0.032564,1.325568,0.19432,0.601004,2.311656,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NORMAL+V_HIGH,24,245,3.321927,3.055197,0.26673,0.074121,1.119721,0.420161,0.890937,1.367917,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,4,240,3.321927,3.094558,0.227369,0.06141,-0.721545,-0.307467,-0.865066,-0.554334,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,24,240,3.321927,2.930932,0.390994,0.107877,-1.322971,-0.524412,-1.504713,-1.114103,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_LOW,4,226,3.321927,3.22833,0.093597,0.023582,0.18225,0.076492,0.004189,0.37094,0.048,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_LOW,24,226,3.321927,3.14951,0.172416,0.045209,0.355681,0.140909,0.168605,0.555662,0.002,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,4,153,3.321927,3.229389,0.092538,0.024648,0.435152,0.177903,0.226488,0.655502,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,24,153,3.321927,3.246199,0.075728,0.019521,0.13072,0.050456,-0.135535,0.388754,0.196,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,4,95,3.321927,2.329458,0.992468,0.233693,-2.02133,-0.830455,-2.323506,-1.756774,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,24,95,3.321927,1.909726,1.412201,0.34298,-2.754599,-1.095775,-3.045963,-2.495372,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NORMAL+V_EXTREME,4,90,3.321927,3.248604,0.073323,0.017855,0.566785,0.21411,0.178719,0.948682,0.008,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NORMAL+V_EXTREME,24,90,3.321927,3.11273,0.209197,0.052598,0.957502,0.349436,0.568083,1.327975,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,4,76,3.321927,3.154935,0.166992,0.042077,0.650632,0.264181,0.352467,0.989515,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,24,76,3.321927,3.130041,0.191885,0.055378,0.57152,0.220592,0.235063,0.944128,0.002,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,4,57,3.321927,3.012396,0.309531,0.074693,-0.810176,-0.341015,-1.146236,-0.483821,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,24,57,3.321927,2.700307,0.62162,0.170407,-1.507219,-0.605912,-1.826696,-1.151101,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL,4,55,3.321927,2.688738,0.633189,0.166398,-1.597008,-0.64792,-1.984229,-1.236409,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL,24,55,3.321927,2.505344,0.816583,0.198077,-2.29107,-0.832786,-2.761414,-1.809923,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,4,45,3.321927,2.739535,0.582392,0.156551,-0.778524,-0.337484,-1.104713,-0.445319,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,24,45,3.321927,2.987183,0.334743,0.099602,-0.973146,-0.394088,-1.293236,-0.631194,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_EXTREME,4,44,3.321927,2.732746,0.589181,0.13472,-1.722168,-0.645555,-2.252304,-1.166681,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_EXTREME,24,44,3.321927,2.805548,0.516379,0.12012,-2.063584,-0.731382,-2.646153,-1.485623,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,4,43,3.321927,2.338261,0.983666,0.276104,-1.776222,-0.739972,-2.172607,-1.389917,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,24,43,3.321927,2.933258,0.388669,0.09558,-1.130031,-0.44813,-1.513921,-0.746348,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,4,38,3.321927,3.233998,0.087929,0.022268,-0.188033,-0.079405,-0.57486,0.177233,0.204,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,24,38,3.321927,3.155144,0.166783,0.043828,-0.683801,-0.272683,-1.057509,-0.255881,0.002,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,4,38,3.321927,3.17679,0.145137,0.039292,0.528039,0.222107,0.112914,0.890608,0.008,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,24,38,3.321927,3.177637,0.14429,0.037772,0.340225,0.130362,-0.138499,0.827111,0.1,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_HIGH,4,31,3.321927,2.213297,1.10863,0.28465,-2.182557,-0.799835,-2.8728,-1.445092,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_HIGH,24,31,3.321927,2.143893,1.178034,0.295151,-2.678029,-1.005997,-3.231769,-2.086402,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,4,30,3.321927,2.89893,0.422997,0.130995,-0.804218,-0.345489,-1.182853,-0.430804,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,24,30,3.321927,2.558939,0.762988,0.218891,-1.492686,-0.615712,-1.841606,-1.132808,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,4,25,3.321927,2.095242,1.226685,0.304888,-2.580939,-0.991679,-3.188321,-1.871406,0.0,,,,,,,,,,,
ETH,STATE_INFO_VALUE,composite_l3,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,24,25,3.321927,2.175647,1.14628,0.295658,-2.514319,-0.964846,-3.072979,-1.924307,0.0,,,,,,,,,,,
BTC,STATE_INFO_VALUE_DEEP_FUNDING_LANE,funding_state,F_NORMAL,4,15115,2.156857,1.136509,1.020348,0.089155,,0.073503,0.008989,0.013481,0.0,,,,,,,,0.011227,,,
BTC,STATE_INFO_VALUE_DEEP_FUNDING_LANE,funding_state,F_NORMAL,24,15096,2.66603,1.736652,0.929379,0.104213,,0.130084,0.022633,0.028549,0.0,,,,,,,,0.02579,,,
