asset,axis,state,horizon_hours,model,observed,null_mean,effect_vs_null,null_p05,null_p95,n_perm,phi
BTC,vol_state,V_HIGH,24,block_shuffle,0.039539,0.011982,0.027558,-0.2067,0.292514,200,
BTC,vol_state,V_HIGH,24,ar1_baseline,0.039539,-0.079879,0.119419,,,,0.631604
BTC,vol_state,V_EXTREME,4,unconditional,-0.083185,0.024151,-0.107336,,,,
BTC,vol_state,V_EXTREME,4,vol_matched,-0.083185,-0.89918,0.815995,-1.102012,-0.648206,200,
BTC,vol_state,V_EXTREME,4,block_shuffle,-0.083185,0.018659,-0.101845,-0.130413,0.268627,200,
BTC,vol_state,V_EXTREME,4,ar1_baseline,-0.083185,-0.397047,0.313862,,,,0.631604
BTC,vol_state,V_EXTREME,24,unconditional,-0.47454,0.023283,-0.497823,,,,
BTC,vol_state,V_EXTREME,24,vol_matched,-0.47454,-1.156552,0.682012,-1.354785,-0.93467,200,
BTC,vol_state,V_EXTREME,24,block_shuffle,-0.47454,0.046457,-0.520998,-0.344173,0.458891,200,
BTC,vol_state,V_EXTREME,24,ar1_baseline,-0.47454,-0.470272,-0.004269,,,,0.631604
BTC,mark_index_state,MI_NORMAL,4,unconditional,0.1669,0.024151,0.142749,,,,
BTC,mark_index_state,MI_NORMAL,4,vol_matched,0.1669,-0.870388,1.037288,-0.938055,-0.799966,200,
BTC,mark_index_state,MI_NORMAL,4,block_shuffle,0.1669,0.023297,0.143603,-0.015802,0.062086,200,
BTC,mark_index_state,MI_NORMAL,4,ar1_baseline,0.1669,0.436307,-0.269406,,,,0.631604
BTC,mark_index_state,MI_NORMAL,24,unconditional,0.317994,0.023283,0.294712,,,,
BTC,mark_index_state,MI_NORMAL,24,vol_matched,0.317994,-1.127191,1.445186,-1.200659,-1.053102,200,
BTC,mark_index_state,MI_NORMAL,24,block_shuffle,0.317994,0.018034,0.29996,-0.048891,0.08678,200,
BTC,mark_index_state,MI_NORMAL,24,ar1_baseline,0.317994,0.517446,-0.199451,,,,0.631604
BTC,mark_index_state,MI_STRESS_NEGATIVE,4,unconditional,-0.249339,0.024151,-0.27349,,,,
BTC,mark_index_state,MI_STRESS_NEGATIVE,4,vol_matched,-0.249339,-0.927788,0.678449,-1.028376,-0.828793,200,
BTC,mark_index_state,MI_STRESS_NEGATIVE,4,block_shuffle,-0.249339,0.025843,-0.275182,-0.048209,0.101352,200,
BTC,mark_index_state,MI_STRESS_NEGATIVE,4,ar1_baseline,-0.249339,-0.733887,0.484547,,,,0.631604
BTC,mark_index_state,MI_STRESS_NEGATIVE,24,unconditional,-0.53629,0.023283,-0.559573,,,,
BTC,mark_index_state,MI_STRESS_NEGATIVE,24,vol_matched,-0.53629,-1.199001,0.662711,-1.304925,-1.095738,200,
BTC,mark_index_state,MI_STRESS_NEGATIVE,24,block_shuffle,-0.53629,0.033441,-0.569731,-0.099052,0.162939,200,
BTC,mark_index_state,MI_STRESS_NEGATIVE,24,ar1_baseline,-0.53629,-0.872767,0.336477,,,,0.631604
BTC,funding_accel,F_STABLE,4,unconditional,0.054326,0.024151,0.030174,,,,
BTC,funding_accel,F_STABLE,4,vol_matched,0.054326,-0.865305,0.919631,-0.94185,-0.77198,200,
BTC,funding_accel,F_STABLE,4,block_shuffle,0.054326,0.019124,0.035202,-0.046731,0.091792,200,
BTC,funding_accel,F_STABLE,4,ar1_baseline,0.054326,0.296875,-0.242549,,,,0.631604
BTC,funding_accel,F_STABLE,24,unconditional,0.217742,0.023283,0.194459,,,,
BTC,funding_accel,F_STABLE,24,vol_matched,0.217742,-1.125341,1.343083,-1.221907,-1.028509,200,
BTC,funding_accel,F_STABLE,24,block_shuffle,0.217742,0.017915,0.199826,-0.081646,0.126154,200,
BTC,funding_accel,F_STABLE,24,ar1_baseline,0.217742,0.346835,-0.129093,,,,0.631604
BTC,funding_accel,F_ACCEL_POS,4,unconditional,0.138981,0.024151,0.11483,,,,
BTC,funding_accel,F_ACCEL_POS,4,vol_matched,0.138981,-0.879652,1.018633,-0.982234,-0.761398,200,
BTC,funding_accel,F_ACCEL_POS,4,block_shuffle,0.138981,0.026617,0.112364,-0.061854,0.108984,200,
BTC,funding_accel,F_ACCEL_POS,4,ar1_baseline,0.138981,0.26785,-0.128869,,,,0.631604
BTC,funding_accel,F_ACCEL_POS,24,unconditional,0.17445,0.023283,0.151167,,,,
BTC,funding_accel,F_ACCEL_POS,24,vol_matched,0.17445,-1.139943,1.314393,-1.245278,-1.02936,200,
BTC,funding_accel,F_ACCEL_POS,24,block_shuffle,0.17445,0.028381,0.146069,-0.119419,0.158815,200,
BTC,funding_accel,F_ACCEL_POS,24,ar1_baseline,0.17445,0.320537,-0.146087,,,,0.631604
BTC,funding_accel,F_ACCEL_NEG,4,unconditional,-0.131463,0.024151,-0.155614,,,,
BTC,funding_accel,F_ACCEL_NEG,4,vol_matched,-0.131463,-0.930906,0.799443,-1.034292,-0.819509,200,
BTC,funding_accel,F_ACCEL_NEG,4,block_shuffle,-0.131463,0.028549,-0.160012,-0.0506,0.105595,200,
BTC,funding_accel,F_ACCEL_NEG,4,ar1_baseline,-0.131463,-0.55527,0.423807,,,,0.631604
BTC,funding_accel,F_ACCEL_NEG,24,unconditional,-0.39125,0.023283,-0.414533,,,,
BTC,funding_accel,F_ACCEL_NEG,24,vol_matched,-0.39125,-1.196042,0.804793,-1.308042,-1.076281,200,
BTC,funding_accel,F_ACCEL_NEG,24,block_shuffle,-0.39125,0.026466,-0.417716,-0.107507,0.180057,200,
BTC,funding_accel,F_ACCEL_NEG,24,ar1_baseline,-0.39125,-0.662905,0.271655,,,,0.631604
BTC,relative_state,SYNCHRONIZED,4,unconditional,0.121678,0.024151,0.097526,,,,
BTC,relative_state,SYNCHRONIZED,4,vol_matched,0.121678,-0.878328,1.000005,-0.950085,-0.792807,200,
BTC,relative_state,SYNCHRONIZED,4,block_shuffle,0.121678,0.022717,0.098961,-0.033618,0.079258,200,
BTC,relative_state,SYNCHRONIZED,4,ar1_baseline,0.121678,0.239724,-0.118046,,,,0.631604
BTC,relative_state,SYNCHRONIZED,24,unconditional,0.15582,0.023283,0.132537,,,,
BTC,relative_state,SYNCHRONIZED,24,vol_matched,0.15582,-1.139389,1.295209,-1.219621,-1.057394,200,
BTC,relative_state,SYNCHRONIZED,24,block_shuffle,0.15582,0.022428,0.133392,-0.053114,0.106613,200,
BTC,relative_state,SYNCHRONIZED,24,ar1_baseline,0.15582,0.279386,-0.123566,,,,0.631604
BTC,relative_state,BTC_LED,4,unconditional,-0.291328,0.024151,-0.315479,,,,
BTC,relative_state,BTC_LED,4,vol_matched,-0.291328,-0.930993,0.639665,-1.032303,-0.813761,200,
BTC,relative_state,BTC_LED,4,block_shuffle,-0.291328,0.026557,-0.317885,-0.061146,0.107076,200,
BTC,relative_state,BTC_LED,4,ar1_baseline,-0.291328,-0.612527,0.321199,,,,0.631604
BTC,relative_state,BTC_LED,24,unconditional,-0.532534,0.023283,-0.555817,,,,
BTC,relative_state,BTC_LED,24,vol_matched,-0.532534,-1.196172,0.663638,-1.309387,-1.06715,200,
BTC,relative_state,BTC_LED,24,block_shuffle,-0.532534,0.026114,-0.558648,-0.104368,0.174309,200,
BTC,relative_state,BTC_LED,24,ar1_baseline,-0.532534,-0.73374,0.201206,,,,0.631604
BTC,relative_state,ETH_LED,4,unconditional,0.262534,0.024151,0.238382,,,,
BTC,relative_state,ETH_LED,4,vol_matched,0.262534,-0.860341,1.122875,-0.991097,-0.710442,200,
BTC,relative_state,ETH_LED,4,block_shuffle,0.262534,0.024461,0.238072,-0.069252,0.149634,200,
BTC,relative_state,ETH_LED,4,ar1_baseline,0.262534,0.511499,-0.248966,,,,0.631604
BTC,relative_state,ETH_LED,24,unconditional,0.550811,0.023283,0.527528,,,,
BTC,relative_state,ETH_LED,24,vol_matched,0.550811,-1.114389,1.665201,-1.239767,-0.980649,200,
BTC,relative_state,ETH_LED,24,block_shuffle,0.550811,0.02112,0.529692,-0.178515,0.231249,200,
BTC,relative_state,ETH_LED,24,ar1_baseline,0.550811,0.610465,-0.059654,,,,0.631604
BTC,systemic_state,NORMAL_CROSS_STATE,4,unconditional,0.232653,0.024151,0.208502,,,,
BTC,systemic_state,NORMAL_CROSS_STATE,4,vol_matched,0.232653,-0.88213,1.114783,-0.94793,-0.81602,200,
BTC,systemic_state,NORMAL_CROSS_STATE,4,block_shuffle,0.232653,0.026051,0.206602,-0.009525,0.059483,200,
BTC,systemic_state,NORMAL_CROSS_STATE,4,ar1_baseline,0.232653,0.383878,-0.151225,,,,0.631604
BTC,systemic_state,NORMAL_CROSS_STATE,24,unconditional,0.299792,0.023283,0.27651,,,,
BTC,systemic_state,NORMAL_CROSS_STATE,24,vol_matched,0.299792,-1.143478,1.44327,-1.212589,-1.071947,200,
BTC,systemic_state,NORMAL_CROSS_STATE,24,block_shuffle,0.299792,0.022212,0.27758,-0.033663,0.075792,200,
BTC,systemic_state,NORMAL_CROSS_STATE,24,ar1_baseline,0.299792,0.454409,-0.154616,,,,0.631604
BTC,systemic_state,BTC_SPECIFIC,4,unconditional,-0.922697,0.024151,-0.946848,,,,
BTC,systemic_state,BTC_SPECIFIC,4,vol_matched,-0.922697,-0.931225,0.008529,-1.081854,-0.738092,200,
BTC,systemic_state,BTC_SPECIFIC,4,block_shuffle,-0.922697,0.024625,-0.947321,-0.109293,0.197531,200,
BTC,systemic_state,BTC_SPECIFIC,4,ar1_baseline,-0.922697,-1.532069,0.609372,,,,0.631604
BTC,systemic_state,BTC_SPECIFIC,24,unconditional,-1.325714,0.023283,-1.348996,,,,
BTC,systemic_state,BTC_SPECIFIC,24,vol_matched,-1.325714,-1.195277,-0.130437,-1.351941,-0.983577,200,
BTC,systemic_state,BTC_SPECIFIC,24,block_shuffle,-1.325714,0.047664,-1.373378,-0.191975,0.332484,200,
BTC,systemic_state,BTC_SPECIFIC,24,ar1_baseline,-1.325714,-1.821997,0.496283,,,,0.631604
BTC,systemic_state,ETH_SPECIFIC,4,unconditional,0.038069,0.024151,0.013918,,,,
BTC,systemic_state,ETH_SPECIFIC,4,vol_matched,0.038069,-0.892545,0.930614,-1.065703,-0.661314,200,
BTC,systemic_state,ETH_SPECIFIC,4,block_shuffle,0.038069,0.010094,0.027975,-0.161169,0.209695,200,
BTC,systemic_state,ETH_SPECIFIC,4,ar1_baseline,0.038069,0.09008,-0.05201,,,,0.631604
BTC,systemic_state,ETH_SPECIFIC,24,unconditional,0.267552,0.023283,0.244269,,,,
BTC,systemic_state,ETH_SPECIFIC,24,vol_matched,0.267552,-1.137505,1.405057,-1.302874,-0.899884,200,
BTC,systemic_state,ETH_SPECIFIC,24,block_shuffle,0.267552,0.013988,0.253564,-0.242229,0.289933,200,
BTC,systemic_state,ETH_SPECIFIC,24,ar1_baseline,0.267552,0.109854,0.157697,,,,0.631604
BTC,systemic_state,SYSTEMIC_STRESS,4,unconditional,-0.98949,0.024151,-1.013641,,,,
BTC,systemic_state,SYSTEMIC_STRESS,4,vol_matched,-0.98949,-0.923582,-0.065908,-1.160366,-0.602912,200,
BTC,systemic_state,SYSTEMIC_STRESS,4,block_shuffle,-0.98949,0.022961,-1.012451,-0.169253,0.312782,200,
BTC,systemic_state,SYSTEMIC_STRESS,4,ar1_baseline,-0.98949,-1.767073,0.777584,,,,0.631604
BTC,systemic_state,SYSTEMIC_STRESS,24,unconditional,-1.517589,0.023283,-1.540872,,,,
BTC,systemic_state,SYSTEMIC_STRESS,24,vol_matched,-1.517589,-1.188728,-0.328861,-1.454989,-0.816236,200,
BTC,systemic_state,SYSTEMIC_STRESS,24,block_shuffle,-1.517589,0.001463,-1.519052,-0.385989,0.467643,200,
BTC,systemic_state,SYSTEMIC_STRESS,24,ar1_baseline,-1.517589,-2.101473,0.583884,,,,0.631604
BTC,composite_l2,B0_NORMAL+F_NEG_ELEVATED,4,unconditional,0.391641,0.024151,0.36749,,,,
BTC,composite_l2,B0_NORMAL+F_NEG_ELEVATED,4,vol_matched,0.391641,-0.922653,1.314295,-1.01228,-0.820997,200,
BTC,composite_l2,B0_NORMAL+F_NEG_ELEVATED,4,block_shuffle,0.391641,0.025355,0.366286,-0.044234,0.09591,200,
BTC,composite_l2,B0_NORMAL+F_NEG_ELEVATED,4,ar1_baseline,0.391641,0.212292,0.179349,,,,0.631604
BTC,composite_l2,B0_NORMAL+F_NEG_ELEVATED,24,unconditional,0.212576,0.023283,0.189293,,,,
BTC,composite_l2,B0_NORMAL+F_NEG_ELEVATED,24,vol_matched,0.212576,-1.192216,1.404792,-1.289826,-1.086422,200,
BTC,composite_l2,B0_NORMAL+F_NEG_ELEVATED,24,block_shuffle,0.212576,0.014632,0.197944,-0.085082,0.105571,200,
BTC,composite_l2,B0_NORMAL+F_NEG_ELEVATED,24,ar1_baseline,0.212576,0.252133,-0.039557,,,,0.631604
BTC,composite_l2,B0_NORMAL+F_NORMAL,4,unconditional,0.411851,0.024151,0.3877,,,,
BTC,composite_l2,B0_NORMAL+F_NORMAL,4,vol_matched,0.411851,-0.808759,1.22061,-0.908176,-0.698732,200,
BTC,composite_l2,B0_NORMAL+F_NORMAL,4,block_shuffle,0.411851,0.021776,0.390075,-0.054751,0.104963,200,
BTC,composite_l2,B0_NORMAL+F_NORMAL,4,ar1_baseline,0.411851,1.078577,-0.666726,,,,0.631604
BTC,composite_l2,B0_NORMAL+F_NORMAL,24,unconditional,0.889726,0.023283,0.866444,,,,
BTC,composite_l2,B0_NORMAL+F_NORMAL,24,vol_matched,0.889726,-1.059846,1.949572,-1.153658,-0.956481,200,
BTC,composite_l2,B0_NORMAL+F_NORMAL,24,block_shuffle,0.889726,0.021255,0.868471,-0.131374,0.188602,200,
BTC,composite_l2,B0_NORMAL+F_NORMAL,24,ar1_baseline,0.889726,1.287597,-0.39787,,,,0.631604
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,4,unconditional,-0.839813,0.024151,-0.863964,,,,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,4,vol_matched,-0.839813,-0.934403,0.094589,-1.105713,-0.717423,200,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,4,block_shuffle,-0.839813,0.028889,-0.868702,-0.11473,0.190626,200,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,4,ar1_baseline,-0.839813,-1.077225,0.237412,,,,0.631604
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,24,unconditional,-1.008365,0.023283,-1.031648,,,,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,24,vol_matched,-1.008365,-1.195432,0.187067,-1.374925,-0.948014,200,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,24,block_shuffle,-1.008365,0.04887,-1.057234,-0.136551,0.240863,200,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,24,ar1_baseline,-1.008365,-1.281786,0.273421,,,,0.631604
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,4,unconditional,-1.793049,0.024151,-1.817201,,,,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,4,vol_matched,-1.793049,-0.922293,-0.870756,-1.136576,-0.671345,200,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,4,block_shuffle,-1.793049,0.032803,-1.825852,-0.186085,0.257568,200,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,4,ar1_baseline,-1.793049,-2.101849,0.3088,,,,0.631604
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,24,unconditional,-2.188883,0.023283,-2.212166,,,,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,24,vol_matched,-2.188883,-1.187048,-1.001835,-1.407765,-0.820879,200,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,24,block_shuffle,-2.188883,0.029695,-2.218578,-0.25146,0.350483,200,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,24,ar1_baseline,-2.188883,-2.499602,0.310718,,,,0.631604
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,4,unconditional,-1.249658,0.024151,-1.27381,,,,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,4,vol_matched,-1.249658,-0.921447,-0.328212,-1.167378,-0.568011,200,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,4,block_shuffle,-1.249658,0.017911,-1.26757,-0.253293,0.286307,200,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,4,ar1_baseline,-1.249658,-2.354316,1.104658,,,,0.631604
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,24,unconditional,-2.02968,0.023283,-2.052963,,,,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,24,vol_matched,-2.02968,-1.182833,-0.846847,-1.444106,-0.750193,200,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,24,block_shuffle,-2.02968,0.04086,-2.07054,-0.423033,0.565749,200,
BTC,composite_l2,B4_EXTREME_NEGATIVE+F_NEG_EXTREME,24,ar1_baseline,-2.02968,-2.799845,0.770166,,,,0.631604
BTC,composite_l2,B0_NORMAL+F_NEG_EXTREME,4,unconditional,0.656278,0.024151,0.632127,,,,
BTC,composite_l2,B0_NORMAL+F_NEG_EXTREME,4,vol_matched,0.656278,-0.919032,1.57531,-1.186056,-0.48704,200,
BTC,composite_l2,B0_NORMAL+F_NEG_EXTREME,4,block_shuffle,0.656278,0.050616,0.605662,-0.260411,0.39013,200,
BTC,composite_l2,B0_NORMAL+F_NEG_EXTREME,4,ar1_baseline,0.656278,-0.178818,0.835096,,,,0.631604
BTC,composite_l2,B0_NORMAL+F_NEG_EXTREME,24,unconditional,0.255479,0.023283,0.232196,,,,
BTC,composite_l2,B0_NORMAL+F_NEG_EXTREME,24,vol_matched,0.255479,-1.182059,1.437538,-1.468902,-0.78632,200,
BTC,composite_l2,B0_NORMAL+F_NEG_EXTREME,24,block_shuffle,0.255479,0.053653,0.201826,-0.325681,0.490842,200,
BTC,composite_l2,B0_NORMAL+F_NEG_EXTREME,24,ar1_baseline,0.255479,-0.212657,0.468136,,,,0.631604
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,4,unconditional,-0.250807,0.024151,-0.274959,,,,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,4,vol_matched,-0.250807,-0.919465,0.668658,-1.19342,-0.462609,200,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,4,block_shuffle,-0.250807,-5.3e-05,-0.250754,-0.282602,0.349368,200,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,4,ar1_baseline,-0.250807,-1.114375,0.863568,,,,0.631604
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,24,unconditional,-0.556195,0.023283,-0.579478,,,,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,24,vol_matched,-0.556195,-1.176138,0.619943,-1.50014,-0.753141,200,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,24,block_shuffle,-0.556195,0.031673,-0.587868,-0.367639,0.472344,200,
BTC,composite_l2,B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,24,ar1_baseline,-0.556195,-1.325259,0.769064,,,,0.631604
BTC,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,4,unconditional,0.378665,0.024151,0.354513,,,,
BTC,composite_l3,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,4,vol_matched,0.378665,-0.926521,1.305186,-1.045751,-0.784285,200,
