asset,axis,state,horizon_hours,model,observed,null_mean,effect_vs_null,null_p05,null_p95,n_perm,phi
BTC,basis_state,B0_NORMAL,4,unconditional,0.411322,0.024151,0.387171,,,,
BTC,basis_state,B0_NORMAL,4,vol_matched,0.411322,-0.875402,1.286724,-0.94029,-0.80692,200,
BTC,basis_state,B0_NORMAL,4,block_shuffle,0.411322,0.024938,0.386384,-0.008364,0.055311,200,
BTC,basis_state,B0_NORMAL,4,ar1_baseline,0.411322,0.554318,-0.142995,,,,0.631604
BTC,basis_state,B0_NORMAL,24,unconditional,0.493203,0.023283,0.46992,,,,
BTC,basis_state,B0_NORMAL,24,vol_matched,0.493203,-1.136939,1.630142,-1.210296,-1.071165,200,
BTC,basis_state,B0_NORMAL,24,block_shuffle,0.493203,0.019019,0.474184,-0.031659,0.068528,200,
BTC,basis_state,B0_NORMAL,24,ar1_baseline,0.493203,0.658412,-0.165209,,,,0.631604
BTC,basis_state,B3_ELEVATED_NEGATIVE,4,unconditional,-0.791795,0.024151,-0.815946,,,,
BTC,basis_state,B3_ELEVATED_NEGATIVE,4,vol_matched,-0.791795,-0.929358,0.137564,-1.066995,-0.760849,200,
BTC,basis_state,B3_ELEVATED_NEGATIVE,4,block_shuffle,-0.791795,0.021336,-0.813131,-0.098325,0.1519,200,
BTC,basis_state,B3_ELEVATED_NEGATIVE,4,ar1_baseline,-0.791795,-1.078395,0.286601,,,,0.631604
BTC,basis_state,B3_ELEVATED_NEGATIVE,24,unconditional,-0.865233,0.023283,-0.888516,,,,
BTC,basis_state,B3_ELEVATED_NEGATIVE,24,vol_matched,-0.865233,-1.201352,0.336119,-1.344573,-1.032485,200,
BTC,basis_state,B3_ELEVATED_NEGATIVE,24,block_shuffle,-0.865233,0.041528,-0.90676,-0.107345,0.210294,200,
BTC,basis_state,B3_ELEVATED_NEGATIVE,24,ar1_baseline,-0.865233,-1.282973,0.41774,,,,0.631604
BTC,basis_state,B4_EXTREME_NEGATIVE,4,unconditional,-1.670669,0.024151,-1.69482,,,,
BTC,basis_state,B4_EXTREME_NEGATIVE,4,vol_matched,-1.670669,-0.935739,-0.73493,-1.091415,-0.726836,200,
BTC,basis_state,B4_EXTREME_NEGATIVE,4,block_shuffle,-1.670669,0.022668,-1.693336,-0.125208,0.20751,200,
BTC,basis_state,B4_EXTREME_NEGATIVE,4,ar1_baseline,-1.670669,-2.209702,0.539034,,,,0.631604
BTC,basis_state,B4_EXTREME_NEGATIVE,24,unconditional,-2.163999,0.023283,-2.187282,,,,
BTC,basis_state,B4_EXTREME_NEGATIVE,24,vol_matched,-2.163999,-1.193699,-0.9703,-1.373035,-0.957832,200,
BTC,basis_state,B4_EXTREME_NEGATIVE,24,block_shuffle,-2.163999,0.028329,-2.192328,-0.224032,0.284683,200,
BTC,basis_state,B4_EXTREME_NEGATIVE,24,ar1_baseline,-2.163999,-2.627865,0.463866,,,,0.631604
BTC,funding_state,F_NEG_ELEVATED,4,unconditional,-0.048787,0.024151,-0.072938,,,,
BTC,funding_state,F_NEG_ELEVATED,4,vol_matched,-0.048787,-0.924667,0.87588,-0.997118,-0.84505,200,
BTC,funding_state,F_NEG_ELEVATED,4,block_shuffle,-0.048787,0.02673,-0.075517,-0.023349,0.074721,200,
BTC,funding_state,F_NEG_ELEVATED,4,ar1_baseline,-0.048787,-0.251448,0.202661,,,,0.631604
BTC,funding_state,F_NEG_ELEVATED,24,unconditional,-0.247554,0.023283,-0.270837,,,,
BTC,funding_state,F_NEG_ELEVATED,24,vol_matched,-0.247554,-1.191427,0.943873,-1.276876,-1.114545,200,
BTC,funding_state,F_NEG_ELEVATED,24,block_shuffle,-0.247554,0.02245,-0.270004,-0.062317,0.107857,200,
BTC,funding_state,F_NEG_ELEVATED,24,ar1_baseline,-0.247554,-0.300324,0.052771,,,,0.631604
BTC,funding_state,F_NORMAL,4,unconditional,0.252927,0.024151,0.228776,,,,
BTC,funding_state,F_NORMAL,4,vol_matched,0.252927,-0.815783,1.06871,-0.919159,-0.699039,200,
BTC,funding_state,F_NORMAL,4,block_shuffle,0.252927,0.020161,0.232766,-0.055647,0.094357,200,
BTC,funding_state,F_NORMAL,4,ar1_baseline,0.252927,0.913077,-0.66015,,,,0.631604
BTC,funding_state,F_NORMAL,24,unconditional,0.750256,0.023283,0.726973,,,,
BTC,funding_state,F_NORMAL,24,vol_matched,0.750256,-1.068004,1.818261,-1.164535,-0.966762,200,
BTC,funding_state,F_NORMAL,24,block_shuffle,0.750256,0.019295,0.730961,-0.127853,0.181205,200,
BTC,funding_state,F_NORMAL,24,ar1_baseline,0.750256,1.087985,-0.337729,,,,0.631604
BTC,funding_state,F_NEG_EXTREME,4,unconditional,-0.325168,0.024151,-0.349319,,,,
BTC,funding_state,F_NEG_EXTREME,4,vol_matched,-0.325168,-0.936439,0.611271,-1.100609,-0.732273,200,
BTC,funding_state,F_NEG_EXTREME,4,block_shuffle,-0.325168,0.022979,-0.348147,-0.119389,0.205542,200,
BTC,funding_state,F_NEG_EXTREME,4,ar1_baseline,-0.325168,-1.268473,0.943305,,,,0.631604
BTC,funding_state,F_NEG_EXTREME,24,unconditional,-0.83667,0.023283,-0.859953,,,,
BTC,funding_state,F_NEG_EXTREME,24,vol_matched,-0.83667,-1.192844,0.356174,-1.35736,-0.956211,200,
BTC,funding_state,F_NEG_EXTREME,24,block_shuffle,-0.83667,0.041999,-0.878669,-0.280968,0.350872,200,
BTC,funding_state,F_NEG_EXTREME,24,ar1_baseline,-0.83667,-1.508518,0.671848,,,,0.631604
BTC,vol_state,V_NORMAL,4,unconditional,0.023648,0.024151,-0.000503,,,,
BTC,vol_state,V_NORMAL,4,vol_matched,0.023648,-0.89186,0.915508,-0.969417,-0.800421,200,
BTC,vol_state,V_NORMAL,4,block_shuffle,0.023648,0.021631,0.002017,-0.026638,0.068715,200,
BTC,vol_state,V_NORMAL,4,ar1_baseline,0.023648,0.101921,-0.078272,,,,0.631604
BTC,vol_state,V_NORMAL,24,unconditional,0.058091,0.023283,0.034808,,,,
BTC,vol_state,V_NORMAL,24,vol_matched,0.058091,-1.154866,1.212957,-1.229345,-1.070212,200,
BTC,vol_state,V_NORMAL,24,block_shuffle,0.058091,0.019946,0.038145,-0.079253,0.120799,200,
BTC,vol_state,V_NORMAL,24,ar1_baseline,0.058091,0.113598,-0.055508,,,,0.631604
BTC,vol_state,V_LOW,4,unconditional,0.050599,0.024151,0.026448,,,,
BTC,vol_state,V_LOW,4,vol_matched,0.050599,-0.905251,0.95585,-1.028528,-0.77943,200,
BTC,vol_state,V_LOW,4,block_shuffle,0.050599,0.031472,0.019128,-0.065866,0.157852,200,
BTC,vol_state,V_LOW,4,ar1_baseline,0.050599,0.121253,-0.070653,,,,0.631604
BTC,vol_state,V_LOW,24,unconditional,0.122261,0.023283,0.098978,,,,
BTC,vol_state,V_LOW,24,vol_matched,0.122261,-1.170022,1.292283,-1.303228,-1.036721,200,
BTC,vol_state,V_LOW,24,block_shuffle,0.122261,0.031405,0.090856,-0.204763,0.289697,200,
BTC,vol_state,V_LOW,24,ar1_baseline,0.122261,0.144397,-0.022136,,,,0.631604
BTC,vol_state,V_HIGH,4,unconditional,0.047058,0.024151,0.022907,,,,
BTC,vol_state,V_HIGH,4,vol_matched,0.047058,-0.869885,0.916943,-1.002882,-0.703606,200,
BTC,vol_state,V_HIGH,4,block_shuffle,0.047058,0.026827,0.020231,-0.094092,0.165879,200,
BTC,vol_state,V_HIGH,4,ar1_baseline,0.047058,-0.070317,0.117375,,,,0.631604
BTC,vol_state,V_HIGH,24,unconditional,0.039539,0.023283,0.016257,,,,
BTC,vol_state,V_HIGH,24,vol_matched,0.039539,-1.125185,1.164724,-1.257322,-0.934845,200,
